MedianIncome,HouseAge,NoOfRooms,NoofBedrooms,price,property_type,high_value
2.7054,39,3,2,1.625,duplex,0
1.9835,43,3,2,2.25,duplex,1
1.9766,28,3,2,1.125,flat,0
2.0467,35,3,2,1.583,duplex,0
2.0132,35,3,2,1.984,duplex,1
1.8056,39,3,2,2.625,house,1
2.1927,29,3,2,2.533,house,1
2,30,3,2,2.406,house,1
1.5195,42,3,2,2.182,duplex,1
1.879,28,3,2,2.188,duplex,1
1.8771,34,3,2,2.475,house,1
2.1766,36,3,2,2.056,duplex,1
1.525,34,3,2,2.1,duplex,1
1.8495,23,3,2,2.125,duplex,1
1.5685,34,3,2,2.25,duplex,1
2.3846,32,3,2,2.583,house,1
1.7016,27,3,2,1.6,duplex,0
2.5521,38,3,2,1.575,duplex,0
2.9423,42,3,2,2,duplex,1
1.87,38,3,2,1.708,duplex,0
1.9209,45,3,2,1.792,duplex,0
2,43,3,2,1.75,duplex,0
1.5491,20,2,1,2.25,duplex,1
1.0714,36,3,2,1.375,flat,0
1.9271,28,3,2,1.364,flat,0
2.02,42,3,2,1.472,duplex,0
1.6319,28,3,2,1.516,duplex,0
1.9402,43,3,2,1.393,flat,0
2.5313,52,2,2,2.25,duplex,1
0.8288,13,3,2,1.813,duplex,1
1.0769,52,2,2,1.125,flat,0
1.1979,33,3,2,3.5,house,1
1.0227,8,3,2,0.875,flat,0
1.7395,19,3,2,1.625,duplex,0
0.6775,52,2,2,3.5,house,1
4.0972,52,3,2,5.00001,house,1
1.8625,40,3,2,1.313,flat,0
2.2607,40,3,2,1.656,duplex,0
1.5854,42,3,2,0.875,flat,0
2.3438,42,3,2,2.133,duplex,1
1.5885,30,3,2,1.542,duplex,0
2.3438,34,3,2,1.521,duplex,0
1.9818,33,3,2,2.083,duplex,1
2.3981,33,3,2,1.833,duplex,1
2.4632,24,3,2,2.167,duplex,1
2.2552,14,3,2,2.659,house,1
2.0173,25,3,2,1.775,duplex,0
1.1642,14,3,2,4,house,1
1.7199,17,3,2,1.75,duplex,0
1.1346,17,2,2,1.375,flat,0
1.3241,25,2,2,1.125,flat,0
1.494,45,2,2,1.875,duplex,1
1.4904,26,2,2,2.75,house,1
1.7238,33,2,2,1.1,flat,0
2.7634,37,2,1,1.375,flat,0
0.9563,52,2,2,2.75,house,1
1.6184,52,3,2,2.25,duplex,1
1.1122,52,3,2,1.875,duplex,1
1.2254,42,3,2,1.625,duplex,0
1.7866,25,2,2,3.25,house,1
1.5727,26,3,2,2.25,duplex,1
1.4615,28,3,2,2.75,house,1
1.6355,31,3,2,1.625,duplex,0
1.4413,41,3,2,1.589,duplex,0
1.3,41,2,1,1.625,duplex,0
1.4801,44,3,2,2.125,duplex,1
1.3169,47,3,2,1.125,flat,0
1.7038,13,3,2,1.181,flat,0
1.8304,24,2,2,2.25,duplex,1
1.2012,12,2,1,2.75,house,1
1.6806,49,2,1,3.167,house,1
2.5386,19,3,2,2.906,house,1
2.0185,9,3,2,1.417,duplex,0
1.6406,22,2,2,3,house,1
2.3567,26,3,2,2.531,house,1
1.925,43,3,2,3,house,1
2.4348,31,3,2,2.306,house,1
1.8238,46,3,2,2.375,house,1
2.3375,26,3,2,2.823,house,1
2.2364,28,3,2,3.056,house,1
0.8804,36,3,2,4.5,house,1
2.3105,26,3,2,1.667,duplex,0
1.6987,30,3,2,4.125,house,1
2.2708,18,3,2,1.75,duplex,0
2.3674,20,3,2,5.00001,house,1
2.2094,20,3,2,0.75,flat,0
1.9038,34,3,2,3.25,house,1
1.7365,24,3,2,1.125,flat,0
1.8829,28,3,2,3,house,1
1.6953,43,3,2,1.5,duplex,0
1.5553,42,2,2,0.7,flat,0
1.5954,27,3,2,1.875,duplex,1
2.1637,46,3,2,3.5,house,1
1.468,47,2,2,1.375,flat,0
1.9309,23,3,2,2.333,house,1
2.0332,33,3,2,2.7,house,1
1.8214,21,3,2,4.75,house,1
1.7896,23,3,2,3.222,house,1
1.6725,47,3,2,1.875,duplex,1
2.0278,31,3,2,3.6,house,1
1.9949,14,3,2,3.8,house,1
1.9923,42,3,2,2.5,house,1
1.9152,44,3,2,1.156,flat,0
1.721,42,3,2,2.143,duplex,1
2.2937,42,2,1,3.5,house,1
2.2684,31,3,2,1.938,duplex,1
1.3867,30,3,2,1.938,duplex,1
1.5972,34,3,2,1.688,duplex,0
1.847,18,3,2,2.5,house,1
2.3864,11,2,2,3.5,house,1
2.053,31,3,2,2.292,duplex,1
2.4722,52,3,2,5.00001,house,1
1.7014,37,3,2,1.232,flat,0
1.5565,35,3,2,1.525,duplex,0
2.1696,39,3,2,1.534,duplex,0
2.0817,41,3,2,1.325,flat,0
1.8571,40,3,2,1.438,duplex,0
2.4359,48,3,2,1.237,flat,0
1.2786,39,3,2,1.219,flat,0
2.1542,31,3,2,1.281,flat,0
1.0219,29,3,2,2.583,house,1
0.4999,29,3,2,5.00001,house,1
1.7546,50,2,1,1.75,duplex,0
1.6089,19,3,2,1.625,duplex,0
1.2969,24,3,2,1.602,duplex,0
1.4167,25,3,2,2,duplex,1
2.1806,20,3,2,1.8,duplex,1
1.6037,44,3,2,2.75,house,1
1.8539,41,3,2,1.475,duplex,0
1.9375,52,3,2,0.388,flat,0
0.9234,40,3,2,1.875,duplex,1
1.2989,25,3,2,2.25,duplex,1
2.1944,50,3,2,1.583,duplex,0
1.5603,41,3,2,1.096,flat,0
1.913,35,3,2,1.143,flat,0
2.1382,46,3,2,1.563,duplex,0
1.0539,30,3,2,1.425,duplex,0
1.2175,52,3,2,1.313,flat,0
2.3309,48,3,2,1.266,flat,0
0.9304,24,3,2,1.516,duplex,0
2.2857,14,3,2,5.00001,house,1
2.2444,20,3,2,5,house,1
2.1875,28,2,1,1.813,duplex,1
2.2643,52,3,2,3.5,house,1
1.3333,26,3,2,1.875,duplex,1
3.1392,8,3,2,1.462,duplex,0
2.5588,20,3,2,3.5,house,1
1.4444,32,3,2,1.821,duplex,1
1.8393,18,3,2,1.875,duplex,1
1.8929,30,3,2,1.969,duplex,1
1.8235,37,3,2,2.75,house,1
0.8185,13,3,2,1.875,duplex,1
2.2614,29,3,2,2.481,house,1
1.2188,37,3,2,2.188,duplex,1
2.875,46,1,1,1.625,duplex,0
2.1094,24,3,2,1.352,flat,0
1.5156,52,3,2,1.875,duplex,1
1.1667,52,3,2,5.00001,house,1
0.8438,17,3,2,1.75,duplex,0
2.1763,19,3,2,1.688,duplex,0
2.3,45,3,2,0.55,flat,0
1.8715,34,3,2,1.396,flat,0
1.6354,37,3,2,1.589,duplex,0
2.1912,37,3,2,1.125,flat,0
1.9929,30,3,2,1.506,duplex,0
1.2059,18,3,2,2.55,house,1
2.4596,35,3,2,1.547,duplex,0
1.4224,33,2,1,1.896,duplex,1
2.1366,23,3,2,1,flat,0
2.5833,23,3,2,1.813,duplex,1
4.5938,33,1,1,1.125,flat,0
1.3274,21,3,2,2.188,duplex,1
0.9318,35,3,2,1.875,duplex,1
1.2864,40,3,2,1.313,flat,0
1.9797,22,3,2,1.438,duplex,0
2.225,42,3,2,1.063,flat,0
1.5,45,3,2,1.625,duplex,0
1.1483,36,3,2,1.125,flat,0
2.5544,8,3,2,1.625,duplex,0
1.7701,26,3,2,1.462,duplex,0
2.3675,29,3,2,1.494,duplex,0
2.4886,36,3,2,1.607,duplex,0
2.6689,12,3,2,1.923,duplex,1
2.775,50,3,2,2.25,duplex,1
2.5261,22,3,2,3.75,house,1
2.6639,29,3,2,2.333,house,1
1.5132,28,3,2,4.5,house,1
2.3098,52,3,2,5.00001,house,1
1.4,31,3,2,0.525,flat,0
1.9063,52,2,1,2,duplex,1
1.0096,52,3,2,1.625,duplex,0
1.9127,15,3,2,1.75,duplex,0
3.2229,15,3,2,1.083,flat,0
3.7875,9,3,2,1.875,duplex,1
2.1992,26,3,2,1.708,duplex,0
2.246,6,3,2,1.833,duplex,1
1.1194,27,3,2,0.958,flat,0
0.7526,5,3,2,1.625,duplex,0
0.9196,52,2,2,1.375,flat,0
1.2209,38,3,2,0.879,flat,0
1.3571,21,3,2,0.55,flat,0
1.4375,17,3,2,0.964,flat,0
1.5594,52,3,2,0.875,flat,0
1.3125,52,3,2,0.875,flat,0
1.2292,52,3,2,1.375,flat,0
0.9142,52,3,2,1.625,duplex,0
1.0918,52,3,2,0.225,flat,0
0.7685,39,3,2,1.875,duplex,1
1.3071,51,3,2,2.5,house,1
1.0391,24,2,2,1.625,duplex,0
1.9597,52,3,2,2,duplex,1
1.2668,27,3,2,2.25,duplex,1
1.5909,44,3,2,2.625,house,1
1.0612,15,3,2,3,house,1
3.0774,27,3,2,2.75,house,1
3.045,16,3,2,1,flat,0
1.9107,36,2,1,1.25,flat,0
2.3929,30,3,2,1.344,flat,0
3.6728,25,3,2,5.00001,house,1
1.8295,52,3,2,2.438,house,1
0.8836,30,3,2,4.5,house,1
1.3668,52,3,2,0.55,flat,0
0.9,52,3,2,5.00001,house,1
1.4552,52,2,2,4.5,house,1
1.5156,52,3,2,2.375,house,1
2.5166,52,3,2,2.75,house,1
1.8068,52,3,2,2.25,duplex,1
1.724,52,3,2,2.25,duplex,1
2.3304,26,2,2,5.00001,house,1
0.8543,27,3,2,5.00001,house,1
3.6893,52,3,2,4.75,house,1
3.4423,6,3,2,1.175,flat,0
2.6782,24,3,2,4.5,house,1
3.1462,19,3,2,1.875,duplex,1
2.4414,52,3,2,2.75,house,1
2.1516,52,3,2,1.875,duplex,1
1.1185,52,3,2,0.55,flat,0
1.4554,52,3,2,3.75,house,1
1.8519,52,3,2,0.325,flat,0
2.0548,52,3,2,1.625,duplex,0
1.375,52,3,2,3.125,house,1
1.3365,37,3,2,2.25,duplex,1
1.65,52,3,2,2.65,house,1
1.3824,46,3,2,2.125,duplex,1
0.7714,16,3,2,0.875,flat,0
0.7917,52,3,2,0.225,flat,0
1.5152,30,3,2,0.813,flat,0
1.3531,20,3,2,0.946,flat,0
3.375,4,2,1,1.063,flat,0
0.7025,19,3,2,5.00001,house,1
3.0546,33,3,2,2.979,house,1
4.1513,17,3,2,1.375,flat,0
2.2746,24,3,2,2.25,duplex,1
2.56,34,3,2,2.5,house,1
2.3454,33,3,2,2.438,house,1
1.179,23,3,2,2.25,duplex,1
1.24,24,3,2,3.25,house,1
2.1417,31,3,2,2.05,duplex,1
0.7068,49,3,2,2,duplex,1
1.2887,40,3,2,2.125,duplex,1
0.8894,20,3,2,3.5,house,1
1.0938,20,2,2,1.875,duplex,1
3.5586,26,3,2,2.222,duplex,1
3.1736,23,3,2,1.813,duplex,1
2.1406,19,3,2,4.025,house,1
0.536,16,3,3,1.625,duplex,0
1.0714,27,3,2,0.638,flat,0
8.3252,41,7,3,4.526,house,1
8.3014,21,7,2,3.585,house,1
7.2574,52,9,3,3.521,house,1
5.6431,52,6,3,3.413,house,1
3.8462,52,7,3,3.422,house,1
4.0368,52,5,3,2.697,house,1
3.6591,52,5,2,2.992,house,1
3.12,52,5,3,2.414,house,1
2.0804,42,5,3,2.267,duplex,1
3.6912,52,5,2,2.611,house,1
3.2031,52,6,3,2.815,house,1
3.2705,52,5,3,2.418,house,1
3.075,52,6,3,2.135,duplex,1
2.6736,52,4,3,1.913,duplex,1
1.9167,52,5,3,1.592,duplex,0
2.125,50,5,3,1.4,flat,0
2.775,52,6,3,1.525,duplex,0
2.1202,52,5,2,1.555,duplex,0
1.9911,50,6,3,1.587,duplex,0
2.6033,52,6,3,1.629,duplex,0
1.3578,40,5,3,1.475,duplex,0
1.7135,42,5,3,1.598,duplex,0
1.725,52,6,3,1.139,flat,0
2.1806,52,6,3,0.997,flat,0
2.6,52,6,3,1.326,flat,0
2.4038,41,5,3,1.075,flat,0
2.4597,49,5,3,0.938,flat,0
1.808,52,5,3,1.055,flat,0
1.6424,50,5,3,1.089,flat,0
1.6875,52,5,3,1.32,flat,0
1.9274,49,6,3,1.223,flat,0
1.9615,52,5,3,1.152,flat,0
1.7969,48,6,3,1.104,flat,0
1.375,49,6,3,1.049,flat,0
2.7303,51,5,3,1.097,flat,0
1.4861,49,5,3,0.972,flat,0
1.0972,48,5,3,1.045,flat,0
1.4103,52,4,2,1.039,flat,0
3.48,52,5,3,1.914,duplex,1
2.5898,52,4,3,1.76,duplex,0
2.0978,52,5,3,1.554,duplex,0
1.2852,51,4,3,1.5,duplex,0
1.025,49,4,3,1.188,flat,0
3.9643,52,5,3,1.888,duplex,1
3.0125,52,5,3,1.844,duplex,1
2.6768,52,5,3,1.823,duplex,1
2.026,50,4,3,1.425,duplex,0
1.7348,43,4,3,1.375,flat,0
0.9506,40,4,3,1.875,duplex,1
1.5045,43,5,3,0.938,flat,0
1.1108,41,5,3,0.975,flat,0
1.2475,52,5,3,1.042,flat,0
1.6098,52,6,3,0.875,flat,0
1.4113,52,5,3,0.831,flat,0
1.5057,52,5,3,0.875,flat,0
0.8172,52,7,3,0.853,flat,0
1.2171,52,5,3,0.803,flat,0
2.5625,2,3,2,0.6,flat,0
3.3929,52,6,3,0.757,flat,0
6.1183,49,6,3,0.75,flat,0
0.9011,50,7,3,0.861,flat,0
1.191,52,8,3,0.761,flat,0
2.5938,48,7,3,0.735,flat,0
1.1667,52,6,3,0.784,flat,0
0.8056,48,5,3,0.844,flat,0
2.6094,52,7,3,0.813,flat,0
1.8516,52,7,3,0.85,flat,0
0.9802,46,5,3,1.292,flat,0
1.7719,26,7,3,0.825,flat,0
0.7286,46,4,3,0.952,flat,0
1.75,49,6,3,0.75,flat,0
2.483,20,7,3,1.375,flat,0
2.4464,36,6,3,1.021,flat,0
1.1111,19,6,3,1.083,flat,0
0.8026,23,6,3,1.125,flat,0
2.0114,38,5,3,1.313,flat,0
1.5,17,4,2,1.625,duplex,0
1.1667,52,4,2,1.125,flat,0
1.5208,52,4,3,1.125,flat,0
1.8088,35,6,3,1.188,flat,0
2.4083,52,7,3,0.982,flat,0
1.2434,52,3,2,5.00001,house,1
0.8668,52,3,2,1.375,flat,0
0.75,52,3,2,1.625,duplex,0
2.6354,27,4,3,1.875,duplex,1
1.8477,39,4,3,1.792,duplex,0
2.8345,31,4,3,1.838,duplex,1
2.0062,29,4,3,1.25,flat,0
2.6104,37,4,3,1.931,duplex,1
2.4912,29,4,3,2.578,house,1
3.2177,28,4,3,2.734,house,1
3.125,39,4,3,2.375,house,1
2.5795,52,4,3,3.5,house,1
2.8406,34,4,3,3.357,house,1
4.9306,52,7,2,3.134,house,1
3.2727,52,5,3,2.685,house,1
3.1691,52,5,3,2.594,house,1
3.9,52,5,3,2.757,house,1
3.9063,28,5,3,2.25,duplex,1
5.0917,52,6,3,2.625,house,1
2.6429,32,4,3,2.185,duplex,1
3.0233,26,4,2,2.55,house,1
3.1484,52,5,3,2.241,duplex,1
3.4722,35,4,3,2.431,house,1
3.1429,52,5,2,2.316,house,1
2.4234,28,4,3,2.185,duplex,1
3.0897,52,5,3,2.341,house,1
5.8596,50,7,3,3.276,house,1
5.2868,47,7,2,3.476,house,1
5.956,41,7,3,3.661,house,1
4.9643,37,8,3,3.35,house,1
6.3434,52,7,3,3.736,house,1
5.1773,52,7,3,3.895,house,1
7.2354,52,8,2,3.911,house,1
5.457,28,6,3,3.373,house,1
7.5,50,7,2,2.952,house,1
6.0194,44,6,2,2.923,house,1
7.5544,40,8,3,4.115,house,1
6.0666,30,7,3,3.115,house,1
7.0548,34,7,2,3.259,house,1
11.6017,18,9,3,3.926,house,1
7.4882,35,7,3,3.193,house,1
6.8976,34,7,3,3.333,house,1
8.2049,28,7,2,3.352,house,1
8.401,26,8,3,3.512,house,1
6.8538,29,7,3,3.689,house,1
8.317,32,7,3,3.659,house,1
7.0175,37,7,3,3.667,house,1
6.3302,39,8,3,3.628,house,1
6.3624,30,6,2,4.833,house,1
7.0549,52,7,2,3.314,house,1
6.7851,45,7,3,3.235,house,1
2.8929,50,6,3,2.167,duplex,1
3.0812,38,5,3,2.331,house,1
5.2402,52,7,2,2.964,house,1
6.5217,52,7,3,2.737,house,1
3.2632,52,5,3,2.277,duplex,1
3.0298,52,6,3,1.996,duplex,1
4.5428,52,6,3,2.398,house,1
4.072,52,6,2,2.701,house,1
5.3509,52,6,3,3.021,house,1
3.1603,52,5,3,2.695,house,1
4.7708,52,7,3,3.147,house,1
8.1564,52,8,3,3.901,house,1
8.8793,52,9,3,4.103,house,1
6.8591,52,8,2,3.524,house,1
6.0302,52,6,2,2.873,house,1
7.508,52,8,3,3.487,house,1
2.7477,52,5,3,2.438,house,1
2.1944,52,6,2,2.115,duplex,1
3.0149,52,5,3,2.184,duplex,1
3.675,52,5,2,2.699,house,1
3.225,46,5,3,2.188,duplex,1
2.9345,42,5,3,2.25,duplex,1
2.1429,43,4,3,2.5,house,1
1.6121,41,4,3,1.714,duplex,0
1.3929,29,4,3,1.938,duplex,1
2.3173,27,4,3,1.25,flat,0
1.7772,45,4,3,0.975,flat,0
2.6458,50,4,2,1.25,flat,0
2.181,52,4,3,1.388,flat,0
2.2303,36,4,3,1.167,flat,0
1.6504,43,4,3,1.518,duplex,0
2.2697,52,5,2,1.27,flat,0
2.1563,52,5,3,1.286,flat,0
2.1348,52,5,3,1.406,flat,0
2.6292,47,4,3,1.827,duplex,1
2.3833,52,5,3,1.469,duplex,0
2.957,52,5,3,1.228,flat,0
2.5238,49,5,3,1.693,duplex,0
1.9375,52,5,2,1.266,flat,0
1.9028,51,5,3,1.279,flat,0
2.25,50,5,3,1.235,flat,0
2.3929,52,5,3,1.119,flat,0
2.1917,43,5,3,1.128,flat,0
2.9357,52,5,2,1.079,flat,0
1.8854,30,4,3,1.375,flat,0
2.1638,39,4,3,1.055,flat,0
2.125,47,5,3,0.955,flat,0
3.375,52,5,3,1.161,flat,0
2.2542,43,5,3,1.122,flat,0
2.1,51,4,2,0.75,flat,0
1.6,39,4,3,1.125,flat,0
3.625,52,4,3,1.25,flat,0
1.6929,20,4,3,1.15,flat,0
1.6471,52,3,2,0.95,flat,0
2.59,52,5,3,0.964,flat,0
2.57,52,5,3,0.72,flat,0
2.6429,52,4,3,0.713,flat,0
3.0257,52,5,3,0.808,flat,0
1.4886,50,5,3,1.288,flat,0
1.9338,43,4,3,1.125,flat,0
1.4844,52,4,3,1.194,flat,0
1.6009,44,4,3,1.181,flat,0
2.0375,48,5,3,1.225,flat,0
2.293,49,6,2,1.063,flat,0
2.1494,37,5,3,1.325,flat,0
1.6198,30,5,3,1.227,flat,0
1.3281,40,6,3,1.133,flat,0
3.5156,44,6,3,1.095,flat,0
3.9048,52,5,3,1.647,duplex,0
3.0893,52,4,2,1.25,flat,0
2.6042,46,5,3,1.247,flat,0
2.5,49,5,3,1.367,flat,0
2.7969,38,5,3,1.417,duplex,0
2.8321,29,5,3,1.5,duplex,0
2.9583,47,6,3,1.388,flat,0
2.8365,34,5,3,1.392,flat,0
2.875,35,5,3,1.438,duplex,0
3.0682,39,5,3,1.565,duplex,0
3.0757,39,5,3,1.51,duplex,0
4.9559,43,7,3,2.73,house,1
4.7721,52,6,3,2.171,duplex,1
3.4861,52,5,3,1.871,duplex,1
5.1184,41,7,3,2.396,house,1
4.0977,48,6,3,2.297,duplex,1
4.744,48,8,3,2.573,house,1
4.2727,46,6,3,2.469,house,1
2.9844,50,6,3,1.799,duplex,1
4.1739,40,5,3,1.696,duplex,0
3.8487,46,6,3,2.033,duplex,1
4.0114,52,7,2,2.634,house,1
4.6563,45,6,2,2.318,house,1
2.9297,28,5,3,1.405,flat,0
2.3036,35,5,3,1.26,flat,0
2.6667,49,5,2,1.22,flat,0
2.619,44,4,2,1.347,flat,0
2.4167,45,5,3,1.394,flat,0
2.7788,45,5,3,1.154,flat,0
2.7352,46,4,2,1.373,flat,0
1.8472,52,6,3,1.37,flat,0
2.6583,52,5,2,1.426,duplex,0
3.0536,49,4,2,1.375,flat,0
2.3906,44,5,3,1.117,flat,0
1.7188,43,5,3,1.268,flat,0
2.625,47,4,3,1.113,flat,0
2.8015,40,4,2,1.148,flat,0
1.7276,50,5,3,1.023,flat,0
2.0801,44,4,3,1.319,flat,0
2.489,51,5,3,1.191,flat,0
1.7546,52,5,3,0.806,flat,0
4.0904,52,5,3,0.806,flat,0
2.6765,52,5,3,0.888,flat,0
2.4338,49,5,3,1.024,flat,0
2.3309,46,4,3,0.987,flat,0
2.2604,43,4,3,1,flat,0
1.8039,42,4,2,0.923,flat,0
2.2562,39,6,3,0.948,flat,0
2.0562,41,5,3,1.02,flat,0
3.5398,52,6,3,1.584,duplex,0
3.1167,39,5,3,1.216,flat,0
2.5401,50,5,3,1.291,flat,0
2.898,43,6,3,1.214,flat,0
2.3125,44,5,3,1.028,flat,0
2.875,52,7,3,1.6,duplex,0
3.3715,52,6,3,1.439,duplex,0
3.5114,52,6,3,1.512,duplex,0
4.3125,52,7,3,1.644,duplex,0
3.22,52,6,3,1.565,duplex,0
3.875,33,4,2,2.25,duplex,1
5.2328,49,6,2,1.742,duplex,0
3.7262,52,6,3,1.669,duplex,0
4.5893,45,6,3,1.635,duplex,0
5.2578,39,6,2,2.53,house,1
7.0875,41,7,3,2.407,house,1
3.9712,46,7,3,2.081,duplex,1
2.9514,47,5,2,1.981,duplex,1
2.6667,50,5,3,1.728,duplex,0
5.4446,37,7,2,3.367,house,1
6.2838,34,7,2,3.182,house,1
6.7527,23,8,3,2.858,house,1
7.0712,24,8,2,2.93,house,1
5.9849,22,7,3,3.71,house,1
3.6875,42,6,2,1.573,duplex,0
2.875,30,5,3,1.353,flat,0
3.4205,43,5,3,1.367,flat,0
3.2984,50,6,3,1.607,duplex,0
3.875,49,5,2,1.406,flat,0
4.175,52,6,3,1.44,duplex,0
4.375,47,6,2,1.619,duplex,0
4.7708,48,6,3,1.563,duplex,0
3.5739,45,7,3,1.76,duplex,0
3.0958,39,6,3,1.458,duplex,0
3.3958,39,6,3,1.419,duplex,0
1.871,31,6,3,0.907,flat,0
1.9356,41,5,3,0.906,flat,0
2.1842,47,6,3,1.079,flat,0
2.2917,37,5,3,1.07,flat,0
2.4333,38,5,3,0.982,flat,0
1.9479,50,5,3,0.895,flat,0
3.9063,52,5,3,0.938,flat,0
1.8407,49,6,3,0.967,flat,0
2.0786,27,6,3,0.975,flat,0
2.8125,42,5,2,0.973,flat,0
1.8913,43,6,3,0.912,flat,0
1.7056,49,6,3,0.914,flat,0
2.2768,52,5,2,0.962,flat,0
3.2552,51,5,3,1.201,flat,0
2.0556,52,5,2,1,flat,0
2.4659,52,6,3,0.947,flat,0
1.75,47,4,2,0.857,flat,0
2.0469,41,5,3,0.893,flat,0
2.7159,45,6,3,1.014,flat,0
1.2083,41,6,3,0.725,flat,0
1.925,45,5,3,0.741,flat,0
1.5809,36,5,2,0.7,flat,0
1.4097,37,5,3,0.846,flat,0
0.7683,38,5,3,0.818,flat,0
1.3194,19,5,3,0.814,flat,0
0.8012,28,6,3,0.818,flat,0
1.9479,26,5,2,0.858,flat,0
1.1765,36,6,3,0.871,flat,0
2.3456,42,5,3,0.835,flat,0
2.1538,44,5,3,0.797,flat,0
2.5139,43,5,2,0.834,flat,0
1.2625,45,6,3,0.847,flat,0
2.9063,42,5,3,0.8,flat,0
2.5192,43,5,3,0.764,flat,0
2.1111,44,5,2,0.797,flat,0
2.455,42,6,3,0.824,flat,0
2.4028,41,4,3,0.977,flat,0
2.15,47,4,2,0.972,flat,0
2.4776,43,5,3,1.016,flat,0
2.1587,43,5,3,0.865,flat,0
1.8438,35,5,3,0.905,flat,0
3.0298,46,5,3,1.076,flat,0
2.25,46,5,3,0.842,flat,0
2.2467,46,6,3,0.889,flat,0
4.0469,45,5,2,0.807,flat,0
1.325,46,5,3,0.871,flat,0
1.6196,38,4,3,0.851,flat,0
2.1731,45,4,3,0.82,flat,0
1.9167,36,8,3,0.828,flat,0
2.069,43,5,3,0.846,flat,0
1.712,36,7,3,0.821,flat,0
2.5625,33,5,3,0.893,flat,0
1.9821,43,6,3,0.983,flat,0
2.5043,41,6,3,0.923,flat,0
2.3281,44,5,2,0.888,flat,0
1.4375,48,6,3,0.9,flat,0
2.5122,45,5,3,0.955,flat,0
1.5625,38,6,3,0.917,flat,0
3.1587,47,6,3,1.004,flat,0
1.8426,40,5,3,0.948,flat,0
4.6696,46,7,3,1.643,duplex,0
2.4598,36,6,3,1.555,duplex,0
6.0749,39,7,3,1.969,duplex,1
4.8304,27,7,3,2.791,house,1
5.5701,34,8,3,2.528,house,1
5.37,26,7,2,2.754,house,1
6.86,33,9,3,2.5,house,1
7.6923,28,8,3,3.298,house,1
4.0313,36,7,2,1.955,duplex,1
6.8323,33,7,2,2.559,house,1
4.975,30,9,3,3.111,house,1
5.3602,36,9,2,3.3,house,1
5,41,7,3,2.489,house,1
2.925,46,7,3,1.429,duplex,0
3.8913,40,6,3,1.263,flat,0
3.225,44,6,3,1.358,flat,0
3.1458,41,5,2,1.306,flat,0
2.537,24,5,3,1.079,flat,0
2.5568,44,5,2,1.111,flat,0
3.5083,43,6,3,1.22,flat,0
3.3125,49,5,2,1.18,flat,0
1.8235,40,5,3,0.952,flat,0
3.8047,35,6,3,0.943,flat,0
