id,city,room_type,bedrooms,bathrooms,accommodates,min_nights,reviews,price
70,Delhi,Entire home,4,1,3,4,117,5495
71,Mumbai,Entire home,1,2,4,4,179,4004
72,Mumbai,Shared room,2,2,5,3,81,5429
73,Bangalore,Shared room,3,3,4,1,183,6348
74,Delhi,Private room,1,3,6,2,15,5724
75,Delhi,Private room,1,1,7,3,131,3632
76,Mumbai,Entire home,1,3,1,2,106,3672
77,Goa,Entire home,3,2,3,2,28,6093
78,Delhi,Shared room,2,3,4,1,58,5932
79,Mumbai,Private room,4,1,7,1,78,7234
80,Bangalore,Private room,1,2,4,2,111,4198
81,Bangalore,Shared room,1,3,4,4,65,4410
82,Goa,Entire home,1,1,2,1,76,3505
83,Delhi,Private room,1,3,7,4,11,6085
84,Mumbai,Private room,2,2,4,3,25,4897
85,Mumbai,Private room,4,3,3,3,103,6553
86,Goa,Private room,3,2,3,2,11,5317
87,Mumbai,Private room,3,1,3,2,90,4599
88,Mumbai,Shared room,2,1,7,3,162,5147
89,Goa,Shared room,1,2,5,3,129,3909
90,Bangalore,Shared room,2,1,4,2,144,4698
91,Goa,Entire home,2,3,7,3,1,6864
92,Goa,Private room,2,1,1,1,16,3277
93,Bangalore,Shared room,4,2,5,1,33,7230
94,Bangalore,Private room,4,3,6,4,33,7412
95,Goa,Private room,2,1,2,4,172,3110
96,Delhi,Private room,2,3,3,2,40,6096
97,Bangalore,Private room,4,1,2,1,72,5437
98,Goa,Entire home,2,1,5,2,106,4973
99,Mumbai,Shared room,4,2,7,4,83,7664
100,Delhi,Shared room,4,1,2,1,160,5637
101,Mumbai,Entire home,3,2,5,1,151,6160
102,Bangalore,Private room,3,1,6,4,68,5758
103,Delhi,Private room,4,3,7,2,159,8066
104,Goa,Entire home,2,1,2,4,150,3707
105,Delhi,Entire home,2,3,3,4,64,5283
106,Bangalore,Entire home,2,2,7,3,31,5619
107,Delhi,Shared room,3,1,6,2,79,5631
108,Goa,Private room,1,3,7,2,83,5968
109,Goa,Shared room,4,1,7,3,15,6768
110,Delhi,Private room,1,3,7,1,51,5428
111,Goa,Shared room,1,1,4,4,140,3503
112,Delhi,Entire home,2,3,3,4,173,5385
113,Delhi,Shared room,1,3,6,2,10,5161
114,Delhi,Entire home,2,1,7,2,105,5770
115,Delhi,Private room,1,1,3,2,80,3636
116,Bangalore,Private room,4,3,3,1,70,6609
117,Goa,Private room,3,2,4,1,21,6170
118,Delhi,Entire home,3,2,3,4,195,5234
119,Goa,Entire home,2,2,5,3,80,5136
120,Bangalore,Entire home,1,2,6,2,64,4983
121,Goa,Entire home,1,1,2,3,129,2740
122,Goa,Entire home,1,3,4,4,50,4630
123,Mumbai,Entire home,1,2,1,4,96,3217
124,Mumbai,Private room,1,2,6,3,107,4157
125,Mumbai,Entire home,4,2,5,2,82,7251
126,Delhi,Shared room,3,2,6,4,185,6422
127,Mumbai,Shared room,2,3,4,4,150,5529
128,Mumbai,Private room,1,1,2,2,15,3099
129,Mumbai,Private room,3,3,4,4,143,6141
130,Goa,Private room,4,2,7,4,28,7582
131,Delhi,Shared room,4,2,5,3,71,6313
132,Goa,Private room,4,2,5,1,27,6764
133,Mumbai,Private room,4,2,6,4,57,7143
134,Bangalore,Entire home,1,3,1,4,58,3303
135,Delhi,Private room,3,1,3,3,13,4818
136,Mumbai,Shared room,2,2,2,1,146,4443
137,Bangalore,Private room,1,3,6,1,78,5507
138,Delhi,Private room,4,2,7,3,20,7672
139,Bangalore,Entire home,4,2,5,4,71,6910
140,Delhi,Entire home,4,2,5,2,183,6900
141,Mumbai,Private room,4,3,2,3,44,6648
142,Goa,Private room,1,1,6,3,91,3781
143,Bangalore,Shared room,3,3,7,1,44,6995
144,Bangalore,Private room,2,3,5,3,15,5573
145,Mumbai,Shared room,3,3,1,2,87,5725
146,Delhi,Shared room,3,3,1,3,77,5549
147,Goa,Private room,2,3,3,3,157,5487
148,Mumbai,Shared room,4,1,7,1,95,7155
149,Mumbai,Shared room,4,2,6,2,110,7437
150,Goa,Entire home,1,2,6,2,132,4833
151,Delhi,Private room,1,3,6,4,28,5723
152,Bangalore,Private room,3,3,4,1,193,6393
153,Bangalore,Private room,2,3,2,2,49,4860
154,Goa,Shared room,2,2,1,2,177,4263
155,Bangalore,Private room,1,2,1,3,87,2969
156,Goa,Private room,4,2,1,4,57,5483
157,Goa,Private room,1,3,1,1,41,4418
158,Goa,Shared room,3,3,7,2,194,7315
159,Bangalore,Entire home,1,2,3,4,175,3910
160,Mumbai,Private room,4,3,5,1,17,7221
161,Bangalore,Entire home,2,1,6,3,20,5267
162,Bangalore,Private room,3,2,1,2,166,5409
163,Goa,Private room,4,2,6,4,64,7196
164,Bangalore,Shared room,3,3,3,1,134,6017
165,Goa,Entire home,2,1,7,2,150,5317
166,Goa,Shared room,1,2,4,1,79,4514
167,Bangalore,Entire home,1,1,6,3,74,4230
168,Bangalore,Shared room,2,1,5,3,162,4868
169,Goa,Entire home,1,3,4,4,168,4704
170,Delhi,Shared room,1,2,5,4,166,4322
171,Mumbai,Entire home,3,1,6,2,149,5682
172,Bangalore,Entire home,1,2,5,4,34,4489
173,Goa,Entire home,1,3,5,2,117,5007
174,Bangalore,Entire home,2,2,3,1,160,3917
175,Mumbai,Private room,4,3,2,2,170,6753
176,Bangalore,Shared room,2,2,4,3,127,4557
177,Mumbai,Entire home,2,2,5,3,44,5058
178,Delhi,Entire home,2,3,7,4,99,6732
179,Bangalore,Private room,2,1,5,3,41,5154
180,Bangalore,Shared room,4,1,1,2,103,5491
181,Goa,Private room,2,2,6,1,155,5590
182,Delhi,Entire home,3,2,1,3,48,5260
183,Goa,Entire home,1,2,3,3,127,3875
184,Bangalore,Entire home,3,1,5,2,138,5174
185,Goa,Entire home,1,3,4,2,68,4419
186,Delhi,Entire home,4,3,6,2,17,7568
187,Delhi,Private room,4,3,4,2,3,7019
188,Bangalore,Entire home,2,1,1,1,101,3386
189,Delhi,Shared room,4,3,1,2,94,5956
190,Bangalore,Shared room,1,1,2,4,29,3025
191,Goa,Shared room,4,2,5,1,102,7207
192,Bangalore,Entire home,3,3,5,1,123,6256
193,Bangalore,Entire home,1,3,6,4,158,5970
194,Goa,Shared room,4,1,1,3,194,4838
195,Delhi,Entire home,4,2,7,4,60,7475
196,Delhi,Shared room,4,3,1,3,135,6652
197,Delhi,Shared room,1,1,1,2,179,2697
198,Mumbai,Entire home,2,1,2,3,73,3702
199,Bangalore,Private room,4,3,6,4,192,8020
200,Delhi,Private room,4,2,2,1,145,5835
