BatteryPower,InternalMemory,ClockSpeed,NoOfCores,RAM,TalkTime,DualSim,3G,4G,WiFi,Bluetooth,MobileDepth,MobileWeight,TouchScreen,ScreenHeight,ScreenWidth,FrontCameraPx,RearCameraPX,PxHeight,PxWeight,PriceRange
1709,13,2.1,2,3283,15,0,1,0,0,1,1,156,0,17,1,1,2,974,1385,VeryHigh
1949,47,2.6,4,1433,20,1,0,0,1,0,0.3,199,0,11,5,4,7,407,822,Medium
1602,38,2.8,3,1037,20,1,1,1,0,1,0.7,114,0,8,7,4,20,466,788,Low
503,8,1.2,3,2583,12,1,1,1,0,0,0.4,111,0,11,0,5,13,201,1245,Medium
961,57,1.4,8,2782,7,1,1,1,1,1,0.6,114,1,18,9,0,3,291,1434,High
519,51,1.6,4,3763,4,1,1,1,1,1,0.3,132,0,16,1,7,19,550,645,VeryHigh
956,41,0.5,7,3286,12,0,1,1,0,0,1,143,1,17,8,1,6,511,1075,VeryHigh
1453,52,1.6,2,2373,10,1,1,1,1,0,0.3,96,1,10,1,12,18,187,1311,High
851,21,0.5,5,478,10,0,1,0,1,0,0.4,200,0,12,7,3,7,1171,1263,Low
1579,5,0.5,7,3532,12,1,0,0,1,1,0.2,88,0,17,11,0,9,1358,1739,VeryHigh
1568,33,0.5,8,508,6,0,1,0,1,1,1,150,1,5,1,16,20,413,654,Low
1319,41,0.9,1,2227,3,0,1,1,1,1,0.9,107,1,18,5,3,18,85,1152,Medium
1310,51,2.2,4,3845,12,1,1,1,0,1,0.6,100,1,7,0,0,0,178,1919,VeryHigh
644,22,2.7,8,1262,15,0,1,0,0,1,0.7,157,0,12,1,0,3,311,881,Low
725,60,1.3,8,1326,15,1,1,0,0,0,0.4,160,0,10,4,16,17,1134,1249,Medium
589,61,2.3,4,2113,2,1,1,0,1,1,0.6,160,0,13,7,1,10,429,815,Medium
1725,6,1.6,2,3429,4,1,1,1,0,1,0.5,119,1,6,5,6,18,609,1307,VeryHigh
790,11,2,6,3169,2,1,1,1,1,0,0.3,87,0,6,1,16,17,347,730,High
560,50,0.5,2,2150,11,1,1,0,0,0,0.3,159,1,18,12,15,20,1448,1613,High
1347,44,2.9,1,2484,11,0,1,0,1,0,0.6,132,0,18,2,5,14,434,967,High
1646,41,2.3,2,3339,19,0,1,1,0,1,0.2,185,1,18,10,8,10,1725,1932,VeryHigh
1253,5,0.5,2,1878,4,1,1,1,0,1,0.2,152,1,15,0,5,19,685,714,Medium
1656,34,1,3,1629,14,0,1,1,0,0,0.1,166,1,15,12,5,7,880,1456,Medium
1195,20,2.8,2,504,12,0,1,1,0,1,0.8,110,1,9,3,1,14,1580,1652,Low
1514,27,2.9,3,1152,20,0,0,0,1,0,0.2,118,1,8,3,0,1,186,1810,Medium
1723,42,1.1,8,3587,3,1,1,0,0,1,1,164,0,10,5,1,14,202,1791,VeryHigh
1054,40,1.8,7,2296,12,1,1,1,1,1,0.8,196,0,16,12,3,10,27,774,Medium
578,57,2.6,8,1270,5,1,1,1,1,1,0.2,162,0,15,3,2,8,1025,1433,Low
596,64,2.1,8,3238,10,1,0,0,0,0,0.8,111,0,16,13,9,15,885,1854,VeryHigh
1547,14,3,3,2059,15,1,1,1,1,1,0.7,198,0,5,0,2,19,1042,1832,High
1760,63,1.4,8,2053,16,1,0,0,0,0,0.8,127,1,19,12,5,19,1382,1383,High
1654,43,1.5,2,3112,10,1,1,1,0,1,0.3,109,1,12,5,0,0,546,629,VeryHigh
1457,16,1.9,3,1440,12,1,1,1,1,0,0.3,102,0,17,8,1,10,1013,1287,Medium
1073,51,0.5,7,2908,18,1,0,0,0,1,0.5,145,1,6,0,0,0,690,804,High
1936,46,2.1,3,2552,13,1,1,1,0,0,0.6,104,0,14,7,10,20,667,1036,High
823,60,2.7,8,905,17,1,1,0,1,1,0.5,148,1,14,11,13,19,822,1449,Low
987,61,1.3,3,3963,20,1,1,1,1,0,0.4,107,0,9,4,0,9,581,820,VeryHigh
1757,49,0.5,6,2056,4,0,0,0,0,0,0.5,180,0,7,5,8,14,265,713,Medium
1063,48,1.4,5,2910,9,1,1,1,1,0,1,128,1,15,13,2,4,127,683,High
1484,12,3,3,1457,20,0,1,0,0,0,0.6,134,1,14,4,3,5,916,969,Medium
799,63,2.3,8,431,6,0,1,1,1,1,0.8,144,1,15,6,1,6,361,975,Low
1156,50,1.2,2,470,15,1,1,1,0,1,0.8,159,1,7,0,0,0,322,547,Low
1720,55,2,2,2148,5,0,1,1,1,0,0.5,168,1,14,2,15,18,753,1353,High
702,9,2.6,3,2955,19,1,1,1,0,0,0.7,141,0,10,4,2,3,504,1570,High
616,44,1.9,3,3366,13,1,1,1,0,0,0.8,81,1,18,8,13,17,651,1618,VeryHigh
1358,36,0.5,4,3068,4,0,1,1,0,1,0.3,155,1,9,4,11,14,1565,1858,VeryHigh
1866,30,1.4,3,3834,8,0,0,0,0,0,0.5,182,0,16,11,0,0,108,1781,VeryHigh
1242,10,1.1,2,1050,4,1,1,0,1,0,0.6,165,0,11,1,0,1,459,1225,Low
1166,43,1.5,4,3993,7,1,1,1,0,0,0.8,80,1,7,1,0,1,205,603,VeryHigh
1448,45,0.5,7,3378,2,1,1,1,1,1,0.8,138,1,13,11,6,11,570,1724,VeryHigh
1407,22,2.4,4,2192,13,0,1,1,1,1,0.7,104,0,9,7,1,4,1172,1217,High
605,9,1,3,392,4,0,1,1,0,0,0.1,142,0,15,6,8,16,160,1026,Low
1038,43,1.2,1,3709,12,0,1,0,1,0,0.7,141,1,11,0,3,5,4,638,VeryHigh
797,38,2.9,4,590,6,1,0,0,0,1,0.5,90,1,9,2,4,6,763,1413,Low
819,42,0.6,6,1814,13,1,1,1,1,0,0.9,188,0,5,4,8,20,339,1242,Medium
1114,9,2.8,3,907,17,0,1,1,0,0,0.4,197,1,10,7,4,15,1040,1071,Low
1234,33,1.6,1,1449,6,1,0,0,1,1,0.6,172,0,11,7,1,3,166,778,Low
1199,16,2.5,4,3448,10,1,1,1,1,1,0.2,116,0,17,13,15,20,1168,1552,VeryHigh
1103,29,1,6,1837,16,1,0,0,1,0,0.7,111,1,8,7,6,8,990,1486,Medium
1589,58,0.6,7,3464,6,1,1,1,1,1,0.9,85,1,19,10,0,7,319,1206,VeryHigh
999,64,2.9,4,2593,16,1,1,1,0,0,0.2,199,1,14,11,11,19,1397,1616,High
1510,45,0.9,5,3484,11,1,0,0,1,1,0.9,180,1,9,6,2,3,708,1752,VeryHigh
1008,61,0.8,3,2009,11,0,1,0,0,0,1,114,0,10,3,11,15,1077,1122,Medium
1127,57,2.9,1,2048,17,1,1,1,1,1,0.8,163,1,11,5,5,13,928,1049,Medium
1412,25,2.4,8,837,4,0,0,0,1,1,0.8,96,0,15,9,5,17,516,1894,Medium
1496,42,2,5,854,7,1,0,0,1,1,0.5,182,1,16,0,4,5,96,741,Low
1083,64,2.9,3,3210,4,1,1,1,0,1,0.8,178,0,13,3,1,11,1025,1118,VeryHigh
668,3,0.5,5,2746,8,1,1,0,1,0,0.1,155,1,9,5,0,13,666,1203,High
1309,33,1.1,4,2334,11,1,1,0,1,0,0.5,100,0,10,1,0,14,557,1402,High
1724,57,2,3,2822,16,1,1,1,0,0,0.5,177,1,19,3,2,5,1605,1924,VeryHigh
1977,54,2,7,1971,14,1,1,1,0,1,1,171,1,18,7,7,18,1226,1242,High
885,15,2.3,7,1410,5,1,1,1,1,0,0.4,103,1,16,10,0,0,769,802,Low
879,14,2.5,6,349,2,0,1,1,1,1,0.7,83,0,16,10,11,15,403,1105,Low
1322,7,1.7,3,1418,12,1,0,0,0,0,0.8,140,1,19,17,6,9,177,1990,Medium
1137,7,1,3,3616,12,0,1,0,1,1,1,196,1,13,5,18,19,942,1179,VeryHigh
1355,23,2.3,5,880,8,0,1,1,0,0,0.2,132,1,19,4,10,16,651,891,Low
1665,60,0.5,6,1601,14,0,1,1,0,1,0.2,194,0,18,17,3,18,1572,1684,High
657,37,2.5,2,1412,18,0,0,0,0,0,0.7,141,1,14,3,0,1,476,961,Low
593,31,0.5,7,1692,7,0,1,0,0,0,0.4,156,0,6,2,6,7,1233,1317,Medium
1883,10,0.5,6,2600,20,0,1,1,0,1,0.3,146,0,16,8,3,13,836,1739,VeryHigh
1732,12,1.1,8,1308,11,0,1,1,1,1,0.8,119,0,16,7,4,9,824,881,Medium
543,57,0.5,5,2413,15,0,1,0,0,0,0.7,192,0,17,14,0,4,391,984,Medium
1939,55,2.8,4,1047,18,1,1,1,0,1,0.6,199,1,14,10,0,10,320,520,Low
553,8,2.4,7,1204,8,1,1,1,1,0,0.5,121,1,11,4,1,3,325,902,Low
832,39,0.7,4,1799,11,1,1,1,1,0,0.7,103,0,5,2,2,3,125,1504,Medium
1661,23,1.9,5,2676,11,1,0,0,1,0,1,172,1,12,6,5,10,846,1634,VeryHigh
1657,42,2.4,5,2597,14,0,1,0,0,1,0.1,198,0,18,1,3,16,1770,1796,VeryHigh
1135,46,2,1,3029,9,1,1,0,1,1,0.3,83,1,19,17,0,4,293,1846,VeryHigh
1775,41,1.5,1,2343,14,0,1,0,1,1,0.1,163,1,19,13,3,7,1633,1869,VeryHigh
783,43,1.8,3,2016,18,1,1,1,0,0,1,106,1,16,4,0,4,1198,1471,Medium
617,32,2.3,7,2213,7,0,0,0,0,1,0.5,199,0,18,13,0,20,768,874,Medium
867,4,1.4,6,790,3,1,1,1,0,0,0.7,135,1,13,6,0,1,70,1974,Low
1310,7,1.1,5,3182,5,1,1,0,0,1,1,194,1,8,4,13,14,117,513,High
1804,22,0.5,7,3472,20,0,1,1,1,0,0.6,153,0,9,1,9,19,1158,1244,VeryHigh
1900,18,2.3,7,2871,13,0,1,1,1,1,0.2,89,1,12,1,1,9,1055,1661,VeryHigh
909,53,1.4,8,3187,4,0,1,0,0,1,0.3,82,0,12,9,0,0,635,973,High
1084,40,2.6,3,1945,10,0,1,1,0,1,0.9,107,1,15,4,3,11,322,771,Medium
1308,46,1.3,1,488,9,1,0,0,0,0,0.9,199,1,5,3,8,12,275,989,Low
1778,15,0.5,3,1214,14,0,1,0,0,0,0.5,102,0,5,0,0,0,1445,1954,Medium
1701,10,1.6,8,2598,6,1,0,0,0,1,0.3,194,1,12,9,3,7,550,1338,High
772,10,2.4,4,3242,4,1,1,1,0,1,0.5,80,1,18,11,1,2,1242,1712,VeryHigh
825,52,0.5,3,3534,6,1,0,0,0,1,0.9,130,1,10,4,7,10,597,863,VeryHigh
1379,36,1.1,2,3426,17,0,1,1,1,0,0.8,200,1,5,4,5,7,538,1376,VeryHigh
1166,25,2,5,2488,15,0,1,1,0,0,0.8,198,0,13,5,3,4,59,1203,High
1659,16,2.8,1,3255,9,0,0,0,1,0,0.6,89,0,19,14,5,20,819,902,VeryHigh
826,58,2.4,4,2863,18,1,1,1,1,1,0.3,88,0,9,3,0,1,179,786,High
1564,25,2.3,6,1496,7,0,1,1,1,0,0.5,189,1,6,4,4,17,1259,1965,Medium
1957,31,0.9,3,3801,7,1,1,0,1,0,0.6,181,0,12,0,11,16,396,1732,VeryHigh
1571,19,1.4,6,666,13,0,1,1,0,0,0.1,100,1,12,10,0,1,713,1398,Low
1414,54,2,7,3799,7,1,1,0,1,0,0.8,99,0,17,7,2,3,262,829,VeryHigh
1790,2,2.5,1,1366,20,1,1,0,1,0,0.1,184,1,7,0,9,14,622,792,Medium
645,41,0.5,7,2962,4,0,1,0,1,0,1,197,1,12,9,1,10,327,580,High
668,30,2.9,8,2399,7,1,1,0,1,0,0.2,195,1,10,5,7,12,522,1056,Medium
1652,36,1.1,4,2338,20,1,0,0,0,1,0.7,89,0,12,8,1,5,313,1264,High
1213,16,0.5,5,2700,9,0,0,0,1,1,0.5,108,0,12,3,0,0,226,1248,High
1272,22,2.5,6,2235,4,1,1,0,0,1,0.9,133,0,19,4,0,8,605,669,Medium
866,46,0.5,8,3825,2,1,1,1,1,0,0.5,179,1,12,11,5,7,692,1686,VeryHigh
536,3,2.4,7,284,4,1,1,1,0,0,0.3,182,1,12,9,12,14,1386,1539,Low
523,14,2.6,8,1427,9,1,0,0,0,0,0.1,155,1,9,1,1,2,304,1042,Low
1753,31,0.5,1,1324,17,1,1,1,1,0,0.1,134,0,17,0,0,18,1590,1926,High
1218,14,1.8,3,398,5,1,1,1,0,0,0.5,147,0,17,0,1,4,229,616,Low
1537,43,2.5,1,3685,17,0,1,1,1,1,0.3,137,1,18,17,4,5,839,1131,VeryHigh
786,33,2.2,7,2390,5,1,1,0,1,0,0.5,141,0,12,11,0,6,507,1697,High
1678,64,2.1,3,278,10,0,1,1,0,0,0.9,134,1,19,0,3,11,436,536,Low
1814,9,1.4,2,3556,16,1,1,1,0,0,0.4,141,0,18,12,1,2,756,786,VeryHigh
1101,31,1.8,2,2196,19,0,0,0,1,0,0.2,148,1,12,6,0,7,387,1269,Medium
1461,40,2.4,7,3799,4,1,1,1,0,0,0.5,141,0,16,1,3,4,1265,1298,VeryHigh
1216,47,3,3,2268,4,0,0,0,1,0,0.4,199,1,13,5,4,7,1852,1967,High
506,41,1.6,1,2965,15,0,1,1,0,0,0.8,159,0,13,10,6,7,875,1025,High
843,56,0.5,5,2341,20,0,1,1,1,1,0.1,147,1,10,1,1,17,140,800,Medium
742,56,2.2,7,3557,12,1,0,0,1,0,0.2,190,1,16,11,4,14,577,1359,VeryHigh
1692,61,2.1,6,1354,19,0,1,1,0,1,0.9,176,0,16,7,3,12,975,1996,Medium
1485,32,1,2,2147,11,0,1,1,0,0,0.7,84,1,19,1,2,9,510,1013,High
1547,45,2.9,2,505,3,1,0,0,1,0,0.7,166,1,12,2,6,8,583,590,Low
1692,46,2.3,1,1394,6,1,1,1,0,0,0.9,139,1,16,10,4,6,674,1925,Medium
637,60,2.3,4,374,8,0,1,1,1,0,0.8,97,0,18,4,3,4,1125,1989,Low
1224,6,0.5,6,506,11,0,1,1,1,0,0.4,109,1,10,0,16,18,747,826,Low
1356,29,2.8,6,3702,19,0,0,0,0,0,0.5,198,0,17,0,0,0,1612,1983,VeryHigh
1840,34,0.5,1,1078,10,1,0,0,0,0,0.7,142,0,8,0,12,16,311,1545,Medium
1481,37,0.7,5,2945,16,1,1,1,1,1,0.6,96,1,10,5,4,13,116,1533,High
961,51,1.5,6,2981,7,1,1,0,1,1,0.3,152,1,15,6,10,16,554,621,High
1296,14,0.9,5,490,4,1,1,1,1,0,0.5,124,1,7,1,0,3,811,1272,Low
1193,26,0.9,1,536,4,0,1,0,1,0,0.5,166,0,17,14,11,20,730,1729,Low
1441,3,2.1,8,2317,7,1,1,1,1,0,0.1,118,0,16,4,11,17,577,1071,High
517,33,1.4,4,3704,11,1,1,1,1,0,0.8,183,0,17,16,3,8,660,974,VeryHigh
748,27,1.7,8,2126,7,0,1,1,0,1,0.9,150,0,18,9,0,4,450,1554,Medium
1126,10,2.4,6,2050,12,0,1,1,1,1,0.4,160,1,7,6,2,3,1223,1611,High
1572,58,0.6,7,2462,10,0,1,1,0,0,0.2,157,0,12,8,0,8,1109,1937,VeryHigh
1569,44,2.8,4,1260,17,1,1,0,0,0,0.3,110,0,9,2,17,20,45,1942,Medium
1270,32,0.6,7,3770,13,1,1,1,0,1,0.5,101,1,5,3,2,6,299,845,VeryHigh
1854,8,3,5,1886,20,0,1,1,0,0,0.1,101,1,17,4,2,5,506,627,Medium
625,10,1.2,4,3323,7,1,1,1,1,1,0.2,183,1,9,1,5,8,635,842,High
1577,42,0.5,5,2060,12,1,1,1,0,0,0.3,197,0,19,6,0,4,1045,1737,High
534,16,0.5,5,3926,20,1,1,1,0,0,1,189,0,16,12,0,1,393,1199,VeryHigh
946,25,1.7,6,2177,13,1,1,1,1,0,0.8,143,1,7,5,8,15,650,1740,High
685,29,0.5,7,728,4,0,0,0,1,0,0.8,93,0,14,8,2,10,433,648,Low
1949,23,1.3,5,2478,20,1,1,0,0,0,0.1,101,0,14,8,0,1,839,1136,VeryHigh
947,22,0.8,2,2842,2,1,1,1,0,0,0.1,197,0,16,12,0,13,1176,1220,High
801,63,2.2,7,1617,19,1,0,0,1,1,0.4,165,0,17,4,2,4,650,879,Medium
703,30,2.7,1,1472,7,0,1,1,0,1,0.3,113,0,14,7,12,20,218,1065,Low
1165,41,2.4,6,764,15,0,1,0,0,1,0.2,178,0,19,12,11,12,564,831,Low
1082,38,0.8,8,2337,17,0,0,0,1,0,0.1,198,1,6,1,0,5,986,1191,High
959,20,2.6,4,3965,6,1,1,0,0,1,1,84,0,16,1,15,19,561,1631,VeryHigh
1502,54,1.2,5,3693,16,0,1,0,0,1,0.2,138,1,17,14,0,12,65,588,VeryHigh
1380,4,2.1,3,797,15,1,1,1,0,1,0.8,92,1,13,2,1,13,420,500,Low
1266,5,0.5,6,1687,18,0,1,1,0,0,0.1,95,0,11,0,0,9,1365,1698,High
1934,46,2.6,1,2940,2,1,1,1,1,1,0.1,103,1,13,9,0,17,619,1299,VeryHigh
1905,6,0.5,1,1545,10,0,1,1,0,1,0.5,151,1,9,5,3,5,849,898,Medium
1831,43,1.4,5,3834,13,1,1,0,1,0,0.9,150,1,17,7,2,5,611,1381,VeryHigh
596,46,1.4,1,2505,15,0,1,0,0,0,0.6,165,1,15,4,8,18,953,984,Medium
1562,7,1.3,5,2243,6,1,1,1,0,1,0.2,190,0,12,10,1,15,642,1533,High
1490,64,0.5,8,3600,7,1,1,1,1,1,0.3,150,1,17,9,4,8,1417,1464,VeryHigh
1523,57,2.4,2,3971,10,0,1,1,1,1,0.2,117,1,18,12,5,6,247,539,VeryHigh
640,20,0.6,4,2844,18,0,1,0,0,0,0.1,163,1,7,5,0,15,710,1179,High
1526,23,2.1,7,2227,3,0,1,1,0,0,0.2,117,1,18,10,1,8,718,751,High
1989,41,2.5,3,1665,12,1,1,1,1,0,0.8,94,1,17,9,0,13,1100,1497,High
1308,61,1.9,3,3355,4,0,1,1,1,0,0.7,106,0,15,2,0,7,59,1215,VeryHigh
609,26,0.5,4,1866,14,0,1,0,1,0,0.3,93,1,11,10,3,4,938,1948,Medium
1905,36,0.6,3,1287,16,1,1,1,0,0,0.4,119,0,13,4,9,20,825,1542,Medium
1703,22,0.5,1,1046,13,0,1,1,1,1,0.6,192,0,5,4,0,0,286,1235,Low
1445,20,2.4,7,1441,13,1,1,1,1,1,0.4,173,1,7,4,7,15,1273,1345,Medium
1087,16,1.3,3,690,6,0,1,1,1,0,0.3,166,0,14,6,0,9,295,589,Low
671,30,0.9,7,2504,15,1,1,0,0,0,0.7,105,0,6,4,10,17,852,1182,High
1472,61,2.3,6,2677,8,0,1,0,0,1,0.1,168,0,19,15,6,19,710,1052,High
765,47,0.5,8,2243,4,1,1,1,1,0,0.3,115,0,11,7,0,1,1277,1429,High
1642,8,0.5,6,2984,17,1,1,1,1,0,0.3,171,0,13,4,16,17,129,873,High
1265,49,1.5,5,1362,12,0,0,0,1,0,0.7,182,0,5,0,7,16,690,836,Medium
664,51,1.1,7,3629,6,1,1,1,1,1,0.1,110,1,19,15,1,4,701,1478,VeryHigh
1277,35,0.5,6,3559,6,1,1,1,0,1,0.4,142,1,18,17,0,6,309,1460,VeryHigh
1395,23,1.8,3,2571,13,1,1,0,1,0,0.1,111,0,11,0,0,1,213,705,High
1539,41,2.6,8,2107,10,0,1,0,1,1,0.1,159,0,15,9,0,0,1112,1666,High
1049,63,2.2,5,1022,13,0,0,0,0,1,0.5,135,0,11,3,9,17,199,1077,Low
1827,39,1.7,5,2844,10,0,1,1,0,0,0.5,128,1,14,9,4,16,55,1020,High
903,50,1,1,711,10,1,1,1,0,0,0.4,91,1,9,5,0,0,1230,1235,Low
1987,53,0.5,3,3117,8,0,1,1,1,1,1,181,1,18,5,3,7,1052,1516,VeryHigh
1154,49,1.2,8,978,7,1,1,1,1,0,0.2,181,0,5,3,0,2,541,1499,Low
1336,17,0.9,5,1869,16,0,1,1,1,0,0.2,194,1,13,1,5,9,55,583,Medium
1886,24,0.5,3,1179,20,0,1,1,1,0,0.4,112,0,16,7,0,1,809,1958,Medium
1551,51,1.1,5,3844,4,0,0,0,0,0,0.1,88,1,11,8,4,6,1738,1995,VeryHigh
850,29,1.6,5,593,10,1,1,1,1,1,0.5,133,0,19,17,6,19,404,642,Low
660,40,0.5,2,588,18,0,1,1,1,0,0.5,111,1,6,5,5,10,262,1178,Low
1225,13,2.1,4,3836,11,1,0,0,0,1,0.5,116,0,12,11,8,12,759,1404,VeryHigh
1452,25,0.5,6,2669,13,1,1,1,0,1,0.9,123,0,12,10,1,11,42,1040,High
1686,38,2.8,4,2958,2,1,0,0,0,1,0.1,166,0,14,11,3,4,397,1453,VeryHigh
1634,17,1.4,2,3031,6,0,1,1,1,1,0.2,200,1,11,6,1,5,964,1677,VeryHigh
1708,49,2.4,1,3388,16,1,1,1,1,1,0.1,109,1,6,4,18,19,233,517,VeryHigh
1151,31,2.9,8,2377,13,1,0,0,0,1,0.6,128,1,18,8,0,1,1022,1560,High
1578,37,1.9,4,2458,3,1,1,1,1,0,0.1,138,0,19,16,2,19,411,1226,High
1689,24,1.8,3,2766,7,0,0,0,1,0,0.3,127,1,7,2,17,18,954,1200,VeryHigh
1488,39,0.5,5,3054,19,0,0,0,0,0,0.8,112,0,14,10,1,6,1528,1647,VeryHigh
1313,9,1.8,1,3791,6,1,0,0,1,1,0.4,105,1,11,10,4,6,416,1308,VeryHigh
1715,31,1,8,625,13,1,1,1,0,0,0.5,83,0,17,6,4,17,638,1615,Low
1442,27,1,3,2227,20,1,1,0,0,0,0.1,192,1,6,5,0,19,231,687,Medium
528,6,1.7,2,3256,6,0,1,1,0,0,0.8,142,1,9,8,12,15,574,637,High
1523,11,1.8,1,707,19,0,1,1,0,1,0.1,129,1,19,8,6,8,148,1606,Low
1133,42,1.4,5,1457,20,0,1,0,1,0,0.1,199,0,18,12,3,12,730,1543,Medium
1718,6,2.5,5,3755,8,1,1,1,1,1,0.1,183,1,7,1,14,16,564,980,VeryHigh
1330,38,0.5,7,1733,11,0,1,0,1,0,1,183,0,9,0,0,1,1290,1441,Medium
1799,49,0.5,4,720,11,0,1,0,1,1,0.4,107,1,12,2,0,2,632,1383,Low
633,49,2.2,8,3560,16,0,1,1,1,1,0.1,139,1,11,1,0,1,529,1009,High
724,44,2.7,7,2311,7,1,1,0,0,0,0.5,187,0,7,6,0,0,1273,1754,High
822,51,0.5,6,3846,3,0,1,1,0,1,0.3,157,0,10,1,0,20,667,860,VeryHigh
1918,10,1.9,5,1717,16,0,1,0,1,0,0.6,110,1,7,1,2,10,1170,1543,High
1891,37,2.8,7,3704,11,0,1,1,0,0,0.4,129,0,8,6,7,14,169,1108,VeryHigh
1373,50,1,7,3800,14,1,1,0,0,1,0.2,127,0,8,3,2,12,105,673,VeryHigh
862,23,0.8,2,278,11,1,0,0,1,1,0.4,165,0,16,3,3,15,793,1758,Low
1273,48,1,4,1767,11,0,1,1,0,0,0.4,99,1,18,15,3,15,490,886,Medium
957,7,2.5,5,1846,7,0,1,0,1,1,0.8,107,0,12,5,4,10,1201,1485,Medium
1617,30,1.3,2,829,10,1,1,1,0,1,0.7,105,0,9,0,3,4,246,1038,Low
893,55,2.5,2,2986,6,1,0,0,1,0,0.6,183,1,7,1,0,1,417,946,High
1210,63,0.5,5,2394,7,0,0,0,0,0,0.1,93,0,17,9,0,0,1177,1462,High
708,63,2.7,8,2169,7,1,1,1,1,1,1,195,1,6,5,0,7,78,654,Medium
835,7,1.1,4,1181,15,1,1,0,1,0,0.2,101,1,13,5,2,7,323,1604,Low
1450,19,2.7,1,575,12,1,0,0,0,1,0.6,131,0,15,9,9,17,707,1882,Low
973,57,1.5,7,2977,2,0,1,1,0,1,0.2,190,0,6,4,5,16,457,1816,High
601,4,1.4,4,532,10,0,1,1,1,1,0.1,154,1,12,8,4,13,356,765,Low
507,32,0.5,7,1702,5,1,1,0,1,1,0.5,141,1,17,0,1,11,936,1398,Medium
564,51,1.8,3,1074,15,1,1,1,0,0,0.5,168,1,14,8,0,1,912,1980,Low
1559,6,1.6,6,3352,3,1,1,1,1,1,0.5,162,1,9,1,6,17,179,1559,VeryHigh
754,59,0.5,7,1027,5,1,1,1,0,0,0.7,178,0,6,3,7,10,1914,1928,Medium
728,25,2.7,4,2039,12,1,1,0,1,0,0.2,88,1,5,1,0,1,526,1529,Medium
1431,56,0.5,1,461,8,0,1,1,0,1,0.6,191,0,7,3,0,1,156,952,Low
767,28,1.5,4,527,15,0,0,0,0,0,0.7,175,1,10,0,4,10,344,1517,Low
1722,18,2.6,2,3271,15,0,1,0,1,0,0.8,177,0,14,0,8,16,865,1741,VeryHigh
1992,57,1.6,2,606,4,0,1,1,1,1,1,100,1,9,3,5,15,1552,1596,Medium
1876,40,0.5,6,2513,16,0,1,1,0,0,0.3,86,1,10,8,10,14,546,1564,VeryHigh
1054,38,1.1,6,1675,14,1,1,1,1,0,0.4,136,1,18,4,10,12,1097,1222,Medium
1283,47,1.6,5,2698,17,1,1,0,0,1,0.9,93,1,9,6,4,5,372,692,High
1281,28,2.3,1,1129,6,1,0,0,0,1,0.3,148,1,12,1,0,6,1285,1617,Medium
1066,7,0.6,7,468,6,0,1,1,0,0,0.9,114,1,19,13,2,18,1242,1571,Low
730,4,2.1,8,1210,4,1,1,1,1,0,0.1,89,1,19,15,0,2,302,1247,Low
1053,45,0.8,1,3086,5,1,1,1,1,1,0.3,103,1,17,6,7,12,594,1767,VeryHigh
