Category,Species,Weight,Height,Width,Length1,Length2,Length3
6,Smelt,7.5,1.972,1.16,10,10.5,11.6
6,Smelt,7,1.7284,1.1484,10.1,10.6,11.6
6,Smelt,9.7,2.196,1.38,10.4,11,12
6,Smelt,9.8,2.0832,1.2772,10.7,11.2,12.4
6,Smelt,8.7,1.9782,1.2852,10.8,11.3,12.6
6,Smelt,10,2.2139,1.2838,11.3,11.8,13.1
6,Smelt,9.9,2.2139,1.1659,11.3,11.8,13.1
6,Smelt,9.8,2.2044,1.1484,11.4,12,13.2
6,Smelt,12.2,2.0904,1.3936,11.5,12.2,13.4
6,Smelt,13.4,2.43,1.269,11.7,12.4,13.5
6,Smelt,12.2,2.277,1.2558,12.1,13,13.8
6,Smelt,19.7,2.8728,2.0672,13.2,14.3,15.2
6,Smelt,19.9,2.9322,1.8792,13.8,15,16.2
