"LocID","Location","Time","AgeGrp","AgeGrpStart","AgeGrpSpan","PopMale","PopFemale","PopTotal"
"426","Lesotho","2020","0-4","0","5","127.621","125.892","253.513"
"430","Liberia","2020","0-4","0","5","377.951","362.542","740.493"
"434","Libya","2020","0-4","0","5","320.512","303.486","623.998"
"440","Lithuania","2020","0-4","0","5","74.742","70.376","145.118"
"442","Luxembourg","2020","0-4","0","5","17.102","16.147","33.249"
"450","Madagascar","2020","0-4","0","5","2078.553","2030.874","4109.427"
"454","Malawi","2020","0-4","0","5","1477.013","1446.93","2923.943"
"458","Malaysia","2020","0-4","0","5","1356.48","1278.631","2635.111"
"462","Maldives","2020","0-4","0","5","18.395","17.184","35.579"
"466","Mali","2020","0-4","0","5","1833.532","1771.982","3605.514"
"470","Malta","2020","0-4","0","5","11.144","10.53","21.674"
"474","Martinique","2020","0-4","0","5","9.349","9.004","18.353"
"478","Mauritania","2020","0-4","0","5","351.305","338.569","689.874"
"480","Mauritius","2020","0-4","0","5","32.65","31.398","64.048"
"175","Mayotte","2020","0-4","0","5","18.298","17.78","36.078"
"928","Melanesia","2020","0-4","0","5","703.459","658.149","1361.608"
"484","Mexico","2020","0-4","0","5","5604.781","5353.961","10958.742"
"954","Micronesia","2020","0-4","0","5","27.695","26.163","53.858"
"496","Mongolia","2020","0-4","0","5","190.221","185.239","375.46"
"499","Montenegro","2020","0-4","0","5","19.125","17.781","36.906"
"504","Morocco","2020","0-4","0","5","1706.33","1618.708","3325.038"
"508","Mozambique","2020","0-4","0","5","2590.85","2565.778","5156.628"
"104","Myanmar","2020","0-4","0","5","2276.58","2231.976","4508.556"
"516","Namibia","2020","0-4","0","5","168.341","167.737","336.078"
"524","Nepal","2020","0-4","0","5","1385.708","1321.065","2706.773"
"528","Netherlands","2020","0-4","0","5","440.38","418.52","858.9"
"540","New Caledonia","2020","0-4","0","5","10.124","9.674","19.798"
"554","New Zealand","2020","0-4","0","5","154.692","146.564","301.256"
"558","Nicaragua","2020","0-4","0","5","335.511","321.431","656.942"
"562","Niger","2020","0-4","0","5","2440.373","2347.101","4787.474"
"566","Nigeria","2020","0-4","0","5","17377.466","16561.329","33938.795"
"807","North Macedonia","2020","0-4","0","5","57.665","54.218","111.883"
"578","Norway","2020","0-4","0","5","155.382","146.366","301.748"
"1835","Oceania (excluding Australia and New Zealand)","2020","0-4","0","5","766.181","717.231","1483.412"
"512","Oman","2020","0-4","0","5","231.912","221.754","453.666"
"586","Pakistan","2020","0-4","0","5","14509.296","13453.556","27962.852"
"591","Panama","2020","0-4","0","5","199.05","190.263","389.313"
"598","Papua New Guinea","2020","0-4","0","5","572.643","534.541","1107.184"
"600","Paraguay","2020","0-4","0","5","358.637","342.455","701.092"
"604","Peru","2020","0-4","0","5","1449.868","1383.397","2833.265"
"608","Philippines","2020","0-4","0","5","5450.633","5165.709","10616.342"
"616","Poland","2020","0-4","0","5","967.319","917.595","1884.914"
"957","Polynesia","2020","0-4","0","5","35.027","32.919","67.946"
"620","Portugal","2020","0-4","0","5","206.364","194.288","400.652"
"630","Puerto Rico","2020","0-4","0","5","43.553","40.738","84.291"
"634","Qatar","2020","0-4","0","5","69.262","65.9","135.162"
"410","Republic of Korea","2020","0-4","0","5","974.3","922.711","1897.011"
"498","Republic of Moldova","2020","0-4","0","5","103.954","98.566","202.52"
"642","Romania","2020","0-4","0","5","482.783","456.823","939.606"
"643","Russian Federation","2020","0-4","0","5","4762.826","4508.865","9271.691"
"646","Rwanda","2020","0-4","0","5","949.898","935.207","1885.105"
"638","R̩union","2020","0-4","0","5","32.894","31.945","64.839"
"662","Saint Lucia","2020","0-4","0","5","5.485","5.341","10.826"
"670","Saint Vincent and the Grenadines","2020","0-4","0","5","3.904","3.802","7.706"
"882","Samoa","2020","0-4","0","5","14.025","12.965","26.99"
"678","Sao Tome and Principe","2020","0-4","0","5","16.064","15.69","31.754"
"682","Saudi Arabia","2020","0-4","0","5","1510.712","1467.625","2978.337"
"686","Senegal","2020","0-4","0","5","1326.412","1288.929","2615.341"
"688","Serbia","2020","0-4","0","5","216.711","202.346","419.057"
"690","Seychelles","2020","0-4","0","5","4.097","3.87","7.967"
"694","Sierra Leone","2020","0-4","0","5","580.904","577.747","1158.651"
"702","Singapore","2020","0-4","0","5","134.065","124.111","258.176"
"703","Slovakia","2020","0-4","0","5","145.185","138.506","283.691"
"705","Slovenia","2020","0-4","0","5","52.033","49.239","101.272"
"90","Solomon Islands","2020","0-4","0","5","53.119","50.037","103.156"
"706","Somalia","2020","0-4","0","5","1423.977","1402.528","2826.505"
"724","Spain","2020","0-4","0","5","1025.667","964.429","1990.096"
"144","Sri Lanka","2020","0-4","0","5","844.332","816.078","1660.41"
"275","State of Palestine","2020","0-4","0","5","354.51","338.403","692.913"
"729","Sudan","2020","0-4","0","5","3215.817","3123.261","6339.078"
"740","Suriname","2020","0-4","0","5","27.047","25.139","52.186"
"752","Sweden","2020","0-4","0","5","309.24","292.21","601.45"
"756","Switzerland","2020","0-4","0","5","231.28","220.549","451.829"
"760","Syrian Arab Republic","2020","0-4","0","5","979.588","939.508","1919.096"
"762","Tajikistan","2020","0-4","0","5","697.535","659.215","1356.75"
"764","Thailand","2020","0-4","0","5","1850.417","1745.635","3596.052"
"626","Timor-Leste","2020","0-4","0","5","90.693","87.391","178.084"
"768","Togo","2020","0-4","0","5","611.674","608.386","1220.06"
"776","Tonga","2020","0-4","0","5","6.263","5.938","12.201"
"780","Trinidad and Tobago","2020","0-4","0","5","44.905","43.461","88.366"
"788","Tunisia","2020","0-4","0","5","515.063","489.091","1004.154"
"792","Turkey","2020","0-4","0","5","3356.73","3210.418","6567.148"
"795","Turkmenistan","2020","0-4","0","5","335.491","325.574","661.065"
"800","Uganda","2020","0-4","0","5","3938.451","3857.588","7796.039"
"804","Ukraine","2020","0-4","0","5","1087.54","1026.31","2113.85"
"784","United Arab Emirates","2020","0-4","0","5","254.845","244.293","499.138"
"826","United Kingdom","2020","0-4","0","5","2009.363","1915.127","3924.49"
"834","United Republic of Tanzania","2020","0-4","0","5","4924.67","4813.932","9738.602"
"850","United States Virgin Islands","2020","0-4","0","5","3.073","2.897","5.97"
"840","United States of America","2020","0-4","0","5","10055.063","9621.269","19676.332"
"858","Uruguay","2020","0-4","0","5","120.998","115.658","236.656"
"860","Uzbekistan","2020","0-4","0","5","1766.87","1664.767","3431.637"
"548","Vanuatu","2020","0-4","0","5","21.657","20.423","42.08"
"862","Venezuela (Bolivarian Republic of)","2020","0-4","0","5","1202.873","1160.536","2363.409"
"704","Viet Nam","2020","0-4","0","5","4164.842","3727.629","7892.471"
"887","Yemen","2020","0-4","0","5","2099.843","2015.463","4115.306"
"894","Zambia","2020","0-4","0","5","1489.489","1456.965","2946.454"
"716","Zimbabwe","2020","0-4","0","5","1054.557","1042.891","2097.448"
"4","Afghanistan","2020","05. Sep","5","5","2774.63","2641.593","5416.223"
"8","Albania","2020","05. Sep","5","5","87.732","79.822","167.554"
"12","Algeria","2020","05. Sep","5","5","2366.637","2269.335","4635.972"
"24","Angola","2020","05. Sep","5","5","2568.244","2535.92","5104.164"
"28","Antigua and Barbuda","2020","05. Sep","5","5","3.668","3.56","7.228"
"32","Argentina","2020","05. Sep","5","5","1889.129","1820.688","3709.817"
"51","Armenia","2020","05. Sep","5","5","113.643","100.229","213.872"
"533","Aruba","2020","05. Sep","5","5","2.89","2.787","5.677"
"36","Australia","2020","05. Sep","5","5","841.026","798.241","1639.267"
"40","Austria","2020","05. Sep","5","5","219.996","206.02","426.016"
"31","Azerbaijan","2020","05. Sep","5","5","460.346","400.294","860.64"
"44","Bahamas","2020","05. Sep","5","5","13.649","12.941","26.59"
"48","Bahrain","2020","05. Sep","5","5","58.503","51.578","110.081"
"50","Bangladesh","2020","05. Sep","5","5","7476.957","7167.474","14644.431"
"52","Barbados","2020","05. Sep","5","5","7.875","7.623","15.498"
"112","Belarus","2020","05. Sep","5","5","306.942","288.777","595.719"
"56","Belgium","2020","05. Sep","5","5","345.558","323.492","669.05"
"84","Belize","2020","05. Sep","5","5","19.578","19.082","38.66"
"204","Benin","2020","05. Sep","5","5","856.395","832.226","1688.621"
"64","Bhutan","2020","05. Sep","5","5","31.475","30.498","61.973"
"68","Bolivia (Plurinational State of)","2020","05. Sep","5","5","602.325","576.763","1179.088"
"70","Bosnia and Herzegovina","2020","05. Sep","5","5","83.189","78.769","161.958"
"72","Botswana","2020","05. Sep","5","5","135.08","132.15","267.23"
"76","Brazil","2020","05. Sep","5","5","7464.84","7136.977","14601.817"
"96","Brunei Darussalam","2020","05. Sep","5","5","17.907","16.776","34.683"
"100","Bulgaria","2020","05. Sep","5","5","173.016","163.636","336.652"
"854","Burkina Faso","2020","05. Sep","5","5","1566.931","1512.775","3079.706"
"108","Burundi","2020","05. Sep","5","5","916.098","902.509","1818.607"
"132","Cabo Verde","2020","05. Sep","5","5","26.956","26.188","53.144"
"116","Cambodia","2020","05. Sep","5","5","893.05","858.56","1751.61"
"120","Cameroon","2020","05. Sep","5","5","1881.835","1848.488","3730.323"
"124","Canada","2020","05. Sep","5","5","1011.765","966.024","1977.789"
"148","Chad","2020","05. Sep","5","5","1265.436","1256.678","2522.114"
"830","Channel Islands","2020","05. Sep","5","5","4.439","4.422","8.861"
"152","Chile","2020","05. Sep","5","5","643.991","621.865","1265.856"
"156","China","2020","05. Sep","5","5","46320.144","40415.039","86735.183"
"344","China, Hong Kong SAR","2020","05. Sep","5","5","160.585","141.047","301.632"
"446","China, Macao SAR","2020","05. Sep","5","5","16.913","15.971","32.884"
"158","China, Taiwan Province of China","2020","05. Sep","5","5","540.94","500.809","1041.749"
"170","Colombia","2020","05. Sep","5","5","1893.684","1809.772","3703.456"
"174","Comoros","2020","05. Sep","5","5","58.084","56.046","114.13"
"178","Congo","2020","05. Sep","5","5","388.643","381.733","770.376"
"188","Costa Rica","2020","05. Sep","5","5","182.964","174.632","357.596"
"191","Croatia","2020","05. Sep","5","5","104.113","97.512","201.625"
"192","Cuba","2020","05. Sep","5","5","322.66","305.433","628.093"
"531","Cura̤ao","2020","05. Sep","5","5","5.293","5.042","10.335"
"196","Cyprus","2020","05. Sep","5","5","34.761","32.815","67.576"
"203","Czechia","2020","05. Sep","5","5","285.03","269.806","554.836"
"384","C̫te d'Ivoire","2020","05. Sep","5","5","1818.185","1800.901","3619.086"
"408","Dem. People's Republic of Korea","2020","05. Sep","5","5","861.542","822.736","1684.278"
"180","Democratic Republic of the Congo","2020","05. Sep","5","5","6888.387","6771.48","13659.867"
"208","Denmark","2020","05. Sep","5","5","152.596","144.837","297.433"
"262","Djibouti","2020","05. Sep","5","5","49.542","48.406","97.948"
"214","Dominican Republic","2020","05. Sep","5","5","508.235","488.284","996.519"
"218","Ecuador","2020","05. Sep","5","5","822.971","787.672","1610.643"
"818","Egypt","2020","05. Sep","5","5","6354.802","5976.526","12331.328"
"222","El Salvador","2020","05. Sep","5","5","292.036","278.571","570.607"
"226","Equatorial Guinea","2020","05. Sep","5","5","87.182","84.828","172.01"
"232","Eritrea","2020","05. Sep","5","5","243.666","233.034","476.7"
"233","Estonia","2020","05. Sep","5","5","38.077","36.408","74.485"
"748","Eswatini","2020","05. Sep","5","5","71.959","70.984","142.943"
"231","Ethiopia","2020","05. Sep","5","5","7720.508","7525.556","15246.064"
"242","Fiji","2020","05. Sep","5","5","44.88","42.87","87.75"
"246","Finland","2020","05. Sep","5","5","155.843","148.704","304.547"
"250","France","2020","05. Sep","5","5","1995.914","1911.573","3907.487"
"254","French Guiana","2020","05. Sep","5","5","15.697","14.803","30.5"
"258","French Polynesia","2020","05. Sep","5","5","10.134","9.408","19.542"
"266","Gabon","2020","05. Sep","5","5","141.075","138.555","279.63"
"270","Gambia","2020","05. Sep","5","5","178.154","174.65","352.804"
"268","Georgia","2020","05. Sep","5","5","147.779","137.039","284.818"
"276","Germany","2020","05. Sep","5","5","1970.345","1851.88","3822.225"
"288","Ghana","2020","05. Sep","5","5","1985.078","1903.357","3888.435"
"300","Greece","2020","05. Sep","5","5","243.575","228.093","471.668"
"308","Grenada","2020","05. Sep","5","5","4.665","4.454","9.119"
"312","Guadeloupe","2020","05. Sep","5","5","11.225","10.872","22.097"
"316","Guam","2020","05. Sep","5","5","6.898","6.537","13.435"
"320","Guatemala","2020","05. Sep","5","5","1012.605","969.48","1982.085"
"324","Guinea","2020","05. Sep","5","5","938.907","926.606","1865.513"
"624","Guinea-Bissau","2020","05. Sep","5","5","139.575","137.663","277.238"
"328","Guyana","2020","05. Sep","5","5","37.964","35.8","73.764"
"332","Haiti","2020","05. Sep","5","5","629.566","608.27","1237.836"
"340","Honduras","2020","05. Sep","5","5","505.121","483.854","988.975"
"348","Hungary","2020","05. Sep","5","5","229.364","218.06","447.424"
"352","Iceland","2020","05. Sep","5","5","11.493","11.138","22.631"
"356","India","2020","05. Sep","5","5","61877.169","56104.958","117982.127"
"360","Indonesia","2020","05. Sep","5","5","12411.28","11886.87","24298.15"
"364","Iran (Islamic Republic of)","2020","05. Sep","5","5","3566.704","3361.593","6928.297"
"368","Iraq","2020","05. Sep","5","5","2687.416","2542.391","5229.807"
"372","Ireland","2020","05. Sep","5","5","183.869","174.421","358.29"
"376","Israel","2020","05. Sep","5","5","422.77","400.498","823.268"
"380","Italy","2020","05. Sep","5","5","1374.731","1295.57","2670.301"
"388","Jamaica","2020","05. Sep","5","5","119.381","114.585","233.966"
"392","Japan","2020","05. Sep","5","5","2773.482","2628.006","5401.488"
"400","Jordan","2020","05. Sep","5","5","588.281","566.16","1154.441"
"398","Kazakhstan","2020","05. Sep","5","5","1001.296","946.53","1947.826"
"404","Kenya","2020","05. Sep","5","5","3508.267","3461.279","6969.546"
"296","Kiribati","2020","05. Sep","5","5","7.479","6.824","14.303"
"414","Kuwait","2020","05. Sep","5","5","170.63","148.007","318.637"
"417","Kyrgyzstan","2020","05. Sep","5","5","394.094","375.101","769.195"
"428","Latvia","2020","05. Sep","5","5","48.731","45.018","93.749"
"422","Lebanon","2020","05. Sep","5","5","306.544","279.486","586.03"
"426","Lesotho","2020","05. Sep","5","5","112.635","112.6","225.235"
"430","Liberia","2020","05. Sep","5","5","346.028","332.295","678.323"
"434","Libya","2020","05. Sep","5","5","339.627","321.796","661.423"
"440","Lithuania","2020","05. Sep","5","5","80.143","75.414","155.557"
"442","Luxembourg","2020","05. Sep","5","5","16.733","15.924","32.657"
"450","Madagascar","2020","05. Sep","5","5","1845.421","1808.089","3653.51"
"454","Malawi","2020","05. Sep","5","5","1381.621","1356.955","2738.576"
"458","Malaysia","2020","05. Sep","5","5","1291.474","1216.604","2508.078"
"462","Maldives","2020","05. Sep","5","5","19.317","17.925","37.242"
"466","Mali","2020","05. Sep","5","5","1604.185","1550.62","3154.805"
"470","Malta","2020","05. Sep","5","5","11.118","10.31","21.428"
"474","Martinique","2020","05. Sep","5","5","9.076","8.524","17.6"
"478","Mauritania","2020","05. Sep","5","5","313.838","304.116","617.954"
"480","Mauritius","2020","05. Sep","5","5","35.076","33.762","68.838"
"175","Mayotte","2020","05. Sep","5","5","17.95","17.446","35.396"
"928","Melanesia","2020","05. Sep","5","5","662.91","621.339","1284.249"
"484","Mexico","2020","05. Sep","5","5","5731.706","5478.805","11210.511"
"954","Micronesia","2020","05. Sep","5","5","27.619","25.683","53.302"
"496","Mongolia","2020","05. Sep","5","5","183.2","178.815","362.015"
"499","Montenegro","2020","05. Sep","5","5","19.261","17.776","37.037"
"504","Morocco","2020","05. Sep","5","5","1757.751","1669.826","3427.577"
"508","Mozambique","2020","05. Sep","5","5","2287.928","2273.226","4561.154"
"104","Myanmar","2020","05. Sep","5","5","2271.644","2241.061","4512.705"
"516","Namibia","2020","05. Sep","5","5","159.147","159.301","318.448"
"524","Nepal","2020","05. Sep","5","5","1385.863","1370.347","2756.21"
"528","Netherlands","2020","05. Sep","5","5","458.893","434.97","893.863"
"540","New Caledonia","2020","05. Sep","5","5","10.995","10.521","21.516"
"554","New Zealand","2020","05. Sep","5","5","161.05","152.978","314.028"
"558","Nicaragua","2020","05. Sep","5","5","338.768","321.436","660.204"
"562","Niger","2020","05. Sep","5","5","2018.657","1951.895","3970.552"
"566","Nigeria","2020","05. Sep","5","5","15287.661","14625.985","29913.646"
"807","North Macedonia","2020","05. Sep","5","5","59.956","55.713","115.669"
"578","Norway","2020","05. Sep","5","5","160.458","152.117","312.575"
"1835","Oceania (excluding Australia and New Zealand)","2020","05. Sep","5","5","724.229","678.296","1402.525"
"512","Oman","2020","05. Sep","5","5","191.623","187.284","378.907"
"586","Pakistan","2020","05. Sep","5","5","13226.191","12273.189","25499.38"
"591","Panama","2020","05. Sep","5","5","196.392","188.074","384.466"
"598","Papua New Guinea","2020","05. Sep","5","5","538.956","504.208","1043.164"
"600","Paraguay","2020","05. Sep","5","5","348.935","333.884","682.819"
"604","Peru","2020","05. Sep","5","5","1309.452","1302.683","2612.135"
"608","Philippines","2020","05. Sep","5","5","5846.072","5551.88","11397.952"
"616","Poland","2020","05. Sep","5","5","973.593","926.364","1899.957"
"957","Polynesia","2020","05. Sep","5","5","33.7","31.274","64.974"
"620","Portugal","2020","05. Sep","5","5","226.686","213.738","440.424"
"630","Puerto Rico","2020","05. Sep","5","5","80.256","75.777","156.033"
"634","Qatar","2020","05. Sep","5","5","69.595","65.779","135.374"
"410","Republic of Korea","2020","05. Sep","5","5","1158.751","1098.051","2256.802"
"498","Republic of Moldova","2020","05. Sep","5","5","114.314","107.224","221.538"
"642","Romania","2020","05. Sep","5","5","496.283","469.158","965.441"
"643","Russian Federation","2020","05. Sep","5","5","4802.236","4548.68","9350.916"
"646","Rwanda","2020","05. Sep","5","5","841.15","834.768","1675.918"
"638","R̩union","2020","05. Sep","5","5","34.341","33.212","67.553"
"662","Saint Lucia","2020","05. Sep","5","5","5.563","5.423","10.986"
"670","Saint Vincent and the Grenadines","2020","05. Sep","5","5","4.113","4.128","8.241"
"882","Samoa","2020","05. Sep","5","5","12.525","11.608","24.133"
"678","Sao Tome and Principe","2020","05. Sep","5","5","15.492","15.165","30.657"
"682","Saudi Arabia","2020","05. Sep","5","5","1510.498","1467.381","2977.879"
"686","Senegal","2020","05. Sep","5","5","1224.809","1192.431","2417.24"
"688","Serbia","2020","05. Sep","5","5","225.782","210.981","436.763"
"690","Seychelles","2020","05. Sep","5","5","4.095","3.871","7.966"
"694","Sierra Leone","2020","05. Sep","5","5","534.486","532.748","1067.234"
"702","Singapore","2020","05. Sep","5","5","113.785","107.076","220.861"
"703","Slovakia","2020","05. Sep","5","5","144.632","138.268","282.9"
"705","Slovenia","2020","05. Sep","5","5","56.013","52.886","108.899"
"90","Solomon Islands","2020","05. Sep","5","5","47.985","45.029","93.014"
"706","Somalia","2020","05. Sep","5","5","1202.295","1186.564","2388.859"
"724","Spain","2020","05. Sep","5","5","1156.707","1087.684","2244.391"
"144","Sri Lanka","2020","05. Sep","5","5","856.054","833.571","1689.625"
"275","State of Palestine","2020","05. Sep","5","5","343.36","328.255","671.615"
"729","Sudan","2020","05. Sep","5","5","2934.394","2855.334","5789.728"
"740","Suriname","2020","05. Sep","5","5","27.269","25.376","52.645"
"752","Sweden","2020","05. Sep","5","5","304.038","288.463","592.501"
"756","Switzerland","2020","05. Sep","5","5","222.436","210.68","433.116"
"760","Syrian Arab Republic","2020","05. Sep","5","5","875.341","841.466","1716.807"
"762","Tajikistan","2020","05. Sep","5","5","626.648","594.212","1220.86"
"764","Thailand","2020","05. Sep","5","5","1976.67","1867.11","3843.78"
"626","Timor-Leste","2020","05. Sep","5","5","78.325","75.469","153.794"
"768","Togo","2020","05. Sep","5","5","561.621","558.5","1120.121"
"776","Tonga","2020","05. Sep","5","5","6.42","6.018","12.438"
"780","Trinidad and Tobago","2020","05. Sep","5","5","48.795","47.29","96.085"
"788","Tunisia","2020","05. Sep","5","5","522.024","491.581","1013.605"
"792","Turkey","2020","05. Sep","5","5","3502.739","3349.383","6852.122"
"795","Turkmenistan","2020","05. Sep","5","5","340.575","331.29","671.865"
"800","Uganda","2020","05. Sep","5","5","3561.034","3498.879","7059.913"
"804","Ukraine","2020","05. Sep","5","5","1274.658","1201.003","2475.661"
