Price,SpeedGHz,HDisk,RAM,Screen,Branded,Gaming,MultiCore
17200,25,170,4,14,yes,no,yes
14950,33,85,2,14,no,no,yes
23990,66,120,4,14,no,no,yes
30350,50,250,8,17,no,no,yes
24490,33,230,4,14,no,no,yes
17750,33,170,4,14,no,no,yes
25990,33,245,16,15,no,no,yes
29950,66,340,8,15,no,no,yes
23450,33,250,8,15,no,no,yes
25350,33,170,8,15,no,no,yes
23450,50,250,8,14,no,no,yes
18990,50,120,4,14,no,no,yes
21950,50,130,4,14,no,no,yes
26450,50,170,8,14,no,no,yes
27850,50,170,8,15,no,no,yes
27990,50,245,16,15,no,no,yes
29990,66,340,4,15,no,no,yes
20950,33,250,4,15,no,no,yes
40200,66,500,8,14,yes,no,yes
25950,50,250,8,15,no,no,yes
26950,33,340,16,14,no,no,yes
21950,33,250,8,15,no,no,yes
29950,66,340,16,14,no,no,yes
21950,50,170,4,14,no,no,yes
23990,33,212,8,14,no,no,yes
24050,66,250,8,14,no,no,yes
17950,66,85,2,14,no,no,yes
22250,33,250,8,14,no,no,yes
19950,33,250,4,14,no,no,yes
22990,50,212,4,14,no,no,yes
17950,33,170,4,15,no,no,yes
25450,66,250,8,15,no,no,yes
25950,66,245,8,14,no,no,yes
13990,25,170,4,14,no,no,yes
24750,50,250,8,14,no,no,yes
25950,25,340,16,14,no,no,yes
16950,50,85,2,14,no,no,yes
39950,66,452,8,14,no,no,yes
29990,66,240,4,15,no,no,yes
24950,50,245,8,14,no,no,yes
24550,66,250,8,14,no,no,yes
22990,50,212,4,14,no,no,yes
26900,25,340,16,14,no,no,yes
21550,33,250,8,14,no,no,yes
28900,33,340,16,14,no,no,yes
18990,33,170,4,14,no,no,yes
15950,25,170,4,14,no,no,yes
19900,25,130,4,14,no,no,yes
18950,25,130,4,14,no,no,yes
18950,33,170,4,14,no,no,yes
27990,50,245,16,15,no,no,yes
25900,50,245,8,14,no,no,yes
14990,25,170,4,14,no,no,yes
29550,50,250,8,17,no,no,yes
22850,50,250,8,14,no,no,yes
24750,50,250,8,15,no,no,yes
37950,33,452,8,14,no,no,yes
19990,33,213,8,14,no,no,yes
25990,50,212,8,14,no,no,yes
28950,50,340,16,14,no,no,yes
38950,50,452,8,14,no,no,yes
26950,66,250,8,14,no,no,yes
19950,50,170,4,14,no,no,yes
23990,66,120,4,14,no,no,yes
26050,33,250,8,17,no,no,yes
23350,66,250,8,14,no,no,yes
21950,66,170,4,14,no,no,yes
24250,66,250,8,15,no,no,yes
29950,66,340,16,14,no,no,yes
25990,33,245,16,15,no,no,yes
23900,33,245,8,14,no,no,yes
16900,33,85,2,14,no,no,yes
14950,33,85,2,14,no,no,yes
23950,33,250,8,14,no,no,yes
20990,33,212,4,14,no,no,yes
30900,66,340,16,14,no,no,yes
25990,33,240,4,15,no,no,yes
19990,33,170,4,14,no,no,yes
21950,50,130,4,14,no,no,yes
21900,33,130,4,14,no,no,yes
20250,50,170,4,14,no,no,yes
16990,33,120,4,14,no,no,yes
27900,33,340,16,14,no,no,yes
17950,33,170,4,14,no,no,yes
29900,50,340,16,14,no,no,yes
29050,66,250,8,17,no,no,yes
28250,33,250,8,17,no,no,yes
23900,66,130,4,14,no,no,yes
26990,66,213,8,14,no,no,yes
29950,66,340,8,15,no,no,yes
15900,33,85,2,14,no,no,yes
23450,33,250,8,15,no,no,yes
21990,50,213,8,14,no,no,yes
22900,50,130,4,14,no,no,yes
25950,50,250,8,15,no,no,yes
25150,33,250,8,15,no,no,yes
21450,50,170,4,14,no,no,yes
24050,50,250,8,14,no,no,yes
25250,50,250,8,14,no,no,yes
25950,50,250,8,15,no,no,yes
20900,33,130,4,14,no,no,yes
20750,66,170,4,14,no,no,yes
27990,50,240,4,15,no,no,yes
32990,66,245,16,15,no,no,yes
26450,66,250,8,15,no,no,yes
31250,66,250,8,17,no,no,yes
22950,33,245,8,14,no,no,yes
17750,33,170,4,14,no,no,yes
20950,33,130,4,14,no,no,yes
21550,50,250,8,14,no,no,yes
30750,50,250,8,17,no,no,yes
28150,66,250,8,15,no,no,yes
15990,25,170,4,14,no,no,yes
20990,33,120,4,14,no,no,no
26450,50,250,8,15,no,no,yes
17950,66,85,2,14,no,no,yes
20350,33,250,8,14,no,no,yes
24900,33,245,8,14,no,no,yes
32250,66,212,4,15,no,no,no
26900,66,245,8,14,no,no,yes
21950,25,245,8,14,no,no,yes
18900,66,85,2,14,no,no,yes
19950,33,130,4,14,no,no,yes
26950,33,340,16,14,no,no,yes
25950,25,340,16,14,no,no,yes
15950,33,85,2,14,no,no,yes
14900,25,85,2,14,no,no,yes
21250,33,250,8,15,no,no,yes
23990,66,213,8,14,no,no,yes
27950,33,340,16,14,no,no,yes
22900,25,245,8,14,no,no,yes
23950,33,245,8,14,no,no,yes
23990,33,212,8,14,no,no,yes
17900,50,85,2,14,no,no,yes
20990,66,120,4,14,no,no,yes
13950,25,85,2,14,no,no,yes
18950,50,170,4,14,no,no,yes
22950,66,130,4,14,no,no,yes
25950,66,245,8,14,no,no,yes
18990,50,120,4,14,no,no,yes
13990,25,170,4,14,no,no,yes
29990,66,170,4,14,no,no,yes
29990,66,245,16,15,no,no,yes
24490,33,230,4,14,no,no,yes
17950,33,170,4,14,no,no,yes
18990,33,212,4,14,no,no,yes
23950,33,340,8,14,no,no,yes
23990,50,320,8,14,no,no,yes
15950,33,170,4,14,no,no,yes
24900,33,340,8,14,no,no,yes
29950,66,452,16,14,no,no,yes
28900,33,452,16,14,no,no,yes
21900,33,214,4,15,no,no,yes
23990,66,213,8,14,no,no,yes
22850,50,250,8,14,no,no,yes
25900,33,340,8,15,no,no,yes
27950,33,452,16,14,no,no,yes
14950,33,170,4,14,no,no,yes
20750,66,170,4,14,no,no,yes
20900,33,214,4,15,no,no,yes
21950,33,250,8,15,no,no,yes
39990,66,340,16,17,no,no,yes
16990,33,120,4,14,no,no,yes
19950,33,250,8,14,no,no,yes
16900,33,107,2,14,no,no,yes
34950,33,452,8,14,no,no,yes
21950,66,170,4,14,no,no,yes
30900,66,452,16,14,no,no,yes
26900,25,452,16,14,no,no,yes
18950,25,214,4,14,no,no,yes
24950,50,250,8,15,no,no,yes
24050,50,250,8,14,no,no,yes
15950,33,107,2,14,no,no,yes
28900,33,452,16,15,no,no,yes
23900,25,340,8,14,no,no,yes
16900,33,107,2,15,no,no,yes
22950,25,340,8,14,no,no,yes
27900,33,452,16,14,no,no,yes
26950,33,452,16,14,no,no,yes
25950,25,452,16,14,no,no,yes
19950,33,214,4,14,no,no,yes
20490,33,405,4,14,no,no,yes
13990,25,170,4,14,no,no,yes
28050,33,250,8,17,no,no,yes
20190,33,120,4,14,no,no,no
30550,50,250,8,17,no,no,yes
29900,50,452,16,14,no,no,yes
26050,33,250,8,17,no,no,yes
21250,33,250,8,15,no,no,yes
14900,25,107,2,14,no,no,yes
16990,33,170,4,14,no,no,yes
24950,33,340,8,14,no,no,yes
25990,33,245,16,15,no,no,yes
22200,33,250,8,14,yes,no,yes
15900,33,107,2,15,no,no,yes
14990,33,120,4,14,no,no,yes
26250,66,250,8,15,no,no,yes
13950,25,107,2,14,no,no,yes
23950,33,250,8,14,no,no,yes
24200,33,250,8,15,yes,no,yes
24250,66,250,8,15,no,no,yes
25150,33,250,8,15,no,no,yes
23750,50,250,8,15,no,no,yes
31050,66,250,8,17,no,no,yes
23900,66,214,4,15,no,no,yes
29050,66,250,8,17,no,no,yes
26900,25,452,16,15,no,no,yes
26950,66,250,8,14,no,no,yes
17900,50,107,2,14,no,no,yes
34950,66,500,8,14,no,no,yes
27900,33,452,16,15,no,no,yes
17900,50,107,2,15,no,no,yes
17950,66,107,2,14,no,no,yes
29950,66,340,8,15,yes,no,yes
19950,50,170,4,14,no,no,yes
25990,50,405,8,14,no,no,yes
37200,66,500,8,14,yes,no,yes
21550,33,250,8,14,no,no,yes
15990,25,170,4,14,no,no,yes
25250,50,250,8,14,no,no,yes
22990,33,405,8,14,no,no,yes
18950,33,170,4,14,no,no,yes
14900,25,107,2,15,no,no,yes
20350,33,250,8,14,no,no,yes
17200,33,170,4,14,yes,no,yes
25950,50,250,8,15,no,no,yes
22900,50,214,4,15,no,no,yes
24550,50,250,8,15,no,no,yes
16950,50,107,2,14,no,no,yes
22490,50,230,4,14,no,no,yes
19990,50,212,4,14,no,no,yes
24550,66,250,8,14,no,no,yes
25950,50,340,8,14,no,no,yes
28590,66,212,4,15,no,no,no
25990,50,405,4,15,no,no,yes
28550,50,250,8,17,no,no,yes
27900,66,340,8,14,no,no,yes
39900,66,1000,16,14,no,no,yes
35950,50,452,8,14,no,no,yes
21950,50,214,4,14,no,no,yes
35990,66,405,8,14,no,no,yes
26900,50,340,8,15,no,no,yes
19990,33,213,8,14,no,no,yes
29900,50,452,16,15,no,no,yes
18900,66,107,2,14,no,no,yes
21900,33,214,4,14,no,no,yes
27200,50,250,8,15,yes,no,yes
21450,50,170,4,14,no,no,yes
22950,66,214,4,14,no,no,yes
19900,25,214,4,15,no,no,yes
26950,66,340,8,14,no,no,yes
31490,66,230,8,14,no,no,yes
17750,33,170,4,14,no,no,yes
24900,33,340,8,15,no,no,yes
35990,33,340,16,17,no,no,yes
26900,50,340,8,14,no,no,yes
31950,66,540,8,15,no,no,yes
36950,66,452,8,14,no,no,yes
26450,50,250,8,15,no,no,yes
30900,66,452,16,15,no,no,yes
18900,66,107,2,15,no,no,yes
19990,33,170,4,14,no,no,yes
29350,50,250,8,17,no,no,yes
19900,25,214,4,14,no,no,yes
22900,50,214,4,14,no,no,yes
23900,66,214,4,14,no,no,yes
20250,50,170,4,14,no,no,yes
20950,33,214,4,14,no,no,yes
25900,33,340,8,14,no,no,yes
14990,25,170,4,14,no,no,yes
23250,33,250,8,15,no,no,yes
20990,66,120,4,14,no,no,yes
29990,66,245,16,15,no,no,yes
27900,66,340,8,15,no,no,yes
15900,33,107,2,14,no,no,yes
24990,50,170,4,14,no,no,yes
25750,50,250,8,15,no,no,yes
23900,25,340,8,15,no,no,yes
14950,33,107,2,14,no,no,yes
28950,50,452,16,14,no,no,yes
23350,66,250,8,14,no,no,yes
20900,33,214,4,14,no,no,yes
28150,66,250,8,15,no,no,yes
21950,50,250,4,14,no,no,yes
18990,33,170,4,14,no,no,yes
35990,66,450,8,14,no,no,yes
20950,33,250,4,14,no,no,yes
26900,33,452,16,15,no,no,yes
27950,66,250,8,15,no,no,yes
27990,33,240,4,14,no,no,no
26980,66,245,8,14,yes,no,yes
23900,33,340,8,14,no,no,yes
26950,66,340,8,14,no,no,yes
20950,33,214,4,14,no,no,yes
25990,50,450,8,15,no,no,yes
18250,50,170,4,14,no,no,yes
17900,50,107,2,15,no,no,yes
27200,66,340,8,14,yes,no,yes
12950,25,107,2,14,no,no,yes
29900,50,452,16,14,no,no,yes
18900,66,107,2,15,no,no,yes
25950,33,452,16,14,no,no,yes
14900,33,107,2,14,no,no,yes
20750,50,250,8,14,no,no,yes
36990,33,345,16,17,no,no,yes
26900,33,452,16,14,no,no,yes
22450,66,250,4,15,no,no,yes
39990,66,345,16,17,no,no,yes
21950,50,214,4,14,no,no,yes
29990,50,240,4,14,no,no,no
18950,33,212,8,14,no,no,yes
22950,50,212,8,15,no,no,yes
21900,33,214,4,14,no,no,yes
16900,33,107,2,14,no,no,yes
13900,25,107,2,15,no,no,yes
18900,25,214,4,14,no,no,yes
22900,25,340,8,14,no,no,yes
17200,33,170,4,14,yes,no,yes
23250,66,250,8,15,no,no,yes
16990,33,170,4,14,no,no,yes
20450,50,250,4,15,no,no,yes
22990,66,120,4,14,no,no,no
27550,66,250,8,17,no,no,yes
21450,66,250,4,14,no,no,yes
30900,66,452,16,14,no,no,yes
27900,66,340,8,14,no,no,yes
20990,33,120,4,14,no,no,no
19980,66,130,4,14,yes,no,yes
25900,33,340,8,14,no,no,yes
33650,50,540,8,17,no,no,yes
25450,66,250,8,15,no,no,yes
32650,33,540,8,17,no,no,yes
22500,66,170,4,14,yes,no,yes
28900,33,452,16,14,no,no,yes
15990,25,170,4,14,no,no,yes
18250,33,170,4,15,no,no,yes
21250,66,170,4,15,no,no,yes
22450,33,250,8,15,no,no,yes
19450,33,250,4,15,no,no,yes
28900,33,452,16,15,no,no,yes
15990,66,130,4,14,no,no,yes
22950,66,214,4,14,no,no,yes
15200,25,80,4,14,yes,no,yes
27450,33,540,8,14,no,no,yes
28990,66,340,8,15,no,no,yes
23900,66,214,4,14,no,no,yes
16750,25,120,4,14,no,no,no
31490,66,230,8,14,no,no,yes
25900,25,452,16,14,no,no,yes
19990,50,212,4,14,no,no,yes
25900,25,452,16,15,no,no,yes
14490,25,120,4,14,no,no,no
14900,33,107,2,15,no,no,yes
22990,66,245,8,14,no,no,yes
15950,33,107,2,14,no,no,yes
24950,33,250,8,15,no,no,yes
18900,66,107,2,14,no,no,yes
29950,66,452,16,14,no,no,yes
36090,66,527,4,15,no,no,no
27900,66,340,8,15,no,no,yes
22950,33,340,8,14,no,no,yes
17990,33,120,4,14,no,no,no
39900,66,1000,16,14,no,no,yes
29990,66,240,4,15,no,no,yes
22750,33,250,8,15,no,no,yes
22900,50,214,4,15,no,no,yes
14990,33,130,4,14,no,no,yes
25550,50,250,8,17,no,no,yes
20250,66,170,4,14,no,no,yes
22990,33,450,8,14,no,no,yes
19750,33,250,8,14,no,no,yes
21090,33,120,4,14,no,no,no
35950,66,500,8,15,no,no,yes
25950,66,340,8,15,no,no,yes
23950,66,250,4,14,no,no,yes
18990,33,250,4,14,no,no,yes
21200,33,212,8,14,yes,no,yes
17900,50,107,2,14,no,no,yes
18990,33,212,4,14,no,no,yes
19900,33,214,4,14,no,no,yes
13990,25,170,4,14,no,no,yes
18980,33,130,4,14,yes,no,yes
17250,33,170,4,14,no,no,yes
25950,50,250,8,15,no,no,yes
14990,25,170,4,14,no,no,yes
19900,33,214,4,15,no,no,yes
25950,50,340,8,14,no,no,yes
13950,25,80,4,15,no,no,yes
26750,33,250,8,17,no,no,yes
18990,25,120,4,14,no,no,no
29900,50,452,16,15,no,no,yes
19250,50,170,4,15,no,no,yes
40980,33,345,16,17,yes,no,yes
28950,50,452,16,14,no,no,yes
24950,66,340,8,14,no,no,yes
19950,33,212,8,15,no,no,yes
15950,33,170,4,15,no,no,yes
21950,25,340,8,14,no,no,yes
23990,50,320,8,14,no,no,yes
23900,33,340,8,15,no,no,yes
26900,50,340,8,14,no,no,yes
16900,33,107,2,15,no,no,yes
23980,33,245,8,14,yes,no,yes
27750,50,250,8,17,no,no,yes
13950,33,107,2,14,no,no,yes
25200,50,212,8,15,yes,no,yes
21250,50,250,8,15,no,no,yes
43980,66,345,16,17,yes,no,yes
22900,50,214,4,14,no,no,yes
24890,50,250,8,15,no,no,yes
21900,33,214,4,15,no,no,yes
25990,33,240,4,15,no,no,yes
37890,66,527,8,15,no,no,no
26990,33,345,16,15,no,no,yes
27990,50,240,4,15,no,no,yes
24990,50,170,4,14,no,no,yes
20490,33,450,4,14,no,no,yes
25750,66,250,8,15,no,no,yes
29990,66,345,16,15,no,no,yes
34950,66,500,8,14,no,no,yes
29950,66,340,16,15,yes,no,yes
22750,66,250,8,14,no,no,yes
25900,33,340,8,15,no,no,yes
29750,66,250,8,17,no,no,yes
19500,33,170,4,14,yes,no,yes
25990,50,450,8,14,no,no,yes
16950,50,107,2,14,no,no,yes
24550,33,250,8,17,no,no,yes
14950,33,170,4,14,no,no,yes
22900,25,340,8,15,no,no,yes
37200,66,500,8,14,yes,no,yes
17950,66,107,2,14,no,no,yes
24950,33,340,8,14,no,no,yes
35650,66,540,8,17,no,no,yes
28450,50,540,8,14,no,no,yes
20250,33,250,8,15,no,no,yes
30450,66,540,8,14,no,no,yes
22990,50,230,4,14,no,no,yes
23450,50,250,8,15,no,no,yes
23900,66,214,4,15,no,no,yes
27950,33,452,16,14,no,no,yes
13900,25,107,2,14,no,no,yes
17490,33,250,4,14,no,no,yes
26900,50,340,8,15,no,no,yes
15790,25,120,4,14,no,no,no
30980,33,345,16,15,yes,no,yes
12950,25,80,4,14,no,no,yes
19450,50,250,4,14,no,no,yes
20990,33,120,4,14,no,no,no
19990,33,245,8,14,no,no,yes
30900,66,452,16,15,no,no,yes
18900,25,214,4,15,no,no,yes
18950,33,214,4,14,no,no,yes
33980,66,345,16,15,yes,no,yes
18450,33,250,4,14,no,no,yes
17950,25,214,4,14,no,no,yes
20500,50,170,4,14,yes,no,yes
24950,25,452,16,14,no,no,yes
23750,50,250,8,15,no,no,yes
16900,33,107,2,15,no,no,yes
32990,50,450,8,15,no,no,yes
19950,66,107,2,14,no,no,yes
14950,25,107,2,14,no,no,yes
29990,66,345,16,15,no,no,yes
35990,33,345,16,17,no,no,yes
32950,66,545,8,14,no,no,yes
39990,66,450,8,17,no,no,yes
30250,33,1370,8,14,no,no,yes
18900,25,214,4,15,no,no,yes
26480,66,245,8,14,yes,no,yes
22950,66,214,4,14,no,no,yes
21990,66,340,4,14,no,no,yes
20900,66,107,2,14,no,no,yes
20750,33,250,8,15,no,no,yes
27440,33,452,16,14,no,no,yes
24250,33,545,8,14,no,no,yes
17490,33,230,4,14,no,no,yes
18990,33,230,4,14,no,no,yes
15200,25,170,4,14,yes,no,yes
17950,33,214,8,14,no,no,yes
18790,50,210,4,15,no,no,yes
15900,25,107,2,15,no,no,yes
18900,33,107,2,14,no,no,yes
17200,33,212,4,14,yes,no,yes
18450,33,250,8,15,no,no,yes
24950,25,452,16,14,no,no,yes
30990,66,450,16,15,yes,no,yes
29900,50,452,16,14,no,no,yes
21440,66,107,2,14,no,no,yes
18900,33,107,2,15,no,no,yes
19750,33,250,8,14,no,no,yes
19450,33,250,4,14,yes,yes,yes
42480,66,345,16,17,yes,no,yes
22440,25,340,8,14,no,no,yes
20440,33,107,2,14,no,no,yes
16900,33,107,2,14,no,no,yes
28440,66,340,8,14,no,no,yes
17490,33,170,4,14,no,no,yes
23950,33,340,8,17,no,no,yes
18900,25,214,4,14,no,no,yes
26940,25,452,16,14,yes,no,yes
24650,33,250,8,17,no,no,yes
19990,33,245,8,14,no,no,yes
15990,25,120,4,14,no,no,no
27450,66,250,8,17,no,no,yes
15950,33,107,2,14,no,no,yes
19990,33,120,4,14,no,no,no
19390,50,170,4,14,yes,yes,yes
15900,25,107,2,14,no,no,yes
16950,33,250,4,14,no,no,yes
30480,33,345,16,15,yes,no,yes
15990,25,170,4,14,no,no,yes
21440,50,107,2,14,no,no,yes
27440,25,452,16,14,no,no,yes
13990,25,170,4,14,no,no,yes
20150,66,210,4,14,yes,no,yes
27990,66,450,8,15,yes,no,yes
20950,25,340,8,14,no,no,yes
