buying price,maintenance cost,number of doors,number of persons,luggage boot,safety,decision
vhigh,vhigh,5more,4,med,low,unacceptable
vhigh,vhigh,5more,4,med,med,unacceptable
vhigh,vhigh,5more,4,med,high,unacceptable
vhigh,vhigh,5more,4,big,low,unacceptable
vhigh,vhigh,5more,4,big,med,unacceptable
vhigh,vhigh,5more,4,big,high,unacceptable
vhigh,vhigh,5more,more,small,low,unacceptable
vhigh,vhigh,5more,more,small,med,unacceptable
vhigh,vhigh,5more,more,small,high,unacceptable
vhigh,vhigh,5more,more,med,low,unacceptable
vhigh,vhigh,5more,more,med,med,unacceptable
vhigh,vhigh,5more,more,med,high,unacceptable
vhigh,vhigh,5more,more,big,low,unacceptable
vhigh,vhigh,5more,more,big,med,unacceptable
vhigh,vhigh,5more,more,big,high,unacceptable
vhigh,high,2,2,small,low,unacceptable
vhigh,high,2,2,small,med,unacceptable
vhigh,high,2,2,small,high,unacceptable
vhigh,high,2,2,med,low,unacceptable
vhigh,high,2,2,med,med,unacceptable
vhigh,high,2,2,med,high,unacceptable
vhigh,high,2,2,big,low,unacceptable
vhigh,high,2,2,big,med,unacceptable
vhigh,high,2,2,big,high,unacceptable
vhigh,high,2,4,small,low,unacceptable
vhigh,high,2,4,small,med,unacceptable
vhigh,high,2,4,small,high,unacceptable
vhigh,high,2,4,med,low,unacceptable
vhigh,high,2,4,med,med,unacceptable
vhigh,high,2,4,med,high,unacceptable
vhigh,high,2,4,big,low,unacceptable
vhigh,high,2,4,big,med,unacceptable
vhigh,high,2,4,big,high,unacceptable
vhigh,high,2,more,small,low,unacceptable
vhigh,high,2,more,small,med,unacceptable
vhigh,high,2,more,small,high,unacceptable
vhigh,high,2,more,med,low,unacceptable
vhigh,high,2,more,med,med,unacceptable
vhigh,high,2,more,med,high,unacceptable
vhigh,high,2,more,big,low,unacceptable
vhigh,high,2,more,big,med,unacceptable
vhigh,high,2,more,big,high,unacceptable
vhigh,high,3,2,small,low,unacceptable
vhigh,high,3,2,small,med,unacceptable
vhigh,high,3,2,small,high,unacceptable
vhigh,high,3,2,med,low,unacceptable
vhigh,high,3,2,med,med,unacceptable
vhigh,high,3,2,med,high,unacceptable
vhigh,high,3,2,big,low,unacceptable
vhigh,high,3,2,big,med,unacceptable
vhigh,high,3,2,big,high,unacceptable
vhigh,high,3,4,small,low,unacceptable
vhigh,high,3,4,small,med,unacceptable
vhigh,high,3,4,small,high,unacceptable
vhigh,high,3,4,med,low,unacceptable
vhigh,high,3,4,med,med,unacceptable
vhigh,high,3,4,med,high,unacceptable
vhigh,high,3,4,big,low,unacceptable
vhigh,high,3,4,big,med,unacceptable
vhigh,high,3,4,big,high,unacceptable
vhigh,high,3,more,small,low,unacceptable
vhigh,high,3,more,small,med,unacceptable
vhigh,high,3,more,small,high,unacceptable
vhigh,high,3,more,med,low,unacceptable
vhigh,high,3,more,med,med,unacceptable
vhigh,high,3,more,med,high,unacceptable
vhigh,high,3,more,big,low,unacceptable
vhigh,high,3,more,big,med,unacceptable
vhigh,high,3,more,big,high,unacceptable
vhigh,high,4,2,small,low,unacceptable
vhigh,high,4,2,small,med,unacceptable
vhigh,high,4,2,small,high,unacceptable
vhigh,high,4,2,med,low,unacceptable
vhigh,high,4,2,med,med,unacceptable
vhigh,high,4,2,med,high,unacceptable
vhigh,high,4,2,big,low,unacceptable
vhigh,high,4,2,big,med,unacceptable
vhigh,high,4,2,big,high,unacceptable
vhigh,high,4,4,small,low,unacceptable
vhigh,high,4,4,small,med,unacceptable
vhigh,high,4,4,small,high,unacceptable
vhigh,high,4,4,med,low,unacceptable
vhigh,high,4,4,med,med,unacceptable
vhigh,high,4,4,med,high,unacceptable
vhigh,high,4,4,big,low,unacceptable
vhigh,high,4,4,big,med,unacceptable
vhigh,high,4,4,big,high,unacceptable
vhigh,high,4,more,small,low,unacceptable
vhigh,high,4,more,small,med,unacceptable
vhigh,high,4,more,small,high,unacceptable
vhigh,high,4,more,med,low,unacceptable
vhigh,high,4,more,med,med,unacceptable
vhigh,high,4,more,med,high,unacceptable
vhigh,high,4,more,big,low,unacceptable
vhigh,high,4,more,big,med,unacceptable
vhigh,high,4,more,big,high,unacceptable
vhigh,high,5more,2,small,low,unacceptable
vhigh,high,5more,2,small,med,unacceptable
vhigh,high,5more,2,small,high,unacceptable
vhigh,high,5more,2,med,low,unacceptable
vhigh,high,5more,2,med,med,unacceptable
vhigh,high,5more,2,med,high,unacceptable
vhigh,high,5more,2,big,low,unacceptable
vhigh,high,5more,2,big,med,unacceptable
vhigh,high,5more,2,big,high,unacceptable
vhigh,high,5more,4,small,low,unacceptable
vhigh,high,5more,4,small,med,unacceptable
vhigh,high,5more,4,small,high,unacceptable
vhigh,high,5more,4,med,low,unacceptable
vhigh,high,5more,4,med,med,unacceptable
vhigh,high,5more,4,med,high,unacceptable
vhigh,high,5more,4,big,low,unacceptable
vhigh,high,5more,4,big,med,unacceptable
vhigh,high,5more,4,big,high,unacceptable
vhigh,high,5more,more,small,low,unacceptable
vhigh,high,5more,more,small,med,unacceptable
vhigh,high,5more,more,small,high,unacceptable
vhigh,high,5more,more,med,low,unacceptable
vhigh,high,5more,more,med,med,unacceptable
vhigh,high,5more,more,med,high,unacceptable
vhigh,high,5more,more,big,low,unacceptable
vhigh,high,5more,more,big,med,unacceptable
vhigh,high,5more,more,big,high,unacceptable
vhigh,med,2,2,small,low,unacceptable
vhigh,med,2,2,small,med,unacceptable
vhigh,med,2,2,small,high,unacceptable
vhigh,med,2,2,med,low,unacceptable
vhigh,med,2,2,med,med,unacceptable
vhigh,med,2,2,med,high,unacceptable
vhigh,med,2,2,big,low,unacceptable
vhigh,med,2,2,big,med,unacceptable
vhigh,med,2,2,big,high,unacceptable
vhigh,med,2,4,small,low,unacceptable
vhigh,med,2,4,small,med,unacceptable
vhigh,med,2,4,small,high,acceptable
vhigh,med,2,4,med,low,unacceptable
vhigh,med,2,4,med,med,unacceptable
vhigh,med,2,4,med,high,acceptable
vhigh,med,2,4,big,low,unacceptable
vhigh,med,2,4,big,med,acceptable
vhigh,med,2,4,big,high,acceptable
vhigh,med,2,more,small,low,unacceptable
vhigh,med,2,more,small,med,unacceptable
vhigh,med,2,more,small,high,unacceptable
vhigh,med,2,more,med,low,unacceptable
vhigh,med,2,more,med,med,unacceptable
vhigh,med,2,more,med,high,acceptable
vhigh,med,2,more,big,low,unacceptable
vhigh,med,2,more,big,med,acceptable
vhigh,med,2,more,big,high,acceptable
vhigh,med,3,2,small,low,unacceptable
vhigh,med,3,2,small,med,unacceptable
vhigh,med,3,2,small,high,unacceptable
vhigh,med,3,2,med,low,unacceptable
vhigh,med,3,2,med,med,unacceptable
vhigh,med,3,2,med,high,unacceptable
vhigh,med,3,2,big,low,unacceptable
vhigh,med,3,2,big,med,unacceptable
vhigh,med,3,2,big,high,unacceptable
vhigh,med,3,4,small,low,unacceptable
vhigh,med,3,4,small,med,unacceptable
vhigh,med,3,4,small,high,acceptable
vhigh,med,3,4,med,low,unacceptable
vhigh,med,3,4,med,med,unacceptable
vhigh,med,3,4,med,high,acceptable
vhigh,med,3,4,big,low,unacceptable
vhigh,med,3,4,big,med,acceptable
vhigh,med,3,4,big,high,acceptable
vhigh,med,3,more,small,low,unacceptable
vhigh,med,3,more,small,med,unacceptable
vhigh,med,3,more,small,high,acceptable
vhigh,med,3,more,med,low,unacceptable
vhigh,med,3,more,med,med,acceptable
vhigh,med,3,more,med,high,acceptable
vhigh,med,3,more,big,low,unacceptable
vhigh,med,3,more,big,med,acceptable
vhigh,med,3,more,big,high,acceptable
vhigh,med,4,2,small,low,unacceptable
vhigh,med,4,2,small,med,unacceptable
vhigh,med,4,2,small,high,unacceptable
vhigh,med,4,2,med,low,unacceptable
vhigh,med,4,2,med,med,unacceptable
vhigh,med,4,2,med,high,unacceptable
vhigh,med,4,2,big,low,unacceptable
vhigh,med,4,2,big,med,unacceptable
vhigh,med,4,2,big,high,unacceptable
vhigh,med,4,4,small,low,unacceptable
vhigh,med,4,4,small,med,unacceptable
vhigh,med,4,4,small,high,acceptable
vhigh,med,4,4,med,low,unacceptable
vhigh,med,4,4,med,med,acceptable
vhigh,med,4,4,med,high,acceptable
vhigh,med,4,4,big,low,unacceptable
vhigh,med,4,4,big,med,acceptable
vhigh,med,4,4,big,high,acceptable
vhigh,med,4,more,small,low,unacceptable
vhigh,med,4,more,small,med,unacceptable
vhigh,med,4,more,small,high,acceptable
vhigh,med,4,more,med,low,unacceptable
vhigh,med,4,more,med,med,acceptable
vhigh,med,4,more,med,high,acceptable
vhigh,med,4,more,big,low,unacceptable
vhigh,med,4,more,big,med,acceptable
vhigh,med,4,more,big,high,acceptable
vhigh,med,5more,2,small,low,unacceptable
vhigh,med,5more,2,small,med,unacceptable
vhigh,med,5more,2,small,high,unacceptable
vhigh,med,5more,2,med,low,unacceptable
vhigh,med,5more,2,med,med,unacceptable
vhigh,med,5more,2,med,high,unacceptable
vhigh,med,5more,2,big,low,unacceptable
vhigh,med,5more,2,big,med,unacceptable
vhigh,med,5more,2,big,high,unacceptable
vhigh,med,5more,4,small,low,unacceptable
vhigh,med,5more,4,small,med,unacceptable
vhigh,med,5more,4,small,high,acceptable
vhigh,med,5more,4,med,low,unacceptable
vhigh,med,5more,4,med,med,acceptable
vhigh,med,5more,4,med,high,acceptable
vhigh,med,5more,4,big,low,unacceptable
vhigh,med,5more,4,big,med,acceptable
vhigh,med,5more,4,big,high,acceptable
vhigh,med,5more,more,small,low,unacceptable
vhigh,med,5more,more,small,med,unacceptable
vhigh,med,5more,more,small,high,acceptable
vhigh,med,5more,more,med,low,unacceptable
vhigh,med,5more,more,med,med,acceptable
vhigh,med,5more,more,med,high,acceptable
vhigh,med,5more,more,big,low,unacceptable
vhigh,med,5more,more,big,med,acceptable
vhigh,med,5more,more,big,high,acceptable
vhigh,low,2,2,small,low,unacceptable
vhigh,low,2,2,small,med,unacceptable
vhigh,low,2,2,small,high,unacceptable
vhigh,low,2,2,med,low,unacceptable
vhigh,low,2,2,med,med,unacceptable
vhigh,low,2,2,med,high,unacceptable
vhigh,low,2,2,big,low,unacceptable
vhigh,low,2,2,big,med,unacceptable
vhigh,low,2,2,big,high,unacceptable
vhigh,low,2,4,small,low,unacceptable
vhigh,low,2,4,small,med,unacceptable
vhigh,low,2,4,small,high,acceptable
vhigh,low,2,4,med,low,unacceptable
vhigh,low,2,4,med,med,unacceptable
vhigh,low,2,4,med,high,acceptable
vhigh,low,2,4,big,low,unacceptable
vhigh,low,2,4,big,med,acceptable
vhigh,low,2,4,big,high,acceptable
vhigh,low,2,more,small,low,unacceptable
vhigh,low,2,more,small,med,unacceptable
vhigh,low,2,more,small,high,unacceptable
vhigh,low,2,more,med,low,unacceptable
vhigh,low,2,more,med,med,unacceptable
vhigh,low,2,more,med,high,acceptable
vhigh,low,2,more,big,low,unacceptable
vhigh,low,2,more,big,med,acceptable
vhigh,low,2,more,big,high,acceptable
vhigh,low,3,2,small,low,unacceptable
vhigh,low,3,2,small,med,unacceptable
vhigh,low,3,2,small,high,unacceptable
vhigh,low,3,2,med,low,unacceptable
vhigh,low,3,2,med,med,unacceptable
vhigh,low,3,2,med,high,unacceptable
vhigh,low,3,2,big,low,unacceptable
vhigh,low,3,2,big,med,unacceptable
vhigh,low,3,2,big,high,unacceptable
vhigh,low,3,4,small,low,unacceptable
vhigh,low,3,4,small,med,unacceptable
vhigh,low,3,4,small,high,acceptable
vhigh,low,3,4,med,low,unacceptable
vhigh,low,3,4,med,med,unacceptable
vhigh,low,3,4,med,high,acceptable
vhigh,low,3,4,big,low,unacceptable
vhigh,low,3,4,big,med,acceptable
vhigh,low,3,4,big,high,acceptable
vhigh,low,3,more,small,low,unacceptable
vhigh,low,3,more,small,med,unacceptable
vhigh,low,3,more,small,high,acceptable
vhigh,low,3,more,med,low,unacceptable
vhigh,low,3,more,med,med,acceptable
vhigh,low,3,more,med,high,acceptable
vhigh,low,3,more,big,low,unacceptable
vhigh,low,3,more,big,med,acceptable
vhigh,low,3,more,big,high,acceptable
vhigh,low,4,2,small,low,unacceptable
vhigh,low,4,2,small,med,unacceptable
vhigh,low,4,2,small,high,unacceptable
vhigh,low,4,2,med,low,unacceptable
vhigh,low,4,2,med,med,unacceptable
vhigh,low,4,2,med,high,unacceptable
vhigh,low,4,2,big,low,unacceptable
vhigh,low,4,2,big,med,unacceptable
vhigh,low,4,2,big,high,unacceptable
vhigh,low,4,4,small,low,unacceptable
vhigh,low,4,4,small,med,unacceptable
vhigh,low,4,4,small,high,acceptable
vhigh,low,4,4,med,low,unacceptable
vhigh,low,4,4,med,med,acceptable
vhigh,low,4,4,med,high,acceptable
vhigh,low,4,4,big,low,unacceptable
vhigh,low,4,4,big,med,acceptable
vhigh,low,4,4,big,high,acceptable
vhigh,low,4,more,small,low,unacceptable
vhigh,low,4,more,small,med,unacceptable
vhigh,low,4,more,small,high,acceptable
vhigh,low,4,more,med,low,unacceptable
vhigh,low,4,more,med,med,acceptable
vhigh,low,4,more,med,high,acceptable
vhigh,low,4,more,big,low,unacceptable
vhigh,low,4,more,big,med,acceptable
vhigh,low,4,more,big,high,acceptable
vhigh,low,5more,2,small,low,unacceptable
vhigh,low,5more,2,small,med,unacceptable
vhigh,low,5more,2,small,high,unacceptable
vhigh,low,5more,2,med,low,unacceptable
vhigh,low,5more,2,med,med,unacceptable
vhigh,low,5more,2,med,high,unacceptable
vhigh,low,5more,2,big,low,unacceptable
vhigh,low,5more,2,big,med,unacceptable
vhigh,low,5more,2,big,high,unacceptable
vhigh,low,5more,4,small,low,unacceptable
vhigh,low,5more,4,small,med,unacceptable
vhigh,low,5more,4,small,high,acceptable
vhigh,low,5more,4,med,low,unacceptable
vhigh,low,5more,4,med,med,acceptable
vhigh,low,5more,4,med,high,acceptable
vhigh,low,5more,4,big,low,unacceptable
vhigh,low,5more,4,big,med,acceptable
vhigh,low,5more,4,big,high,acceptable
vhigh,low,5more,more,small,low,unacceptable
vhigh,low,5more,more,small,med,unacceptable
vhigh,low,5more,more,small,high,acceptable
vhigh,low,5more,more,med,low,unacceptable
vhigh,low,5more,more,med,med,acceptable
vhigh,low,5more,more,med,high,acceptable
vhigh,low,5more,more,big,low,unacceptable
vhigh,low,5more,more,big,med,acceptable
vhigh,low,5more,more,big,high,acceptable
high,vhigh,2,2,small,low,unacceptable
high,vhigh,2,2,small,med,unacceptable
high,vhigh,2,2,small,high,unacceptable
high,vhigh,2,2,med,low,unacceptable
high,vhigh,2,2,med,med,unacceptable
high,vhigh,2,2,med,high,unacceptable
high,vhigh,2,2,big,low,unacceptable
high,vhigh,2,2,big,med,unacceptable
high,vhigh,2,2,big,high,unacceptable
high,vhigh,2,4,small,low,unacceptable
high,vhigh,2,4,small,med,unacceptable
high,vhigh,2,4,small,high,unacceptable
high,vhigh,2,4,med,low,unacceptable
high,vhigh,2,4,med,med,unacceptable
high,vhigh,2,4,med,high,unacceptable
high,vhigh,2,4,big,low,unacceptable
high,vhigh,2,4,big,med,unacceptable
high,vhigh,2,4,big,high,unacceptable
high,vhigh,2,more,small,low,unacceptable
high,vhigh,2,more,small,med,unacceptable
high,vhigh,2,more,small,high,unacceptable
high,vhigh,2,more,med,low,unacceptable
high,vhigh,2,more,med,med,unacceptable
high,vhigh,2,more,med,high,unacceptable
high,vhigh,2,more,big,low,unacceptable
high,vhigh,2,more,big,med,unacceptable
high,vhigh,2,more,big,high,unacceptable
high,vhigh,3,2,small,low,unacceptable
high,vhigh,3,2,small,med,unacceptable
high,vhigh,3,2,small,high,unacceptable
high,vhigh,3,2,med,low,unacceptable
high,vhigh,3,2,med,med,unacceptable
high,vhigh,3,2,med,high,unacceptable
high,vhigh,3,2,big,low,unacceptable
high,vhigh,3,2,big,med,unacceptable
high,vhigh,3,2,big,high,unacceptable
high,vhigh,3,4,small,low,unacceptable
high,vhigh,3,4,small,med,unacceptable
high,vhigh,3,4,small,high,unacceptable
high,vhigh,3,4,med,low,unacceptable
high,vhigh,3,4,med,med,unacceptable
high,vhigh,3,4,med,high,unacceptable
high,vhigh,3,4,big,low,unacceptable
high,vhigh,3,4,big,med,unacceptable
high,vhigh,3,4,big,high,unacceptable
high,vhigh,3,more,small,low,unacceptable
high,vhigh,3,more,small,med,unacceptable
high,vhigh,3,more,small,high,unacceptable
high,vhigh,3,more,med,low,unacceptable
high,vhigh,3,more,med,med,unacceptable
high,vhigh,3,more,med,high,unacceptable
high,vhigh,3,more,big,low,unacceptable
high,vhigh,3,more,big,med,unacceptable
high,vhigh,3,more,big,high,unacceptable
high,vhigh,4,2,small,low,unacceptable
high,vhigh,4,2,small,med,unacceptable
high,vhigh,4,2,small,high,unacceptable
high,vhigh,4,2,med,low,unacceptable
high,vhigh,4,2,med,med,unacceptable
high,vhigh,4,2,med,high,unacceptable
high,vhigh,4,2,big,low,unacceptable
high,vhigh,4,2,big,med,unacceptable
high,vhigh,4,2,big,high,unacceptable
high,vhigh,4,4,small,low,unacceptable
high,vhigh,4,4,small,med,unacceptable
high,vhigh,4,4,small,high,unacceptable
high,vhigh,4,4,med,low,unacceptable
high,vhigh,4,4,med,med,unacceptable
high,vhigh,4,4,med,high,unacceptable
high,vhigh,4,4,big,low,unacceptable
high,vhigh,4,4,big,med,unacceptable
high,vhigh,4,4,big,high,unacceptable
high,vhigh,4,more,small,low,unacceptable
high,vhigh,4,more,small,med,unacceptable
high,vhigh,4,more,small,high,unacceptable
high,vhigh,4,more,med,low,unacceptable
high,vhigh,4,more,med,med,unacceptable
high,vhigh,4,more,med,high,unacceptable
high,vhigh,4,more,big,low,unacceptable
high,vhigh,4,more,big,med,unacceptable
high,vhigh,4,more,big,high,unacceptable
high,vhigh,5more,2,small,low,unacceptable
high,vhigh,5more,2,small,med,unacceptable
high,vhigh,5more,2,small,high,unacceptable
high,vhigh,5more,2,med,low,unacceptable
high,vhigh,5more,2,med,med,unacceptable
high,vhigh,5more,2,med,high,unacceptable
high,vhigh,5more,2,big,low,unacceptable
high,vhigh,5more,2,big,med,unacceptable
high,vhigh,5more,2,big,high,unacceptable
high,vhigh,5more,4,small,low,unacceptable
high,vhigh,5more,4,small,med,unacceptable
high,vhigh,5more,4,small,high,unacceptable
high,vhigh,5more,4,med,low,unacceptable
high,vhigh,5more,4,med,med,unacceptable
high,vhigh,5more,4,med,high,unacceptable
high,vhigh,5more,4,big,low,unacceptable
high,vhigh,5more,4,big,med,unacceptable
high,vhigh,5more,4,big,high,unacceptable
high,vhigh,5more,more,small,low,unacceptable
high,vhigh,5more,more,small,med,unacceptable
high,vhigh,5more,more,small,high,unacceptable
high,vhigh,5more,more,med,low,unacceptable
high,vhigh,5more,more,med,med,unacceptable
high,vhigh,5more,more,med,high,unacceptable
high,vhigh,5more,more,big,low,unacceptable
high,vhigh,5more,more,big,med,unacceptable
high,vhigh,5more,more,big,high,unacceptable
high,high,2,2,small,low,unacceptable
high,high,2,2,small,med,unacceptable
high,high,2,2,small,high,unacceptable
high,high,2,2,med,low,unacceptable
high,high,2,2,med,med,unacceptable
high,high,2,2,med,high,unacceptable
high,high,2,2,big,low,unacceptable
high,high,2,2,big,med,unacceptable
high,high,2,2,big,high,unacceptable
high,high,2,4,small,low,unacceptable
high,high,2,4,small,med,unacceptable
high,high,2,4,small,high,acceptable
high,high,2,4,med,low,unacceptable
high,high,2,4,med,med,unacceptable
high,high,2,4,med,high,acceptable
high,high,2,4,big,low,unacceptable
high,high,2,4,big,med,acceptable
high,high,2,4,big,high,acceptable
high,high,2,more,small,low,unacceptable
high,high,2,more,small,med,unacceptable
high,high,2,more,small,high,unacceptable
high,high,2,more,med,low,unacceptable
high,high,2,more,med,med,unacceptable
high,high,2,more,med,high,acceptable
high,high,2,more,big,low,unacceptable
high,high,2,more,big,med,acceptable
high,high,2,more,big,high,acceptable
high,high,3,2,small,low,unacceptable
high,high,3,2,small,med,unacceptable
high,high,3,2,small,high,unacceptable
high,high,3,2,med,low,unacceptable
high,high,3,2,med,med,unacceptable
high,high,3,2,med,high,unacceptable
high,high,3,2,big,low,unacceptable
high,high,3,2,big,med,unacceptable
high,high,3,2,big,high,unacceptable
high,high,3,4,small,low,unacceptable
high,high,3,4,small,med,unacceptable
high,high,3,4,small,high,acceptable
high,high,3,4,med,low,unacceptable
high,high,3,4,med,med,unacceptable
high,high,3,4,med,high,acceptable
high,high,3,4,big,low,unacceptable
high,high,3,4,big,med,acceptable
high,high,3,4,big,high,acceptable
high,high,3,more,small,low,unacceptable
high,high,3,more,small,med,unacceptable
high,high,3,more,small,high,acceptable
high,high,3,more,med,low,unacceptable
high,high,3,more,med,med,acceptable
high,high,3,more,med,high,acceptable
high,high,3,more,big,low,unacceptable
high,high,3,more,big,med,acceptable
high,high,3,more,big,high,acceptable
high,high,4,2,small,low,unacceptable
high,high,4,2,small,med,unacceptable
high,high,4,2,small,high,unacceptable
high,high,4,2,med,low,unacceptable
high,high,4,2,med,med,unacceptable
high,high,4,2,med,high,unacceptable
high,high,4,2,big,low,unacceptable
high,high,4,2,big,med,unacceptable
high,high,4,2,big,high,unacceptable
high,high,4,4,small,low,unacceptable
high,high,4,4,small,med,unacceptable
high,high,4,4,small,high,acceptable
high,high,4,4,med,low,unacceptable
high,high,4,4,med,med,acceptable
high,high,4,4,med,high,acceptable
high,high,4,4,big,low,unacceptable
high,high,4,4,big,med,acceptable
high,high,4,4,big,high,acceptable
high,high,4,more,small,low,unacceptable
high,high,4,more,small,med,unacceptable
high,high,4,more,small,high,acceptable
high,high,4,more,med,low,unacceptable
high,high,4,more,med,med,acceptable
high,high,4,more,med,high,acceptable
high,high,4,more,big,low,unacceptable
high,high,4,more,big,med,acceptable
high,high,4,more,big,high,acceptable
high,high,5more,2,small,low,unacceptable
high,high,5more,2,small,med,unacceptable
high,high,5more,2,small,high,unacceptable
high,high,5more,2,med,low,unacceptable
high,high,5more,2,med,med,unacceptable
high,high,5more,2,med,high,unacceptable
high,high,5more,2,big,low,unacceptable
high,high,5more,2,big,med,unacceptable
high,high,5more,2,big,high,unacceptable
high,high,5more,4,small,low,unacceptable
high,high,5more,4,small,med,unacceptable
high,high,5more,4,small,high,acceptable
high,high,5more,4,med,low,unacceptable
high,high,5more,4,med,med,acceptable
high,high,5more,4,med,high,acceptable
high,high,5more,4,big,low,unacceptable
high,high,5more,4,big,med,acceptable
high,high,5more,4,big,high,acceptable
high,high,5more,more,small,low,unacceptable
high,high,5more,more,small,med,unacceptable
high,high,5more,more,small,high,acceptable
high,high,5more,more,med,low,unacceptable
high,high,5more,more,med,med,acceptable
high,high,5more,more,med,high,acceptable
high,high,5more,more,big,low,unacceptable
high,high,5more,more,big,med,acceptable
high,high,5more,more,big,high,acceptable
high,med,2,2,small,low,unacceptable
high,med,2,2,small,med,unacceptable
high,med,2,2,small,high,unacceptable
high,med,2,2,med,low,unacceptable
high,med,2,2,med,med,unacceptable
high,med,2,2,med,high,unacceptable
high,med,2,2,big,low,unacceptable
high,med,2,2,big,med,unacceptable
high,med,2,2,big,high,unacceptable
high,med,2,4,small,low,unacceptable
high,med,2,4,small,med,unacceptable
high,med,2,4,small,high,acceptable
high,med,2,4,med,low,unacceptable
high,med,2,4,med,med,unacceptable
high,med,2,4,med,high,acceptable
