Song_Name,Artist,Album,Playlist,Popular,Popularity,Duration,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Audio_Mode,Speechiness,Tempo,Time_Signature,Audio_Valence
Replay,Zendaya,Zendaya,Pumped Pop,1,68,209186,0.0416,0.688,0.723,0.0002,6,0.302,-6.682,0,0.121,140.023,4,0.618
Replay,Zendaya,Zendaya,Women of Pop,1,68,209186,0.0416,0.688,0.723,0.0002,6,0.302,-6.682,0,0.121,140.023,4,0.618
Ciencia Ficción,Zemmoa,NNVAV,Latin Pride,0,25,215567,0.0577,0.569,0.944,0.337,9,0.0562,-8.1,0,0.0319,130.001,4,0.39
Seven Nation Army,Zella Day,Seven Nation Army,Acoustic Covers,0,64,172919,0.891,0.69,0.283,0.000386,2,0.111,-7.309,1,0.0294,104.348,4,0.35
KIll Em,Zeds Dead,Kill Em,Hype,0,57,184000,0.16,0.527,0.951,0,9,0.167,-2.146,0,0.439,149.825,4,0.532
Lights Go Down,Zeds Dead,Lights Go Down,NTC_ High Intensity Training Tracks,0,51,213186,0.38,0.593,0.917,0.0052,1,0.29,-3.738,0,0.0909,170.033,4,0.262
Clarity,Zedd,Clarity,Spin Fit,1,74,271426,0.0398,0.509,0.781,0,8,0.0749,-3.48,1,0.072,128,4,0.176
Happy Now,Zedd,Happy Now,Certified Gold,1,91,207029,0.579,0.503,0.741,1.49E-06,4,0.0712,-5.128,1,0.047,88.335,3,0.458
Happy Now,Zedd,Happy Now,Crowd Pleasers,1,91,207029,0.579,0.503,0.741,1.49E-06,4,0.0712,-5.128,1,0.047,88.335,3,0.458
Happy Now,Zedd,Happy Now,Happy Hits!,1,91,207029,0.579,0.503,0.741,1.49E-06,4,0.0712,-5.128,1,0.047,88.335,3,0.458
Happy Now,Zedd,Happy Now,Mood Booster,1,91,207029,0.579,0.503,0.741,1.49E-06,4,0.0712,-5.128,1,0.047,88.335,3,0.458
Happy Now,Zedd,Happy Now,Now Hear This,1,91,207029,0.579,0.503,0.741,1.49E-06,4,0.0712,-5.128,1,0.047,88.335,3,0.458
Happy Now,Zedd,Happy Now,Pop Royalty,1,91,207029,0.579,0.503,0.741,1.49E-06,4,0.0712,-5.128,1,0.047,88.335,3,0.458
Happy Now,Zedd,Happy Now,Running & Workout,1,91,207029,0.579,0.503,0.741,1.49E-06,4,0.0712,-5.128,1,0.047,88.335,3,0.458
Happy Now - Acoustic,Zedd,Happy Now (Acoustic),Mellow Pop,1,66,152000,0.882,0.555,0.334,0,4,0.127,-6.763,1,0.0701,80.683,4,0.548
I Want You To Know,Zedd,True Colors,Pop Warmup 130 BPM,0,31,239999,0.00537,0.58,0.846,6.62E-06,9,0.145,-2.876,0,0.0573,129.998,4,0.366
I Want You To Know,Zedd,I Want You To Know,Fit & Smiling,0,8,238800,0.00621,0.561,0.877,8.11E-06,9,0.28,-2.215,0,0.0659,130.003,4,0.375
I Want You To Know,Zedd,I Want You To Know,Spin Fit,0,8,238800,0.00621,0.561,0.877,8.11E-06,9,0.28,-2.215,0,0.0659,130.003,4,0.375
Stay (with Alessia Cara),Zedd,Stay,Mega Hit Mix,1,84,210090,0.253,0.69,0.622,0,5,0.116,-5.025,0,0.0622,102.04,4,0.544
Stay (with Alessia Cara),Zedd,Stay,Teen Party,1,84,210090,0.253,0.69,0.622,0,5,0.116,-5.025,0,0.0622,102.04,4,0.544
Stay (with Alessia Cara),Zedd,Stay,The GRAMMYs Official Playlist,1,84,210090,0.253,0.69,0.622,0,5,0.116,-5.025,0,0.0622,102.04,4,0.544
Stay (with Alessia Cara),Zedd,Stay,Workday_ Pop,1,84,210090,0.253,0.69,0.622,0,5,0.116,-5.025,0,0.0622,102.04,4,0.544
Stay (with Alessia Cara),Zedd,Stay,Songs to Sing in the Car,0,44,210090,0.232,0.679,0.634,0,5,0.115,-5.024,0,0.0654,102.013,4,0.498
The Middle,Zedd,The Middle,Certified Gold,1,90,184732,0.171,0.753,0.657,0,7,0.112,-3.061,1,0.0449,107.01,4,0.437
The Middle,Zedd,The Middle,Crowd Pleasers,1,90,184732,0.171,0.753,0.657,0,7,0.112,-3.061,1,0.0449,107.01,4,0.437
The Middle,Zedd,The Middle,Now Hear This,1,90,184732,0.171,0.753,0.657,0,7,0.112,-3.061,1,0.0449,107.01,4,0.437
The Middle,Zedd,The Middle,Teen Party,1,90,184732,0.171,0.753,0.657,0,7,0.112,-3.061,1,0.0449,107.01,4,0.437
The Middle,Zedd,The Middle,Confidence Boost,0,55,184732,0.208,0.748,0.652,0,7,0.128,-3.02,1,0.058,106.914,4,0.431
The Middle,Zedd,The Middle,Mega Hit Mix,0,55,184732,0.208,0.748,0.652,0,7,0.128,-3.02,1,0.058,106.914,4,0.431
The Middle,Zedd,The Middle,NTC_ Gym Strong,0,55,184732,0.208,0.748,0.652,0,7,0.128,-3.02,1,0.058,106.914,4,0.431
The Middle,Zedd,The Middle,Running & Workout,0,55,184732,0.208,0.748,0.652,0,7,0.128,-3.02,1,0.058,106.914,4,0.431
Currency,Zdot,Instrumental World,Grime Instrumentals,0,25,239173,0.31,0.9,0.459,0.805,11,0.0976,-11.524,0,0.143,140.01,4,0.533
Gully,Zdot,Instrumental World 2,Grime Instrumentals,0,21,168071,0.0262,0.83,0.444,0.8,8,0.0924,-12.504,0,0.0618,140.014,4,0.525
Boot Up,Zaytoven,Trapholizay,Off the Strength,0,48,191306,0.0867,0.821,0.596,7.11E-06,8,0.0915,-5.935,0,0.0679,140.043,4,0.399
Go Get The Money,Zaytoven,Go Get The Money,Off the Strength,0,55,239860,0.0206,0.804,0.704,0,1,0.116,-5.162,1,0.128,139.981,4,0.417
Go Get The Money,Zaytoven,Go Get The Money,The Realest Down South,0,55,239860,0.0206,0.804,0.704,0,1,0.116,-5.162,1,0.128,139.981,4,0.417
"Dusk Till Dawn - John ""J-C"" Carr Mix",ZAYN,Dusk Till Dawn (The Remixes),Running Workout Goals,0,61,202412,0.00136,0.656,0.799,0.000325,11,0.131,-4.342,0,0.0405,115.936,4,0.247
Fingers,ZAYN,Fingers,New Music Friday,0,58,173867,0.383,0.666,0.426,1.56E-05,7,0.109,-9.228,0,0.147,159.963,4,0.587
Fingers,ZAYN,Fingers,Pop Matters,0,58,173867,0.383,0.666,0.426,1.56E-05,7,0.109,-9.228,0,0.147,159.963,4,0.587
Fingers,ZAYN,Fingers,Pop Rising,0,58,173867,0.383,0.666,0.426,1.56E-05,7,0.109,-9.228,0,0.147,159.963,4,0.587
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,Fifty Shades Darker (Original Motion Picture Soundtrack),The GRAMMYs Official Playlist,1,78,245653,0.0578,0.737,0.452,1.48E-05,0,0.187,-8.366,1,0.0534,117.962,4,0.096
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker),Mega Hit Mix,0,44,245200,0.0631,0.735,0.451,1.30E-05,0,0.325,-8.374,1,0.0585,117.973,4,0.0862
PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),Hit Rewind,1,77,202746,0.117,0.584,0.7,0,11,0.0939,-4.275,1,0.0456,124.944,4,0.438
Too Much (feat. Timbaland),ZAYN,Too Much (feat. Timbaland),Now Hear This,1,79,185790,0.00434,0.446,0.635,0.000642,0,0.122,-4.476,1,0.0533,89.856,1,0.301
wRoNg,ZAYN,Mind Of Mine (Deluxe Edition),Teen Party,1,66,212746,0.395,0.614,0.475,1.06E-06,7,0.265,-8.642,0,0.0362,99.968,4,0.422
Walk Through the Fire (feat. Ruelle),Zayde Wølf,Walk Through the Fire (feat. Ruelle),Deep Dark Indie,0,54,216000,0.443,0.214,0.514,6.55E-06,5,0.113,-6.57,0,0.0399,74.997,4,0.199
Juju On That Beat (TZ Anthem),Zay Hilfigerrr,Juju On That Beat (TZ Anthem),HIIT-Hop,1,67,144244,0.00381,0.807,0.887,0,1,0.391,-3.892,1,0.275,160.517,4,0.78
Elo,Zarastruta,Elo,Represent_ Brazil,0,35,170460,0.497,0.739,0.671,0,2,0.246,-5.685,0,0.0821,109.892,4,0.755
Ain't My Fault - R3hab Remix,Zara Larsson,Ain't My Fault (R3hab Remix),Just Get Going! 155 BPM,0,64,158772,0.0156,0.67,0.847,0,9,0.22,-3.723,1,0.043,150.109,4,0.613
Ain't My Fault - R3hab Remix,Zara Larsson,Ain't My Fault (R3hab Remix),Running Workout Goals,0,64,158772,0.0156,0.67,0.847,0,9,0.22,-3.723,1,0.043,150.109,4,0.613
I Would Like - Gorgon City Remix,Zara Larsson,I Would Like (Gorgon City Remix),Running Workout Goals,0,52,263655,0.00806,0.719,0.557,0.00877,2,0.0965,-6.187,0,0.0355,121.997,4,0.488
Lush Life,Zara Larsson,So Good,Mega Hit Mix,1,80,201122,0.133,0.694,0.712,0,7,0.211,-3.923,0,0.046,98.022,4,0.799
Lush Life,Zara Larsson,Lush Life,Confidence Boost,0,28,201122,0.133,0.694,0.712,0,7,0.211,-3.923,0,0.046,98.022,4,0.799
Lush Life,Zara Larsson,Lush Life,Hit Rewind,0,28,201122,0.133,0.694,0.712,0,7,0.211,-3.923,0,0.046,98.022,4,0.799
Never Forget You,Zara Larsson,So Good,Hit Rewind,0,60,213427,0.00312,0.583,0.732,9.86E-06,11,0.269,-5.728,0,0.0457,145.992,4,0.276
Never Forget You,Zara Larsson,Never Forget You,Mega Hit Mix,0,22,213427,0.00312,0.583,0.732,9.86E-06,11,0.269,-5.728,0,0.0457,145.992,4,0.276
Never Forget You,Zara Larsson,Never Forget You,Teen Party,0,22,213427,0.00312,0.583,0.732,9.86E-06,11,0.269,-5.728,0,0.0457,145.992,4,0.276
Ruin My Life,Zara Larsson,Ruin My Life,Fresh & Chill,0,62,190931,0.423,0.665,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585
Ruin My Life,Zara Larsson,Ruin My Life,Global Top 50,0,62,190931,0.423,0.665,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585
Ruin My Life,Zara Larsson,Ruin My Life,New Music Friday,0,62,190931,0.423,0.665,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585
Ruin My Life,Zara Larsson,Ruin My Life,Now Hear This,0,62,190931,0.423,0.665,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585
Ruin My Life,Zara Larsson,Ruin My Life,Pop Matters,0,62,190931,0.423,0.665,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585
Ruin My Life,Zara Larsson,Ruin My Life,Pop Rising,0,62,190931,0.423,0.665,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585
Ruin My Life,Zara Larsson,Ruin My Life,Today's Top Hits,0,62,190931,0.423,0.665,0.699,0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585
More Bounce To The Ounce,Zapp,Zapp,I Love My 80's Rollerdisco,0,51,311120,0.124,0.85,0.818,0.00135,0,0.349,-8.623,1,0.0904,105.266,4,0.839
Fool,Zanski,Fool,Low-Key,0,44,185294,0.18,0.747,0.385,0.0149,4,0.121,-11.021,0,0.26,82.015,4,0.401
Z vs Z,Zamaera,Z vs Z,Beats & Rhymes,0,47,162031,0.55,0.71,0.651,2.52E-06,2,0.193,-5.972,1,0.175,80.086,4,0.294
You Come First (feat. Saweetie),Zak Abel,You Come First (feat. Saweetie),Fresh & Chill,0,26,191254,0.0352,0.745,0.719,0,11,0.0639,-4.291,1,0.19,99.962,4,0.611
You Come First (feat. Saweetie),Zak Abel,You Come First (feat. Saweetie),Happy Hits!,0,26,191254,0.0352,0.745,0.719,0,11,0.0639,-4.291,1,0.19,99.962,4,0.611
You Come First (feat. Saweetie),Zak Abel,You Come First (feat. Saweetie),New Music Friday,0,26,191254,0.0352,0.745,0.719,0,11,0.0639,-4.291,1,0.19,99.962,4,0.611
You Come First (feat. Saweetie),Zak Abel,You Come First (feat. Saweetie),Pop Rising,0,26,191254,0.0352,0.745,0.719,0,11,0.0639,-4.291,1,0.19,99.962,4,0.611
Bom Diggy,Zack Knight,Bom Diggy - Single,Global X,1,70,207692,0.273,0.793,0.777,0,4,0.144,-5.636,0,0.197,103.956,4,0.528
Ya Baba,Zack Knight,Ya Baba,Sawa,0,49,231991,0.0928,0.812,0.646,8.87E-05,10,0.324,-7.257,0,0.0597,118.033,4,0.634
Alone,Zachary Gully,"Grime Instrumentals, Vol. 1",Grime Instrumentals,0,12,198857,0.00104,0.634,0.56,0.21,2,0.138,-9.887,1,0.0373,139.952,4,0.168
El Intruso,Zacarias Ferreira,El Amor,Bodega Sounds,0,58,172440,0.65,0.819,0.641,6.24E-05,3,0.137,-5.082,1,0.0341,129.931,4,0.804
Es Tan Difícil,Zacarias Ferreira,Dime Que Falto,Bachata Classics,0,58,251386,0.288,0.883,0.567,0,2,0.152,-6.407,1,0.0425,135.01,4,0.938
La Avispa,Zacarias Ferreira,20/4 Bachata Vol.3,Bachata Classics,0,47,266480,0.483,0.939,0.579,0,2,0.102,-5.089,0,0.0376,128.046,4,0.817
Sentimiento De Amor,Zacarias Ferreira,Bachata Simply The Classic,Bachata Classics,0,42,203080,0.051,0.959,0.603,0,7,0.253,-5.327,1,0.056,129.918,4,0.966
Siento Que Te Quiero,Zacarias Ferreira,Tony Bachata Presents: Los Grandes Exitos de Bachata,Bachata Classics,0,47,301920,0.27,0.821,0.456,2.08E-06,1,0.0796,-7.581,0,0.0518,133.871,4,0.936
Rewrite The Stars,Zac Efron,The Greatest Showman (Original Motion Picture Soundtrack),Pop Sauce,1,83,217440,0.0716,0.684,0.619,0,10,0.122,-7.005,1,0.0386,125.046,4,0.284
Heavy Is the Head,Zac Brown Band,Heavy Is The Head,Swagger,0,8,239760,0.000369,0.508,0.923,0.00171,8,0.0948,-3.258,1,0.0392,85.526,4,0.689
It Goes On,Zac Brown,It Goes On,Nashville Stripped,0,57,204750,0.647,0.508,0.513,0.000131,1,0.0828,-7.988,0,0.0265,89.724,4,0.123
KOC,Z.TAO,KOC,Chinese Hip-Hop Stars,0,32,194680,0.0557,0.821,0.727,0,1,0.0687,-5.895,1,0.161,121.972,4,0.457
I Fall For The Same Face Every Time,Z Berg,I Fall For The Same Face Every Time,The Most Beautiful Songs in the World,0,51,199719,0.972,0.494,0.183,0.000751,11,0.122,-13.248,1,0.0354,76.497,4,0.273
Nobody's Better (feat. Fetty Wap),Z,Nobody's Better (feat. Fetty Wap),HIIT-Hop,0,64,209590,0.0134,0.357,0.661,0,0,0.166,-7.259,0,0.106,101.038,4,0.541
Vroom,Yxng Bane,Vroom,Power Workout,1,71,221538,0.0388,0.653,0.573,0,11,0.0687,-6.744,0,0.0852,141.18,5,0.348
"If I Can't Have You - From ""Saturday Night Fever""",Yvonne Elliman,Love Songs #1's,All Out 70s,0,50,177213,0.108,0.599,0.807,0,8,0.348,-6.971,0,0.0412,109.497,4,0.846
Home Soon,yuzu blur,Home Soon,Tender,0,50,144000,0.854,0.645,0.189,0.0105,11,0.108,-16.776,1,0.0606,67.479,4,0.121
Wild World,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered),70s & 80s Acoustic,1,75,200160,0.354,0.483,0.503,0.000284,0,0.116,-9.396,1,0.0341,151.862,4,0.598
Wild World,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered),Good Times_ Great Oldies,1,75,200160,0.354,0.483,0.503,0.000284,0,0.116,-9.396,1,0.0341,151.862,4,0.598
Waiting,Yurrit,Waiting,Young & Free,0,41,198972,0.13,0.502,0.745,2.65E-05,8,0.325,-8.614,0,0.426,159.966,4,0.656
Illusion,YURI (Girls’ Generation),The First Scene - The 1st Mini Album,Fantastic K-Workout,0,51,227779,0.165,0.77,0.599,1.88E-05,5,0.0796,-5.435,1,0.0478,100.094,4,0.386
Into You,YURI (Girls’ Generation),The First Scene - The 1st Mini Album,Fantastic K-Workout,1,65,186531,0.223,0.672,0.805,0,0,0.329,-4.291,1,0.0529,93.94,4,0.689
No Going Back,Yuno,No Going Back,Bedroom Pop,0,60,208200,0.0114,0.714,0.713,0.0183,2,0.0608,-5.52,0,0.027,93.006,4,0.9
No Going Back,Yuno,No Going Back,Feel-Good Indie Rock,0,36,208200,0.0114,0.714,0.713,0.0183,2,0.0608,-5.52,0,0.027,93.006,4,0.9
Live or Die,Yunggoth✰,Live or Die,Tear Drop,0,52,124877,0.381,0.775,0.529,0.409,8,0.11,-6.49,1,0.0624,148.068,4,0.0398
Jungle (feat. Jaydayoungan),Yungeen Ace,Life of Betrayal,Lowkey Flex,0,57,206368,0.145,0.757,0.74,0,6,0.0924,-5.763,0,0.24,139.956,4,0.287
Anarchist,YUNGBLUD,21st Century Liability,Rock This,0,61,167700,0.0101,0.523,0.888,0,9,0.134,-4.39,0,0.259,160.013,4,0.213
California,YUNGBLUD,21st Century Liability,Rock This,1,65,231652,0.00279,0.432,0.684,0,2,0.132,-5.23,0,0.199,181.89,4,0.44
Look Like,Yung Pinch,714Ever,Tear Drop,0,60,226153,0.0243,0.795,0.523,0.00652,4,0.11,-7.623,1,0.102,130.101,4,0.617
When I Get Home (Hotel California),Yung Pinch,When I Get Home (Hotel California),Cali Fire,0,58,203813,0.406,0.729,0.698,0,5,0.108,-4.986,0,0.0545,131.966,4,0.466
Why Would I Wait (feat. G-Eazy),Yung Pinch,Why Would I Wait (feat. G-Eazy),Hip Hop Made Me,0,63,185706,0.0226,0.644,0.591,0,1,0.232,-5.16,1,0.0626,149.986,4,0.465
Cuz You're My Girl,Yung Heazy,Cuz You're My Girl,Bedroom Pop,0,56,247136,0.125,0.413,0.299,2.20E-06,1,0.187,-11.271,0,0.0445,82.46,4,0.549
Knockout,Yung Gravy,Knockout,Power Workout,0,12,195686,0.129,0.741,0.888,2.44E-06,2,0.316,-3.107,0,0.102,145.984,4,0.809
Pizzazz,Yung Gravy,Pizzazz,Straight Off The Porch,0,61,165786,0.671,0.692,0.752,0,7,0.116,-5.112,0,0.116,86.994,4,0.655
Fat Joe,Yung Fume,Fat Joe,Rap UK,0,44,188235,0.282,0.85,0.489,0,3,0.101,-5.849,0,0.452,76.479,4,0.551
Ice On My Baby (feat. Kevin Gates) - Remix,Yung Bleu,Ice On My Baby (feat. Kevin Gates) [Remix],The Realest Down South,0,59,199520,0.0675,0.762,0.52,3.95E-06,5,0.114,-5.237,0,0.0959,75.047,4,0.0862
Easter Pink,Yung Bans,Easter Pink,The Realest Down South,0,57,219324,0.0108,0.929,0.39,3.49E-06,8,0.124,-9.833,1,0.37,140.012,4,0.508
Ridin (feat. Landon Cube & YBN Nahmir),Yung Bans,Yung Bans Vol. 5,Mellow Bars,1,75,225103,0.606,0.832,0.439,5.45E-06,4,0.11,-9.594,0,0.0996,145.004,4,0.53
Decorate,Yuna,Yuna,You & Me,0,3,224706,0.437,0.586,0.465,0,4,0.127,-10.007,0,0.0275,133.966,4,0.241
With You With Me,YUMI,With You With Me,Young & Free,0,46,231230,0.323,0.621,0.484,0.000611,9,0.131,-7.977,0,0.0342,129.803,4,0.122
Get Away,Yuck,Yuck (Japanese Version),Indie Workout,0,0,215573,0.00233,0.467,0.692,0.491,9,0.176,-2.3,1,0.0379,133.033,4,0.535
Feel Like That,YTK,Feel Like That,Fresh Finds_ Fire Emoji,0,33,156000,0.045,0.666,0.441,0,2,0.0551,-10.469,1,0.362,80.109,4,0.424
I Like Me Better,Ysabelle Cuevas,Ysabelle,Acoustic Covers,1,65,189673,0.896,0.449,0.209,0,10,0.156,-14.494,1,0.0896,93.618,4,0.431
Debbie,Your Smith,Bad Habit,Left of Center,0,53,191746,0.0138,0.839,0.738,2.24E-06,11,0.0871,-7.255,0,0.0317,113.003,4,0.936
Lost In Translation,Youngr,Lost In Translation,Young & Free,0,49,179915,0.000725,0.767,0.675,0.00349,7,0.371,-7.881,1,0.0365,110.055,4,0.905
SS,Younghertz,SS,K-Hip-Hop Beats,0,36,240081,0.0031,0.557,0.583,0,6,0.18,-7.082,1,0.0333,135.998,4,0.522
Diamond Teeth Samurai,YoungBoy Never Broke Again,Diamond Teeth Samurai,Off the Strength,0,48,162488,0.00451,0.799,0.659,0,10,0.13,-5.593,0,0.272,177.957,4,0.256
Head On (feat. Kevin Gates),YoungBoy Never Broke Again,4Respect,Get Turnt,1,69,117995,0.0267,0.897,0.628,4.47E-06,1,0.119,-4.693,0,0.219,147.997,4,0.636
Head On (feat. Kevin Gates),YoungBoy Never Broke Again,4Respect,Most Necessary,1,69,117995,0.0267,0.897,0.628,4.47E-06,1,0.119,-4.693,0,0.219,147.997,4,0.636
Head On (feat. Kevin Gates),YoungBoy Never Broke Again,4Respect,The Realest Down South,1,69,117995,0.0267,0.897,0.628,4.47E-06,1,0.119,-4.693,0,0.219,147.997,4,0.636
I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo),YoungBoy Never Broke Again,4Respect 4Freedom 4Loyalty 4WhatImportant,Hip-Hop R&B Nation,1,76,200170,0.21,0.722,0.88,0,4,0.324,-3.989,0,0.24,92.024,4,0.79
I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo),YoungBoy Never Broke Again,4Respect,Most Necessary,0,64,200170,0.21,0.722,0.88,0,4,0.324,-3.989,0,0.24,92.024,4,0.79
I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo),YoungBoy Never Broke Again,4Respect,Off the Strength,0,64,200170,0.21,0.722,0.88,0,4,0.324,-3.989,0,0.24,92.024,4,0.79
I Am Who They Say I Am (feat. Kevin Gates and Quando Rondo),YoungBoy Never Broke Again,4Respect,The Rhythm & Beats,0,64,200170,0.21,0.722,0.88,0,4,0.324,-3.989,0,0.24,92.024,4,0.79
Murda (feat. Trippie Redd),YoungBoy Never Broke Again,Decided,Most Necessary,1,78,183681,0.28,0.691,0.566,0,4,0.106,-5.213,0,0.227,147.982,4,0.291
Murda (feat. Trippie Redd),YoungBoy Never Broke Again,Decided,The Realest Down South,1,78,183681,0.28,0.691,0.566,0,4,0.106,-5.213,0,0.227,147.982,4,0.291
Public Figure,YoungBoy Never Broke Again,Until Death Call My Name,Off the Strength,0,39,151578,0.0777,0.846,0.725,0,9,0.256,-4.773,1,0.395,151.997,4,0.532
RIP (feat. Offset),YoungBoy Never Broke Again,Until Death Call My Name Reloaded,The Realest Down South,0,63,158783,0.0173,0.895,0.766,0,10,0.0975,-4.93,0,0.307,81.483,4,0.416
Run In Here,YoungBoy Never Broke Again,4Freedom,Off the Strength,0,55,136216,0.194,0.792,0.655,0,0,0.113,-5.422,1,0.327,147.902,4,0.567
Through The Storm,YoungBoy Never Broke Again,Through The Storm,The Realest Down South,1,71,163566,0.631,0.881,0.581,0,5,0.0986,-5.162,1,0.0901,78.508,4,0.876
TTG (feat. Kevin Gates),YoungBoy Never Broke Again,4Respect,Mellow Bars,0,62,172138,0.0563,0.874,0.699,0,1,0.0956,-3.455,1,0.352,77.502,4,0.665
