year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2020,12,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",90,6,3.8,0,1.63,0,0.57,0,0,374,249,0,88,0,37
2020,12,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",115,5,4.82,0,0.18,0,0,0,1,244,236,0,8,0,0
2020,12,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",90,10,3.06,0.85,5.4,0,0.68,0,0,759,220,258,211,0,70
2020,12,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",14,1,1,0,0,0,0,1,0,18,18,0,0,0,0
2020,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",96,17,8.5,0,5.11,0,3.4,1,0,1064,558,0,200,0,306
2020,12,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",106,5,3.7,0,1.3,0,0,0,0,230,205,0,25,0,0
2020,12,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",213,12,6.42,2.96,0.92,0,1.71,0,0,542,279,202,25,0,36
2020,12,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",86,1,0.59,0,0,0,0.41,1,1,17,10,0,0,0,7
2020,12,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",61,6,3.03,0,2.65,0,0.32,1,0,209,121,0,67,0,21
2020,12,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",74,12,2.57,0.96,7.47,0,1,0,0,677,118,121,398,0,40
2020,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",42,1,1,0,0,0,0,0,0,64,64,0,0,0,0
2020,12,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",84,8,2.44,0,4.3,0,1.26,2,0,446,127,0,190,0,129
2020,12,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: Yeager",113,8,6,1,0.16,0,0.84,0,0,376,305,22,8,0,41
2020,12,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",99,6,2.45,0.97,2.58,0,0,0,0,162,74,33,55,0,0
2020,12,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",381,43,6.09,1.33,23.77,0,11.82,4,0,1689,216,100,685,0,688
2020,12,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",88,14,6.16,0,5.82,0,2.02,2,0,765,291,0,245,0,229
2020,12,9E,Endeavor Air Inc.,DAL,"Dallas, TX: Dallas Love Field",39,6,0.09,0,3.76,0,2.15,0,0,420,5,0,296,0,119
2020,12,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",176,17,4.89,0,7.54,0,4.57,0,0,850,257,0,232,0,361
2020,12,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",37,1,0,0,0.13,0,0.87,1,0,15,0,0,2,0,13
2020,12,9E,Endeavor Air Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",83,8,1.5,0,5.4,0,1.1,0,0,454,134,0,260,0,60
2020,12,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",101,10,4.79,0,0.63,0,4.58,0,0,464,244,0,17,0,203
2020,12,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",122,11,5.94,0,4.02,0,1.04,3,0,670,398,0,208,0,64
2020,12,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",232,28,8.05,3.63,10.58,0,5.74,7,0,3960,565,2631,408,0,356
2020,12,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",2312,197,53.67,1.92,60.81,0,80.6,13,4,16873,8216,196,1879,0,6582
2020,12,9E,Endeavor Air Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",39,5,1.96,0,1.5,0,1.54,0,0,175,82,0,28,0,65
2020,12,9E,Endeavor Air Inc.,ELM,"Elmira/Corning, NY: Elmira/Corning Regional",52,5,2.55,0,2.45,0,0,1,0,160,62,0,98,0,0
2020,12,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",143,6,2.92,0,2.64,0,0.44,0,0,218,137,0,62,0,19
2020,12,9E,Endeavor Air Inc.,EWR,"Newark, NJ: Newark Liberty International",175,23,12.71,1.9,8.15,0,0.23,5,0,1684,1216,131,313,0,24
2020,12,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",91,8,4,0,4,0,0,3,1,266,137,0,129,0,0
2020,12,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",112,5,3.05,0,0,1,0.95,0,0,151,88,0,0,22,41
2020,12,9E,Endeavor Air Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",53,5,1.96,0,3,0,0.04,0,0,641,417,0,211,0,13
2020,12,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",123,15,3.69,0,7.53,0,3.77,3,0,454,89,0,208,0,157
2020,12,9E,Endeavor Air Inc.,FWA,"Fort Wayne, IN: Fort Wayne International",83,7,3.64,0,1.4,0,1.96,0,0,227,151,0,40,0,36
2020,12,9E,Endeavor Air Inc.,GFK,"Grand Forks, ND: Grand Forks International",14,3,1.85,0,0,0,1.15,1,0,308,174,0,0,0,134
2020,12,9E,Endeavor Air Inc.,GNV,"Gainesville, FL: Gainesville Regional",115,8,4.19,0,2,0,1.81,0,0,401,255,0,42,0,104
2020,12,9E,Endeavor Air Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",142,8,3.51,0,1.67,0.47,2.35,0,1,321,152,0,33,8,128
2020,12,9E,Endeavor Air Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",218,20,9.62,0,6.78,0,3.61,2,0,1066,557,0,234,0,275
2020,12,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",203,23,7.05,1,11.98,0,2.97,1,0,934,358,29,410,0,137
2020,12,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",184,8,4.4,0,1.48,0,2.12,0,0,250,133,0,34,0,83
2020,12,9E,Endeavor Air Inc.,GSP,"Greer, SC: Greenville-Spartanburg International",54,10,8.12,0,1.13,0,0.74,0,0,1079,985,0,61,0,33
2020,12,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional",86,7,6.99,0,0.01,0,0,0,0,368,367,0,1,0,0
2020,12,9E,Endeavor Air Inc.,HOU,"Houston, TX: William P Hobby",148,21,6.2,0,13.98,0,0.81,0,0,617,210,0,394,0,13
2020,12,9E,Endeavor Air Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",174,4,2.88,0.19,0.13,0,0.81,0,0,94,70,4,3,0,17
2020,12,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",12,1,1,0,0,0,0,0,0,44,44,0,0,0,0
2020,12,9E,Endeavor Air Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",120,9,2.68,0,5.32,0,1,1,0,290,87,0,143,0,60
2020,12,9E,Endeavor Air Inc.,ILM,"Wilmington, NC: Wilmington International",116,4,2.21,0,0.68,0,1.11,0,0,89,55,0,13,0,21
2020,12,9E,Endeavor Air Inc.,IND,"Indianapolis, IN: Indianapolis International",110,6,0.25,0,4.54,0,1.21,3,0,182,6,0,115,0,61
2020,12,9E,Endeavor Air Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",144,5,4.63,0,0,0,0.37,0,0,222,192,0,0,0,30
2020,12,9E,Endeavor Air Inc.,JAX,"Jacksonville, FL: Jacksonville International",29,3,1.68,0,1.25,0,0.07,1,0,301,250,0,33,0,18
2020,12,9E,Endeavor Air Inc.,JFK,"New York, NY: John F. Kennedy International",269,31,9.92,1.27,12.77,0,7.04,10,0,1759,715,64,439,0,541
2020,12,9E,Endeavor Air Inc.,LAN,"Lansing, MI: Capital Region International",51,9,1.77,0,5.85,0,1.39,0,0,353,94,0,184,0,75
2020,12,9E,Endeavor Air Inc.,LEX,"Lexington, KY: Blue Grass",179,14,6.36,0,4.3,0,3.33,0,0,831,417,0,154,0,260
2020,12,9E,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",130,3,1.69,0,1.11,0,0.19,0,2,75,45,0,23,0,7
2020,12,9E,Endeavor Air Inc.,LGA,"New York, NY: LaGuardia",55,5,1,0.68,3.08,0,0.24,1,0,314,32,61,185,0,36
2020,12,9E,Endeavor Air Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",114,10,7.54,0.43,1.03,0,1,0,0,335,269,23,27,0,16
2020,12,9E,Endeavor Air Inc.,MBS,"Saginaw/Bay City/Midland, MI: MBS International",90,15,4.59,0,9.03,0,1.38,0,0,1281,841,0,305,0,135
2020,12,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,9E,Endeavor Air Inc.,MCO,"Orlando, FL: Orlando International",62,7,4.77,0,0.86,0,1.37,0,0,757,588,0,40,0,129
2020,12,9E,Endeavor Air Inc.,MDT,"Harrisburg, PA: Harrisburg International",149,10,0.93,0,4.99,0,4.09,2,0,496,34,0,143,0,319
2020,12,9E,Endeavor Air Inc.,MEM,"Memphis, TN: Memphis International",118,17,9.7,0,7.02,0,0.29,1,0,786,554,0,224,0,8
2020,12,9E,Endeavor Air Inc.,MGM,"Montgomery, AL: Montgomery Regional",122,14,10.75,0,2.25,1,0,0,1,2066,1962,0,52,52,0
2020,12,9E,Endeavor Air Inc.,MIA,"Miami, FL: Miami International",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,9E,Endeavor Air Inc.,MKE,"Milwaukee, WI: General Mitchell International",16,3,1,0,2,0,0,0,0,78,16,0,62,0,0
2020,12,9E,Endeavor Air Inc.,MLI,"Moline, IL: Quad City International",60,4,1.37,0,2,0,0.63,0,1,234,104,0,35,0,95
2020,12,9E,Endeavor Air Inc.,MLU,"Monroe, LA: Monroe Regional",87,6,5.56,0,0.4,0,0.04,0,0,276,244,0,29,0,3
2020,12,9E,Endeavor Air Inc.,MOB,"Mobile, AL: Mobile Regional",119,8,7.07,0,0.32,0,0.61,0,1,281,234,0,11,0,36
2020,12,9E,Endeavor Air Inc.,MOT,"Minot, ND: Minot International",145,23,9.33,0,10.23,0,3.44,3,0,1287,736,0,362,0,189
2020,12,9E,Endeavor Air Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",180,13,3,0,5.15,0,4.85,1,1,563,180,0,148,0,235
2020,12,9E,Endeavor Air Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",2244,217,52.01,13.97,78.34,0,72.68,59,1,19895,8074,2922,4085,0,4814
2020,12,9E,Endeavor Air Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,9E,Endeavor Air Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",119,6,3,0,3,0,0,0,0,412,335,0,77,0,0
2020,12,9E,Endeavor Air Inc.,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",113,5,1.75,0.97,0.4,0,1.88,0,1,692,52,562,8,0,70
2020,12,9E,Endeavor Air Inc.,OKC,"Oklahoma City, OK: Will Rogers World",99,10,5.81,0,3.06,0,1.13,0,0,575,403,0,135,0,37
2020,12,9E,Endeavor Air Inc.,OMA,"Omaha, NE: Eppley Airfield",135,18,5.21,0,9.88,0,2.9,0,1,664,327,0,226,0,111
2020,12,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",72,4,0,0,4,0,0,1,0,98,0,0,98,0,0
2020,12,9E,Endeavor Air Inc.,ORF,"Norfolk, VA: Norfolk International",90,13,5.23,0,6.81,0,0.96,0,0,677,310,0,228,0,139
2020,12,9E,Endeavor Air Inc.,PHL,"Philadelphia, PA: Philadelphia International",158,19,4.63,0.01,10.44,0,3.93,2,1,1274,405,1,483,0,385
2020,12,9E,Endeavor Air Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",11,3,1,0,0.03,0,1.97,0,0,364,46,0,5,0,313
2020,12,9E,Endeavor Air Inc.,RAP,"Rapid City, SD: Rapid City Regional",12,2,0,0,1.47,0,0.53,1,0,31,0,0,23,0,8
2020,12,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",315,42,15.78,0,15.59,0,10.62,5,0,3182,1359,0,503,0,1320
2020,12,9E,Endeavor Air Inc.,RIC,"Richmond, VA: Richmond International",16,1,0.88,0,0.12,0,0,0,0,50,44,0,6,0,0
2020,12,9E,Endeavor Air Inc.,ROA,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field",83,4,3,1,0,0,0,0,0,207,71,136,0,0,0
2020,12,9E,Endeavor Air Inc.,ROC,"Rochester, NY: Greater Rochester International",121,18,4.61,1.22,9.52,0,2.65,1,0,733,193,140,293,0,107
2020,12,9E,Endeavor Air Inc.,RST,"Rochester, MN: Rochester International",118,14,5.18,0,6.96,0,1.86,3,0,1455,895,0,299,0,261
2020,12,9E,Endeavor Air Inc.,RSW,"Fort Myers, FL: Southwest Florida International",3,3,0,0.52,1.48,0,1,0,0,203,0,62,111,0,30
2020,12,9E,Endeavor Air Inc.,SAV,"Savannah, GA: Savannah/Hilton Head International",89,11,2.71,0.28,5.24,0,2.77,0,0,372,115,22,137,0,98
2020,12,9E,Endeavor Air Inc.,SBN,"South Bend, IN: South Bend International",84,3,1.69,0,1,0,0.31,0,0,101,63,0,23,0,15
2020,12,9E,Endeavor Air Inc.,SDF,"Louisville, KY: Louisville Muhammad Ali International",31,3,0.9,0,2.1,0,0,1,0,149,60,0,89,0,0
2020,12,9E,Endeavor Air Inc.,SGF,"Springfield, MO: Springfield-Branson National",91,3,0,0,2.21,0,0.79,0,0,59,0,0,44,0,15
2020,12,9E,Endeavor Air Inc.,SHV,"Shreveport, LA: Shreveport Regional",114,7,3.05,0,2.3,0,1.64,0,1,158,64,0,43,0,51
2020,12,9E,Endeavor Air Inc.,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",14,2,0,0,2,0,0,0,0,89,0,0,89,0,0
2020,12,9E,Endeavor Air Inc.,STL,"St. Louis, MO: St Louis Lambert International",124,18,1.76,0,13.72,0,2.52,2,0,541,85,0,305,0,151
2020,12,9E,Endeavor Air Inc.,SYR,"Syracuse, NY: Syracuse Hancock International",114,12,4.13,0.12,6.87,0,0.88,2,0,619,334,5,243,0,37
2020,12,9E,Endeavor Air Inc.,TLH,"Tallahassee, FL: Tallahassee International",61,1,0.78,0,0.22,0,0,0,0,23,18,0,5,0,0
2020,12,9E,Endeavor Air Inc.,TPA,"Tampa, FL: Tampa International",28,4,1.56,0,1.54,0,0.9,0,0,304,75,0,78,0,151
2020,12,9E,Endeavor Air Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",123,9,5.04,1,0.32,0,2.64,0,2,483,299,51,21,0,112
2020,12,9E,Endeavor Air Inc.,TUL,"Tulsa, OK: Tulsa International",87,5,1.88,0,2.2,0,0.92,0,0,218,86,0,96,0,36
2020,12,9E,Endeavor Air Inc.,TYS,"Knoxville, TN: McGhee Tyson",265,21,11.76,1.21,5.21,0,2.81,0,1,856,474,88,150,0,144
2020,12,9E,Endeavor Air Inc.,VLD,"Valdosta, GA: Valdosta Regional",91,6,1.81,0,2.96,0,1.23,0,0,125,33,0,57,0,35
2020,12,9E,Endeavor Air Inc.,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",82,4,2.67,0,0.33,0,1,0,0,174,130,0,13,0,31
2020,12,9E,Endeavor Air Inc.,XNA,"Fayetteville, AR: Northwest Arkansas Regional",111,4,1.79,1,1,0,0.21,1,0,154,84,42,17,0,11
2020,12,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",31,6,3.06,0,1.35,0,1.59,0,0,160,88,0,36,0,36
2020,12,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",373,35,21.15,0,8.1,1,4.75,2,0,2168,1404,0,462,51,251
2020,12,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",380,48,18.17,0.4,21.56,0,7.87,1,1,1881,675,10,755,0,441
2020,12,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",100,10,3.15,0,4.9,0,1.95,3,1,354,106,0,130,0,118
2020,12,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",319,31,15.35,0.27,12.76,0,2.62,3,1,2019,963,13,812,0,231
2020,12,AA,American Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",50,10,3.89,0,3.12,0,2.98,0,0,693,238,0,121,0,334
2020,12,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",711,72,27.9,8.74,26.48,0,8.88,14,1,7217,1079,3241,2268,0,629
2020,12,AA,American Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,AA,American Airlines Inc.,BUR,"Burbank, CA: Bob Hope",29,6,3.46,0,1.09,0,1.44,0,0,332,87,0,51,0,194
2020,12,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",240,28,12.76,0,10.08,0,5.17,1,1,1884,1220,0,339,0,325
2020,12,AA,American Airlines Inc.,BZN,"Bozeman, MT: Bozeman Yellowstone International",51,14,5.07,0,6.52,0,2.41,0,0,506,114,0,173,0,219
2020,12,AA,American Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",73,14,5.42,0,3.37,0,5.21,0,0,923,411,0,144,0,368
2020,12,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",130,29,12.45,0,11.56,1,3.99,0,1,1275,578,0,426,72,199
2020,12,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",5008,388,151.42,9.87,146.03,1.59,79.08,19,1,30305,13168,3377,4672,42,9046
2020,12,AA,American Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",132,21,8.35,0.76,7.16,0,4.73,1,0,1191,393,16,214,0,568
2020,12,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",85,22,10.72,0,6.55,0,4.73,0,0,1457,1002,0,263,0,192
2020,12,AA,American Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",39,3,2,0,0.07,0,0.93,0,0,262,195,0,5,0,62
2020,12,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",788,54,23.92,1.39,16.93,0,11.76,4,0,2442,1106,110,537,0,689
2020,12,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",588,82,36.97,1.41,32.87,0,10.75,2,0,3691,1698,89,1237,0,667
2020,12,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7959,1178,279.77,29.74,626.41,2.95,239.13,53,31,79138,28264,4729,24532,141,21472
2020,12,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",146,23,9.07,0.53,7.27,0,6.14,1,0,1164,482,10,312,0,360
2020,12,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",109,26,3.66,0.35,16.5,0,5.48,2,4,3297,138,36,923,0,2200
2020,12,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",40,4,3.51,0,0.24,0,0.25,1,0,136,115,0,9,0,12
2020,12,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",267,19,11.28,1,3.61,0,3.11,5,0,1618,792,573,63,0,190
2020,12,AA,American Airlines Inc.,EYW,"Key West, FL: Key West International",88,11,6.69,0,2.85,0,1.46,0,1,718,319,0,158,0,241
2020,12,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",79,11,3.3,0.17,4.5,0,3.03,0,0,371,87,3,163,0,118
2020,12,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",478,53,24.77,0.33,20.54,0,7.36,0,0,2452,1118,13,847,0,474
2020,12,AA,American Airlines Inc.,GEG,"Spokane, WA: Spokane International",119,20,9.54,0,6.87,0,3.59,1,0,1111,783,0,153,0,175
2020,12,AA,American Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",63,4,0.06,0,1.64,0,2.3,0,0,182,4,0,50,0,128
2020,12,AA,American Airlines Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",44,4,2.8,0,1.12,0,0.08,0,0,121,88,0,31,0,2
2020,12,AA,American Airlines Inc.,GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",12,3,2.63,0,0.37,0,0,0,0,82,72,0,10,0,0
2020,12,AA,American Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",26,6,1,0,5,0,0,0,0,142,34,0,108,0,0
2020,12,AA,American Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",172,29,16.26,0,9.1,0,3.64,1,1,2827,2073,0,335,0,419
2020,12,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",47,10,5.11,0,3.8,0,1.09,0,0,410,245,0,122,0,43
2020,12,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",195,38,19.21,0,13.81,0,4.99,1,0,1999,1461,0,376,0,162
2020,12,AA,American Airlines Inc.,ILM,"Wilmington, NC: Wilmington International",31,2,2,0,0,0,0,0,0,53,53,0,0,0,0
2020,12,AA,American Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",108,14,6.44,0,2.24,0,5.32,0,0,972,242,0,156,0,574
2020,12,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",89,18,8.21,0,7.8,0,1.98,0,0,490,252,0,188,0,50
2020,12,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",233,38,19.22,1,10.29,1,6.49,1,0,2286,1142,21,559,17,547
2020,12,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",336,35,20.81,1.86,10.39,0,1.93,7,0,3638,2110,568,391,0,569
2020,12,AA,American Airlines Inc.,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",78,10,4.62,0,5.38,0,0,0,0,328,167,0,161,0,0
2020,12,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",714,73,36.26,0.23,26.47,0.18,9.86,3,0,3653,2272,5,864,11,501
2020,12,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1287,114,55.48,3.22,40.74,1.87,12.69,10,1,7535,4354,345,1534,77,1225
2020,12,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",554,42,19.7,0.48,15.53,0.05,6.23,15,0,2614,1416,28,653,1,516
2020,12,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",13,0,0,0,0,0,0,11,0,0,0,0,0,0,0
2020,12,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",879,91,56.95,1.83,21.95,0,10.27,3,1,3982,2659,33,870,0,420
2020,12,AA,American Airlines Inc.,MEM,"Memphis, TN: Memphis International",61,5,2.7,0,1.27,0,1.03,0,0,135,74,0,38,0,23
2020,12,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",2415,233,119.46,7.96,88,3,14.58,12,1,15089,8313,311,3123,81,3261
2020,12,AA,American Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,AA,American Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",208,28,13.43,0.44,6.67,0,7.46,1,0,1024,433,49,248,0,294
2020,12,AA,American Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",223,27,14.42,0,7.1,0,5.48,1,0,1398,825,0,309,0,264
2020,12,AA,American Airlines Inc.,MTJ,"Montrose/Delta, CO: Montrose Regional",59,4,1.37,0,2.45,0,0.19,0,0,144,86,0,53,0,5
2020,12,AA,American Airlines Inc.,MYR,"Myrtle Beach, SC: Myrtle Beach International",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,12,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",129,24,10.43,0,6.64,0,6.93,0,1,1586,647,0,293,0,646
