Invoice_ID,Customer_ID,Product_Name,Category,Quantity,Price,Total_Sales,Date
I-94,24,T-Shirt,Clothing,5,563.79,2818.95,02-03-2024
I-95,60,Dress,Clothing,1,342.32,342.32,05-12-2024
I-96,29,Football,Sports,6,740.05,4440.3,12-08-2024
I-97,80,Football,Sports,10,462.15,4621.5,21-09-2024
I-98,11,Headphones,Electronics,7,613.7,4295.9,07-10-2024
I-99,94,Smartphone,Electronics,10,378.2,3782,21-12-2024
I-100,55,Yoga Mat,Sports,6,383.41,2300.46,12-02-2024
I-101,34,Jacket,Clothing,10,316.77,3167.7,21-12-2024
I-102,61,Headphones,Electronics,3,740.92,2222.76,14-06-2024
I-103,38,Milk,Groceries,2,206.8,413.6,16-09-2024
I-104,97,Sneakers,Clothing,8,430.88,3447.04,30-01-2024
I-105,89,Wall Art,Home Decor,10,980.32,9803.2,04-09-2024
I-106,76,Eggs,Groceries,1,964.97,964.97,29-04-2024
I-107,39,Wall Art,Home Decor,8,520.82,4166.56,17-11-2024
I-108,93,Bicycle,Sports,2,351.52,703.04,17-11-2024
I-109,33,Jacket,Clothing,8,349.38,2795.04,11-03-2024
I-110,45,Tennis Racket,Sports,4,483.11,1932.44,27-12-2024
I-111,94,Bicycle,Sports,9,544.74,4902.66,11-10-2024
I-112,73,Eggs,Groceries,10,340.59,3405.9,19-07-2024
I-113,87,Headphones,Electronics,1,880.19,880.19,10-09-2024
I-114,87,Eggs,Groceries,5,671.28,3356.4,24-10-2024
I-115,11,Eggs,Groceries,10,41.56,415.6,12-03-2024
I-116,55,Rice,Groceries,7,856.49,5995.43,15-12-2024
I-117,1,Dumbbells,Sports,3,14.29,42.87,31-03-2024
I-118,94,Milk,Groceries,9,672.94,6056.46,12-04-2024
I-119,11,Curtains,Home Decor,4,631.05,2524.2,24-09-2024
I-120,15,Tablet,Electronics,1,677.77,677.77,25-09-2024
I-121,84,Sneakers,Clothing,1,640.11,640.11,11-10-2024
I-122,60,Bread,Groceries,7,660.64,4624.48,26-03-2024
I-123,58,Lamp,Home Decor,5,491.69,2458.45,24-04-2024
I-124,94,Fruits,Groceries,8,119.22,953.76,22-02-2024
I-125,64,Milk,Groceries,9,27.24,245.16,01-11-2024
I-126,94,Tennis Racket,Sports,4,207.07,828.28,14-12-2024
I-127,25,Lamp,Home Decor,8,633.79,5070.32,29-01-2024
I-128,98,Jeans,Clothing,6,228.9,1373.4,01-12-2024
I-129,57,T-Shirt,Clothing,10,391.87,3918.7,10-09-2024
I-130,71,Smartphone,Electronics,7,856.99,5998.93,06-08-2024
I-131,64,Dress,Clothing,2,823.59,1647.18,15-06-2024
I-132,35,Vase,Home Decor,5,326.08,1630.4,20-04-2024
I-133,50,Jacket,Clothing,8,268.43,2147.44,05-11-2024
I-134,17,Curtains,Home Decor,4,26.14,104.56,21-10-2024
I-135,5,Milk,Groceries,3,674.76,2024.28,20-11-2024
I-136,36,Bicycle,Sports,10,104.37,1043.7,20-02-2024
I-137,2,Eggs,Groceries,8,900.98,7207.84,31-03-2024
I-138,43,Laptop,Electronics,10,376.13,3761.3,12-05-2024
I-139,64,Yoga Mat,Sports,10,89.28,892.8,19-09-2024
I-140,60,Lamp,Home Decor,1,772.64,772.64,10-07-2024
I-141,37,Tablet,Electronics,2,365.82,731.64,06-11-2024
I-142,12,Jeans,Clothing,2,71.43,142.86,08-03-2024
I-143,26,Sneakers,Clothing,10,841.99,8419.9,20-05-2024
I-144,83,Headphones,Electronics,6,642.58,3855.48,04-06-2024
I-145,38,Football,Sports,2,756.34,1512.68,15-05-2024
I-146,87,Lamp,Home Decor,1,531.14,531.14,25-04-2024
I-147,91,Football,Sports,2,857.76,1715.52,03-10-2024
I-148,92,T-Shirt,Clothing,1,762.77,762.77,01-02-2024
I-149,63,Sneakers,Clothing,6,629.39,3776.34,27-12-2024
I-150,73,Cushion,Home Decor,7,348.89,2442.23,21-08-2024
I-151,28,Tablet,Electronics,10,128.11,1281.1,16-10-2024
I-152,82,Laptop,Electronics,5,701.7,3508.5,01-06-2024
I-153,36,Sneakers,Clothing,10,743.54,7435.4,08-07-2024
I-154,9,Dumbbells,Sports,7,898.33,6288.31,09-02-2024
I-155,49,Yoga Mat,Sports,8,871.48,6971.84,04-12-2024
I-156,57,Rice,Groceries,8,57.55,460.4,13-02-2024
I-157,30,Tablet,Electronics,2,219.67,439.34,09-12-2024
I-158,95,Yoga Mat,Sports,2,67.27,134.54,24-01-2024
I-159,85,Curtains,Home Decor,2,996.95,1993.9,13-08-2024
I-160,98,Dress,Clothing,7,224.54,1571.78,10-02-2024
I-161,87,T-Shirt,Clothing,10,789.55,7895.5,29-04-2024
I-162,51,Lamp,Home Decor,9,356.16,3205.44,14-09-2024
I-163,35,Bicycle,Sports,10,211.12,2111.2,20-10-2024
I-164,100,Smartwatch,Electronics,8,125.11,1000.88,29-04-2024
I-165,73,Fruits,Groceries,7,132.75,929.25,11-03-2024
I-166,58,Smartphone,Electronics,2,352.59,705.18,17-01-2024
I-167,1,Smartwatch,Electronics,4,343.74,1374.96,24-01-2024
I-168,55,Smartwatch,Electronics,2,339.19,678.38,29-12-2023
I-169,34,Jacket,Clothing,4,791.36,3165.44,07-04-2024
I-170,95,Sneakers,Clothing,10,255.77,2557.7,14-11-2024
I-171,30,Tennis Racket,Sports,3,860.56,2581.68,12-04-2024
I-172,16,Milk,Groceries,3,759.29,2277.87,25-07-2024
I-173,95,Tennis Racket,Sports,7,537.71,3763.97,23-10-2024
I-174,26,Fruits,Groceries,2,730.09,1460.18,22-05-2024
I-175,97,Tennis Racket,Sports,5,241.9,1209.5,25-12-2024
I-176,79,Jacket,Clothing,1,562.5,562.5,10-04-2024
I-177,8,Fruits,Groceries,3,257.85,773.55,06-08-2024
I-178,15,Fruits,Groceries,3,742.13,2226.39,08-03-2024
I-179,58,Tablet,Electronics,7,23.78,166.46,01-01-2024
I-180,84,Sneakers,Clothing,5,66.14,330.7,14-11-2024
I-181,41,Curtains,Home Decor,4,113.42,453.68,24-01-2024
I-182,44,Cushion,Home Decor,6,905.56,5433.36,29-11-2024
I-183,10,Dress,Clothing,10,190.21,1902.1,20-03-2024
I-184,94,Tablet,Electronics,7,374.74,2623.18,27-09-2024
I-185,25,Football,Sports,8,458.59,3668.72,05-09-2024
I-186,12,Headphones,Electronics,9,862.03,7758.27,19-12-2024
I-187,57,Wall Art,Home Decor,1,214.04,214.04,20-08-2024
I-188,20,Tablet,Electronics,9,589.48,5305.32,22-12-2024
I-189,18,Headphones,Electronics,10,42.24,422.4,28-11-2024
I-190,80,Tennis Racket,Sports,1,780.41,780.41,21-08-2024
I-191,11,Wall Art,Home Decor,6,109.93,659.58,07-02-2024
I-192,41,Wall Art,Home Decor,7,929.41,6505.87,13-09-2024
I-193,52,Cushion,Home Decor,8,714.13,5713.04,08-08-2024
I-194,20,Dumbbells,Sports,9,295.81,2662.29,12-05-2024
I-195,57,Lamp,Home Decor,3,582.85,1748.55,11-12-2024
I-196,13,Dumbbells,Sports,2,310.14,620.28,11-04-2024
I-197,64,T-Shirt,Clothing,6,19.6,117.6,22-08-2024
I-198,68,Laptop,Electronics,8,804.3,6434.4,28-07-2024
I-199,24,Sneakers,Clothing,2,254.17,508.34,12-12-2024
I-200,58,Cushion,Home Decor,5,857.51,4287.55,25-09-2024
I-201,10,Lamp,Home Decor,2,90.04,180.08,02-06-2024
I-202,12,T-Shirt,Clothing,4,987.53,3950.12,12-04-2024
I-203,16,Football,Sports,2,397.98,795.96,12-10-2024
I-204,57,Sneakers,Clothing,6,160.24,961.44,24-02-2024
I-205,99,Headphones,Electronics,1,674.57,674.57,31-01-2024
I-206,28,Jacket,Clothing,10,906.02,9060.2,24-04-2024
I-207,78,Eggs,Groceries,2,958.52,1917.04,25-11-2024
I-208,97,Tablet,Electronics,3,355.49,1066.47,27-09-2024
I-209,17,Curtains,Home Decor,4,42.12,168.48,08-04-2024
I-210,49,Jacket,Clothing,10,852.98,8529.8,01-05-2024
I-211,68,Lamp,Home Decor,3,344.65,1033.95,14-03-2024
I-212,84,Lamp,Home Decor,2,755.2,1510.4,14-02-2024
I-213,44,Tablet,Electronics,7,894.4,6260.8,06-12-2024
I-214,98,Dress,Clothing,6,713.31,4279.86,15-10-2024
I-215,57,Vase,Home Decor,8,47.81,382.48,05-11-2024
I-216,90,Tablet,Electronics,7,223.23,1562.61,25-08-2024
I-217,71,T-Shirt,Clothing,10,74,740,30-07-2024
I-218,24,Dumbbells,Sports,8,649.72,5197.76,19-01-2024
I-219,60,Lamp,Home Decor,3,751.47,2254.41,14-12-2024
I-220,70,Football,Sports,8,416.11,3328.88,28-06-2024
I-221,96,Bicycle,Sports,1,129.92,129.92,03-09-2024
I-222,56,Headphones,Electronics,6,582.74,3496.44,08-01-2024
I-223,82,Dress,Clothing,4,30.92,123.68,03-11-2024
I-224,17,Fruits,Groceries,1,152.34,152.34,14-10-2024
I-225,5,Bicycle,Sports,9,938.47,8446.23,23-11-2024
I-226,89,Eggs,Groceries,1,912.14,912.14,15-06-2024
I-227,71,Laptop,Electronics,1,170,170,17-10-2024
I-228,32,Smartphone,Electronics,9,690.62,6215.58,29-01-2024
I-229,56,Cushion,Home Decor,4,228.67,914.68,02-04-2024
I-230,88,Bread,Groceries,5,516.7,2583.5,21-05-2024
I-231,30,Fruits,Groceries,4,962.7,3850.8,13-11-2024
I-232,53,Dress,Clothing,9,261.42,2352.78,18-07-2024
I-233,10,Headphones,Electronics,10,841.67,8416.7,24-02-2024
I-234,96,Fruits,Groceries,1,968.58,968.58,23-12-2024
I-235,18,Bicycle,Sports,8,429.57,3436.56,27-04-2024
I-236,62,Wall Art,Home Decor,9,337.31,3035.79,16-12-2024
I-237,14,Jacket,Clothing,2,561.12,1122.24,22-05-2024
I-238,28,Curtains,Home Decor,1,777.89,777.89,21-06-2024
I-239,5,Milk,Groceries,4,721.83,2887.32,21-09-2024
I-240,19,Jeans,Clothing,1,908.07,908.07,09-09-2024
I-241,46,Lamp,Home Decor,1,730.39,730.39,30-09-2024
I-242,66,Jeans,Clothing,10,801.48,8014.8,21-06-2024
I-243,71,Bicycle,Sports,10,760.49,7604.9,27-01-2024
I-244,21,Tablet,Electronics,5,130.72,653.6,17-11-2024
I-245,50,T-Shirt,Clothing,9,80.31,722.79,20-10-2024
I-246,11,Headphones,Electronics,10,326.62,3266.2,24-07-2024
I-247,40,Football,Sports,5,36.71,183.55,16-06-2024
I-248,68,Cushion,Home Decor,8,240.11,1920.88,13-12-2024
I-249,79,Rice,Groceries,9,535.64,4820.76,02-01-2024
I-250,33,Milk,Groceries,5,60.53,302.65,17-09-2024
I-251,55,Jeans,Clothing,2,856.03,1712.06,27-09-2024
I-252,86,Fruits,Groceries,8,450.37,3602.96,09-03-2024
I-253,75,Jacket,Clothing,9,137.48,1237.32,01-04-2024
I-254,31,Smartwatch,Electronics,1,840.97,840.97,29-07-2024
I-255,69,Cushion,Home Decor,3,891.89,2675.67,11-08-2024
I-256,62,Curtains,Home Decor,9,25.58,230.22,16-05-2024
I-257,82,Jeans,Clothing,1,413,413,22-08-2024
I-258,44,Milk,Groceries,8,634.97,5079.76,18-09-2024
I-259,59,Jeans,Clothing,7,69.53,486.71,22-07-2024
I-260,34,Football,Sports,7,585.96,4101.72,02-07-2024
I-261,11,Bicycle,Sports,3,497.79,1493.37,12-10-2024
I-262,70,Smartwatch,Electronics,5,675.81,3379.05,24-10-2024
I-263,37,Dress,Clothing,4,844,3376,21-02-2024
I-264,24,Tennis Racket,Sports,3,331.08,993.24,02-06-2024
I-265,94,Smartwatch,Electronics,4,987.78,3951.12,03-01-2024
I-266,85,Wall Art,Home Decor,1,796.52,796.52,05-12-2024
I-267,92,Fruits,Groceries,1,129.16,129.16,14-09-2024
I-268,19,Vase,Home Decor,5,31.86,159.3,28-09-2024
I-269,91,Eggs,Groceries,10,588.82,5888.2,23-05-2024
I-270,5,Fruits,Groceries,8,316.3,2530.4,17-05-2024
I-271,10,Headphones,Electronics,9,693.81,6244.29,30-01-2024
I-272,7,Dumbbells,Sports,2,340.59,681.18,07-12-2024
I-273,55,Jeans,Clothing,4,898.68,3594.72,11-02-2024
I-274,42,Jacket,Clothing,9,459.13,4132.17,17-12-2024
I-275,32,Jeans,Clothing,3,659.98,1979.94,25-05-2024
I-276,10,T-Shirt,Clothing,10,573.16,5731.6,28-07-2024
I-277,73,Fruits,Groceries,5,698.58,3492.9,01-01-2024
I-278,41,Curtains,Home Decor,1,256.26,256.26,25-02-2024
I-279,29,Rice,Groceries,7,131.59,921.13,04-06-2024
I-280,56,Bicycle,Sports,9,90.99,818.91,09-04-2024
I-281,49,Jeans,Clothing,3,664.9,1994.7,27-07-2024
I-282,3,Dumbbells,Sports,1,610.15,610.15,03-05-2024
I-283,60,Vase,Home Decor,2,978.11,1956.22,19-06-2024
I-284,73,Sneakers,Clothing,8,759.05,6072.4,07-06-2024
I-285,41,Lamp,Home Decor,8,819.91,6559.28,11-05-2024
I-286,85,Jeans,Clothing,10,400.66,4006.6,24-05-2024
I-287,80,Eggs,Groceries,9,241.78,2176.02,07-07-2024
I-288,37,Bicycle,Sports,5,807.73,4038.65,04-07-2024
I-289,44,Tablet,Electronics,4,561.72,2246.88,13-03-2024
I-290,93,Dumbbells,Sports,8,51.82,414.56,15-09-2024
I-291,49,Lamp,Home Decor,5,177.52,887.6,12-06-2024
I-292,5,Dumbbells,Sports,1,699.45,699.45,23-05-2024
I-293,53,Cushion,Home Decor,6,920.98,5525.88,22-11-2024
I-294,56,Eggs,Groceries,10,260.24,2602.4,10-09-2024
I-295,37,Milk,Groceries,4,728.61,2914.44,06-09-2024
I-296,73,Smartwatch,Electronics,2,672.77,1345.54,09-03-2024
I-297,19,Sneakers,Clothing,2,777.01,1554.02,22-01-2024
I-298,92,Wall Art,Home Decor,2,515.01,1030.02,28-06-2024
I-299,77,Bicycle,Sports,5,99.2,496,24-07-2024
I-300,49,Jeans,Clothing,2,17.69,35.38,15-05-2024
I-301,15,Smartwatch,Electronics,3,349.11,1047.33,18-11-2024
I-302,62,Jeans,Clothing,10,760.64,7606.4,18-09-2024
I-303,93,Yoga Mat,Sports,2,538.65,1077.3,01-05-2024
I-304,6,Jacket,Clothing,9,224.26,2018.34,20-09-2024
I-305,26,Eggs,Groceries,3,934.27,2802.81,08-04-2024
I-306,78,Jacket,Clothing,10,777.11,7771.1,20-08-2024
I-307,17,Bicycle,Sports,9,388.04,3492.36,16-02-2024
I-308,63,Dumbbells,Sports,7,762.87,5340.09,27-11-2024
I-309,31,Eggs,Groceries,3,746.13,2238.39,09-12-2024
I-310,73,Bread,Groceries,3,390.68,1172.04,28-03-2024
I-311,94,Eggs,Groceries,10,828.4,8284,11-08-2024
I-312,66,Jacket,Clothing,3,214.92,644.76,04-06-2024
I-313,37,Jeans,Clothing,8,967.96,7743.68,08-04-2024
I-314,46,Sneakers,Clothing,9,416.58,3749.22,02-09-2024
I-315,72,Fruits,Groceries,8,816.84,6534.72,13-04-2024
I-316,56,Smartwatch,Electronics,5,830.47,4152.35,03-12-2024
I-317,92,Jacket,Clothing,7,883.74,6186.18,18-09-2024
I-318,63,Smartwatch,Electronics,5,345.03,1725.15,02-06-2024
I-319,96,Yoga Mat,Sports,3,100.08,300.24,30-11-2024
I-320,19,Smartwatch,Electronics,9,221.28,1991.52,25-06-2024
I-321,35,Headphones,Electronics,3,402.96,1208.88,26-05-2024
I-322,36,Lamp,Home Decor,5,154.15,770.75,18-02-2024
I-323,39,Yoga Mat,Sports,4,406.98,1627.92,17-06-2024
I-324,61,Lamp,Home Decor,9,900.23,8102.07,03-02-2024
I-325,93,Jeans,Clothing,5,86.58,432.9,20-05-2024
I-326,61,Wall Art,Home Decor,1,400.55,400.55,06-01-2024
I-327,18,Laptop,Electronics,8,453.99,3631.92,07-09-2024
I-328,3,Jeans,Clothing,10,566.2,5662,16-07-2024
I-329,91,Football,Sports,7,914.43,6401.01,20-08-2024
I-330,30,Eggs,Groceries,7,603.19,4222.33,30-04-2024
I-331,6,Tablet,Electronics,8,588.37,4706.96,19-01-2024
I-332,82,Football,Sports,1,858.38,858.38,28-03-2024
I-333,24,Fruits,Groceries,10,30.66,306.6,02-07-2024
I-334,50,Bread,Groceries,7,803.73,5626.11,25-10-2024
I-335,95,Smartwatch,Electronics,10,269.12,2691.2,25-08-2024
I-336,52,Jeans,Clothing,5,291.96,1459.8,30-10-2024
I-337,98,Smartphone,Electronics,3,375.44,1126.32,25-11-2024
I-338,71,Dumbbells,Sports,4,279.65,1118.6,02-10-2024
I-339,97,Vase,Home Decor,6,585.85,3515.1,13-02-2024
I-340,74,Laptop,Electronics,4,309.64,1238.56,06-05-2024
I-341,5,Headphones,Electronics,6,316.68,1900.08,20-01-2024
I-342,71,Jeans,Clothing,5,177.08,885.4,23-02-2024
I-343,26,Sneakers,Clothing,6,669.54,4017.24,07-10-2024
I-344,75,Curtains,Home Decor,4,204.95,819.8,25-04-2024
I-345,87,Sneakers,Clothing,5,690.55,3452.75,03-01-2024
I-346,64,Vase,Home Decor,8,396.98,3175.84,05-01-2024
I-347,9,Sneakers,Clothing,7,372.38,2606.66,10-12-2024
I-348,67,Dumbbells,Sports,8,386.43,3091.44,01-11-2024
I-349,94,Eggs,Groceries,5,643.96,3219.8,21-12-2024
I-350,24,Tennis Racket,Sports,7,668.58,4680.06,28-04-2024
I-351,70,Rice,Groceries,7,656.59,4596.13,28-05-2024
I-352,45,Jacket,Clothing,5,782.6,3913,18-10-2024
I-353,27,Smartwatch,Electronics,6,150.93,905.58,17-10-2024
I-354,25,Curtains,Home Decor,6,103.88,623.28,16-03-2024
I-355,52,Fruits,Groceries,7,288.48,2019.36,06-01-2024
I-356,11,Yoga Mat,Sports,10,511.82,5118.2,18-11-2024
I-357,17,Smartwatch,Electronics,8,189.34,1514.72,05-04-2024
I-358,27,Curtains,Home Decor,9,15.99,143.91,01-12-2024
I-359,91,T-Shirt,Clothing,5,210.4,1052,16-06-2024
I-360,52,Eggs,Groceries,2,605.08,1210.16,27-12-2024
I-361,27,Yoga Mat,Sports,1,537.18,537.18,13-01-2024
I-362,71,Sneakers,Clothing,10,433.15,4331.5,18-05-2024
I-363,64,Curtains,Home Decor,8,925.55,7404.4,28-11-2024
I-364,19,Lamp,Home Decor,8,852.79,6822.32,29-04-2024
I-365,70,Smartphone,Electronics,1,654.5,654.5,28-05-2024
I-366,48,Laptop,Electronics,3,373.21,1119.63,13-10-2024
I-367,11,Jeans,Clothing,3,741.92,2225.76,12-05-2024
I-368,25,Milk,Groceries,5,592.46,2962.3,24-06-2024
I-369,30,Dress,Clothing,1,748.85,748.85,21-07-2024
I-370,33,Bread,Groceries,8,185.82,1486.56,29-01-2024
I-371,65,Yoga Mat,Sports,3,124.63,373.89,10-04-2024
I-372,92,Jeans,Clothing,5,67.68,338.4,27-05-2024
I-373,33,Lamp,Home Decor,1,711.31,711.31,09-09-2024
I-374,4,Headphones,Electronics,9,410.22,3691.98,29-12-2023
I-375,73,Jacket,Clothing,5,398.47,1992.35,20-09-2024
I-376,63,Rice,Groceries,3,136.73,410.19,24-07-2024
I-377,62,Headphones,Electronics,4,403.28,1613.12,22-08-2024
I-378,83,Wall Art,Home Decor,2,63.69,127.38,28-03-2024
I-379,75,Bread,Groceries,9,214.36,1929.24,17-11-2024
I-380,57,Laptop,Electronics,1,578.3,578.3,14-10-2024
I-381,35,Cushion,Home Decor,9,53.76,483.84,04-08-2024
I-382,72,Fruits,Groceries,8,705.81,5646.48,18-06-2024
I-383,19,Jeans,Clothing,1,993.77,993.77,20-03-2024
I-384,6,Dumbbells,Sports,5,413.02,2065.1,26-12-2024
I-385,46,Headphones,Electronics,5,850.88,4254.4,08-03-2024
I-386,84,Yoga Mat,Sports,7,529.05,3703.35,07-10-2024
I-387,8,Milk,Groceries,6,633.8,3802.8,27-01-2024
I-388,10,Dumbbells,Sports,9,71.51,643.59,28-04-2024
I-389,2,Milk,Groceries,7,871.56,6100.92,15-10-2024
I-390,13,Headphones,Electronics,2,460.45,920.9,29-08-2024
I-391,85,Jeans,Clothing,7,982.28,6875.96,18-08-2024
I-392,43,Bread,Groceries,7,746.41,5224.87,08-04-2024
I-393,58,Fruits,Groceries,1,600.02,600.02,29-02-2024
I-394,33,Fruits,Groceries,8,461.35,3690.8,23-09-2024
I-395,84,Wall Art,Home Decor,7,292.63,2048.41,15-03-2024
I-396,32,Dress,Clothing,4,671.05,2684.2,26-11-2024
I-397,85,Yoga Mat,Sports,6,181.41,1088.46,15-05-2024
I-398,27,Dumbbells,Sports,6,927.42,5564.52,05-03-2024
I-399,37,Bread,Groceries,5,848.19,4240.95,29-01-2024
I-400,3,Yoga Mat,Sports,3,651.92,1955.76,23-09-2024
I-401,87,Lamp,Home Decor,9,992.26,8930.34,20-03-2024
I-402,36,Jacket,Clothing,5,699.07,3495.35,06-05-2024
I-403,80,Fruits,Groceries,4,203.54,814.16,12-06-2024
I-404,80,Bicycle,Sports,10,828.74,8287.4,12-05-2024
I-405,38,Cushion,Home Decor,2,39.1,78.2,10-03-2024
I-406,46,T-Shirt,Clothing,9,681.82,6136.38,28-09-2024
I-407,43,Dumbbells,Sports,4,849.37,3397.48,19-08-2024
I-408,35,Bicycle,Sports,9,430.19,3871.71,07-05-2024
I-409,100,Cushion,Home Decor,7,269.85,1888.95,07-01-2024
I-410,53,Wall Art,Home Decor,10,436.86,4368.6,29-02-2024
