Brand,Year,Fuel,Transmission,Engine,Max_Power,Torque,Seats,Mileage,KM_Driven,Owner,Seller_Type,Selling_Price
Mercedes-Benz B Class B180,2014,Diesel,Automatic,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5,14.8 kmpl,27800,Second Owner,Dealer,1450000
Honda Amaze S Diesel,2015,Diesel,Manual,1498 CC,98.63 bhp,200Nm@ 1750rpm,5,24.7 kmpl,49800,First Owner,Dealer,425000
Mitsubishi Pajero Sport 4X4,2013,Diesel,Manual,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7,13.5 kmpl,151000,First Owner,Dealer,1090000
Honda City i DTEC S,2015,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,26.0 kmpl,54700,First Owner,Dealer,600000
Maruti Ciaz Zeta,2018,Petrol,Manual,1462 CC,103.25 bhp,138Nm@ 4400rpm,5,20.65 kmpl,64000,First Owner,Dealer,850000
Honda Jazz VX Diesel,2015,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,27.3 kmpl,63000,First Owner,Dealer,525000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,Diesel,Automatic,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,11.36 kmpl,127700,Second Owner,Dealer,1650000
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7,12.99 kmpl,99000,First Owner,Dealer,950000
Audi A6 2.0 TDI Technology,2013,Diesel,Automatic,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5,17.68 kmpl,33900,Second Owner,Dealer,1750000
Toyota Corolla Altis 1.8 VL CVT,2018,Petrol,Automatic,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,14.28 kmpl,25000,First Owner,Dealer,1590000
Audi A6 2.0 TDI  Design Edition,2013,Diesel,Automatic,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5,18.53 kmpl,50000,First Owner,Dealer,1689999
Mercedes-Benz New C-Class 220 CDI AT,2013,Diesel,Automatic,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5,14.84 kmpl,59000,First Owner,Dealer,1425000
Tata Manza ELAN Quadrajet BS IV,2011,Diesel,Manual,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5,21.12 kmpl,120000,First Owner,Individual,265000
Hyundai i10 Magna,2011,Petrol,Manual,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,20.36 kmpl,110000,Third Owner,Individual,190000
Hyundai i20 Asta 1.4 CRDi,2013,Diesel,Manual,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,21.27 kmpl,60000,First Owner,Individual,425000
Maruti Swift Dzire ZDI,2015,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.59 kmpl,147000,Second Owner,Individual,630000
Ford Figo 1.2P Titanium MT,2017,Petrol,Manual,1196 CC,86.8 bhp,112Nm@ 4000rpm,5,18.16 kmpl,25000,Third Owner,Individual,600000
Maruti Baleno Delta 1.2,2019,Petrol,Manual,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,21.4 kmpl,30000,First Owner,Individual,650000
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,Diesel,Manual,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm,5,22.0 kmpl,40000,First Owner,Individual,540000
Honda City i DTEC VX,2015,Diesel,Manual,1498 CC,98.6 bhp,200Nm@ 1750rpm,5,25.1 kmpl,135000,First Owner,Individual,630000
Maruti Wagon R AMT VXI,2018,Petrol,Automatic,998 CC,67 bhp,90Nm@ 3500rpm,5,20.51 kmpl,30000,First Owner,Individual,448000
Volkswagen Ameo 1.5 TDI Comfortline,2017,Diesel,Manual,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5,21.66 kmpl,80000,First Owner,Individual,500000
Maruti Vitara Brezza VDi,2016,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,24.3 kmpl,70000,First Owner,Individual,745000
Maruti Vitara Brezza ZDi Plus AMT,2019,Diesel,Automatic,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,24.3 kmpl,9850,First Owner,Individual,1025000
Hyundai i10 Magna,2011,Petrol,Manual,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5,20.36 kmpl,60000,Second Owner,Individual,235000
Maruti Swift VDI Deca,2016,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,25.2 kmpl,70000,First Owner,Individual,630000
Toyota Fortuner 4x4 MT,2015,Diesel,Manual,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7,12.55 kmpl,78000,Second Owner,Individual,1700000
Maruti Swift Star VDI,2013,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,22.9 kmpl,120000,Second Owner,Individual,450000
Maruti Ertiga ZXI,2012,Petrol,Manual,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,16.02 kmpl,120000,Second Owner,Individual,450000
Tata Indica DLS,2003,Diesel,Manual,,,,,,70000,First Owner,Individual,50000
Volkswagen Vento Diesel Highline,2013,Diesel,Manual,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5,20.54 kmpl,170000,First Owner,Individual,450000
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,Diesel,Manual,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8,12.99 kmpl,140000,First Owner,Individual,1200000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,Diesel,Manual,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5,22.77 kmpl,90000,First Owner,Individual,610000
BMW X1 sDrive20i xLine,2016,Petrol,Automatic,1998 CC,189 bhp,280Nm@ 1350-4600rpm,5,15.71 kmpl,30000,Second Owner,Individual,2500000
Maruti Celerio ZXI MT BSIV,2017,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,23.1 kmpl,10000,First Owner,Dealer,484999
Datsun GO A Petrol,2016,Petrol,Manual,1198 CC,67.05 bhp,104Nm@ 4000rpm,5,19.02 kmpl,49000,First Owner,Dealer,275000
Maruti Alto 800 VXI BSIV,2016,Petrol,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,24.7 kmpl,32000,First Owner,Dealer,315000
Maruti Alto 800 LXI BSIV,2016,Petrol,Manual,796 CC,47.3 bhp,69Nm@ 3500rpm,5,24.7 kmpl,38000,First Owner,Dealer,275000
Maruti Swift VDI BSIV W ABS,2015,Diesel,Manual,,,,,,78000,First Owner,Dealer,475000
Hyundai i10 Era 1.1,2012,Petrol,Manual,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,19.81 kmpl,28000,First Owner,Dealer,290000
Maruti Omni 8 Seater BSIV,2017,Petrol,Manual,796 CC,35 bhp,6.1kgm@ 3000rpm,5,14.0 kmpl,32000,First Owner,Dealer,280000
Maruti Wagon R LXI LPG BSIV,2010,LPG,Manual,998 CC,58.2 bhp,77Nm@ 3500rpm,5,26.2 km/kg,44000,First Owner,Dealer,225000
Volkswagen Polo 1.2 MPI Comfortline,2015,Petrol,Manual,1198 CC,74 bhp,110Nm@ 3750rpm,5,16.47 kmpl,42000,First Owner,Dealer,455000
Hyundai i10 Magna 1.1L,2015,Petrol,Manual,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5,19.81 kmpl,45000,Second Owner,Dealer,351000
Volkswagen Vento Petrol Highline,2012,Petrol,Manual,1598 CC,103.6 bhp,153Nm@ 3800rpm,5,15.04 kmpl,12000,Second Owner,Dealer,535000
Maruti Zen Estilo LXI BSIII,2009,Petrol,Manual,998 CC,67.1 bhp,90Nm@ 3500rpm,5,18.2 kmpl,55500,First Owner,Dealer,175000
Hyundai i20 Asta Optional with Sunroof 1.2,2013,Petrol,Manual,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5,18.5 kmpl,61500,First Owner,Dealer,525000
Maruti Swift Dzire LDI,2016,Diesel,Manual,1248 CC,74 bhp,190Nm@ 2000rpm,5,26.59 kmpl,150000,First Owner,Individual,600000
Hyundai Xcent 1.2 Kappa SX Option AT,2016,Petrol,Automatic,1197 CC,82 bhp,114Nm@ 4000rpm,5,19.1 kmpl,72000,First Owner,Dealer,565000
Maruti Alto LX BSIII,2008,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,68000,Third Owner,Dealer,120000
Hyundai i20 1.4 Asta Option,2017,Diesel,Manual,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5,22.54 kmpl,110000,First Owner,Individual,725000
Maruti Wagon R VXI,2009,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,21.79 kmpl,77000,Second Owner,Dealer,185000
Tata Manza Aura (ABS) Quadrajet,2010,Diesel,Manual,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5,18.8 kmpl,100000,Second Owner,Individual,200000
Maruti Swift VXI,2019,Petrol,Manual,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,21.21 kmpl,10000,First Owner,Individual,615000
Maruti Eeco 7 Seater Standard BSIV,2016,Petrol,Manual,1196 CC,73 bhp,101Nm@ 3000rpm,7,15.37 kmpl,100000,Third Owner,Individual,270000
Maruti Baleno Zeta 1.2,2018,Petrol,Manual,1197 CC,83.1 bhp,115Nm@ 4000rpm,5,21.4 kmpl,35000,First Owner,Individual,610000
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,Diesel,Automatic,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8,11.79 kmpl,70000,Second Owner,Individual,625000
Ford Freestyle Titanium Petrol BSIV,2020,Petrol,Manual,1194 CC,94.68 bhp,120Nm@ 4250rpm,5,19.0 kmpl,5000,Second Owner,Individual,400000
Hyundai Verna VTVT 1.6 SX,2017,Petrol,Manual,1591 CC,121.3 bhp,151Nm@ 4850rpm,5,17.0 kmpl,37800,First Owner,Individual,866000
Volkswagen Passat 1.8 TSI MT,2010,Petrol,Manual,1798 CC,160 bhp,250Nm@ 1500~4500rpm,5,14.3 kmpl,114000,First Owner,Individual,700000
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,Petrol,Manual,1172 CC,65 bhp,96 Nm at 3000 rpm,5,15.8 kmpl,48000,First Owner,Individual,300000
Mahindra XUV500 W11 Option AWD,2019,Diesel,Manual,2179 CC,155 bhp,360Nm@ 1750-2800rpm,7,15.1 kmpl,32000,First Owner,Individual,1700000
Tata Indigo CS LS (TDI) BS-III,2016,Diesel,Manual,1405 CC,69.01 bhp,135Nm@ 2500rpm,5,19.09 kmpl,100000,First Owner,Individual,375000
Hyundai Verna 1.6 SX,2013,Diesel,Manual,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5,22.32 kmpl,150000,Second Owner,Individual,522000
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,Diesel,Manual,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5,21.9 kmpl,69000,First Owner,Individual,451999
Toyota Corolla Altis G,2009,Petrol,Manual,1798 CC,138.1 bhp,173Nm@ 4000rpm,5,14.53 kmpl,100000,Second Owner,Individual,300000
Maruti Celerio VXI,2020,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,21.63 kmpl,13000,First Owner,Individual,475000
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,24.3 kmpl,60000,First Owner,Individual,780000
Maruti Swift Dzire VXI,2017,Petrol,Manual,1197 CC,83.14 bhp,115Nm@ 4000rpm,5,20.85 kmpl,40000,First Owner,Individual,595000
Maruti Wagon R VXI BS IV,2017,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,20.51 kmpl,35000,First Owner,Individual,440000
Maruti Swift VDI BSIV,2010,Diesel,Manual,,,,,,120000,Second Owner,Individual,300000
Nissan Terrano XL 85 PS,2014,Diesel,Manual,1461 CC,83.8 bhp,200Nm@ 1900rpm,5,20.45 kmpl,70000,Third Owner,Individual,400000
Hyundai Creta 1.6 CRDi SX,2016,Diesel,Manual,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5,19.67 kmpl,50000,First Owner,Individual,1140000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,Diesel,Manual,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5,23.0 kmpl,76139,First Owner,Individual,850000
Maruti Swift Dzire VDi,2012,Diesel,Manual,1248 CC,73.9 bhp,190Nm@ 2000rpm,5,19.3 kmpl,175000,Fourth & Above Owner,Individual,370000
Renault KWID 1.0,2018,Petrol,Manual,999 CC,67 bhp,91Nm@ 4250rpm,5,23.01 kmpl,25000,First Owner,Individual,350000
Maruti Celerio VXI,2015,Petrol,Manual,998 CC,67.04 bhp,90Nm@ 3500rpm,5,23.1 kmpl,40000,Second Owner,Individual,360000
Maruti Alto LXi,2008,Petrol,Manual,796 CC,46.3 bhp,62Nm@ 3000rpm,5,19.7 kmpl,65000,Fourth & Above Owner,Individual,105000
Maruti Ertiga VDI,2013,Diesel,Manual,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,20.77 kmpl,90000,Second Owner,Individual,625000
Hyundai Santro Xing GLS,2009,Petrol,Manual,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5,17.92 kmpl,80000,Second Owner,Individual,135000
Maruti Ertiga VDI,2015,Diesel,Manual,1248 CC,88.76 bhp,200Nm@ 1750rpm,7,20.77 kmpl,110000,Second Owner,Individual,700000
Honda Amaze S i-VTEC,2019,Petrol,Manual,1198 CC,86.7 bhp,109Nm@ 4500rpm,5,17.8 kmpl,1303,First Owner,Dealer,690000
Audi Q5 35TDI Premium Plus,2018,Diesel,Automatic,1968 CC,188 bhp,400nm@ 1750-3000rpm,5,17.01 kmpl,31800,First Owner,Dealer,3975000
Lexus ES 300h,2019,Petrol,Automatic,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5,22.37 kmpl,20000,First Owner,Dealer,5150000
Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,19.33 kmpl,45000,First Owner,Dealer,3200000
Jeep Wrangler 2016-2019 3.6 4X4,2017,Petrol,Automatic,3604 CC,280 bhp,347Nm@ 4300rpm,5,9.5 kmpl,17000,First Owner,Individual,4100000
Land Rover Discovery Sport TD4 SE,2019,Diesel,Automatic,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7,12.83 kmpl,21000,First Owner,Dealer,4500000
Mercedes-Benz S-Class S 350 CDI,2017,Diesel,Automatic,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5,13.5 kmpl,37000,First Owner,Dealer,6000000
BMW 5 Series 520d Sport Line,2018,Diesel,Automatic,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5,22.48 kmpl,29500,First Owner,Dealer,3790000
BMW X1 sDrive 20D xLine,2017,Diesel,Automatic,,,,,,27000,First Owner,Dealer,2150000
BMW X4 M Sport X xDrive20d,2019,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,16.78 kmpl,7500,First Owner,Dealer,5800000
Skoda Superb LK 1.8 TSI AT,2018,Petrol,Automatic,1798 CC,177.46 bhp,250@ 1250-5000rpm,5,14.67 kmpl,50000,First Owner,Dealer,1864999
Mercedes-Benz E-Class E250 Edition E,2016,Diesel,Automatic,2143 CC,204 bhp,500Nm@ 1600-1800rpm,5,15.0 kmpl,35000,First Owner,Dealer,2700000
MG Hector Sharp AT BSIV,2019,Petrol,Automatic,1451 CC,141 bhp,250Nm@ 1600-3600rpm,5,13.96 kmpl,19000,First Owner,Dealer,1750000
Honda City i-VTEC CVT VX,2017,Petrol,Automatic,1497 CC,117.6 bhp,145Nm@ 4600rpm,5,18.0 kmpl,41000,First Owner,Dealer,795000
Toyota Corolla Altis 1.8 G CVT,2013,Petrol,Automatic,1798 CC,138.03 bhp,173Nm@ 4000rpm,5,14.28 kmpl,39000,First Owner,Dealer,625000
Volvo XC40 D4 R-Design,2018,Diesel,Automatic,1969 CC,190 bhp,400Nm,5,18.0 kmpl,22000,First Owner,Dealer,3400000
Audi Q7 35 TDI Quattro Premium,2015,Diesel,Automatic,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7,12.07 kmpl,53000,First Owner,Dealer,2650000
Maruti Ciaz ZDi,2015,Diesel,Manual,1248 CC,88.5 bhp,200Nm@ 1750rpm,5,26.21 kmpl,40000,First Owner,Dealer,535000
Mercedes-Benz S-Class S 350 CDI,2017,Diesel,Automatic,2987 CC,282 bhp,490Nm@ 1600rpm,5,13.5 kmpl,47000,First Owner,Dealer,5850000
BMW 5 Series 523i,2010,Petrol,Automatic,2497 CC,150 bhp,250 Nm at 2750 rpm,5,10.8 kmpl,72200,Second Owner,Dealer,975000
Hyundai Elantra S,2016,Petrol,Manual,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5,16.3 kmpl,49900,First Owner,Dealer,805000
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,Diesel,Automatic,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5,13.6 kmpl,9000,First Owner,Dealer,2625000
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,Petrol,Manual,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5,17.0 kmpl,11000,First Owner,Dealer,811000
Volkswagen Vento Petrol Highline,2011,Petrol,Manual,1598 CC,103.6 bhp,153Nm@ 3800rpm,5,15.04 kmpl,49000,First Owner,Individual,375000
Hyundai Elantra SX,2012,Petrol,Manual,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5,16.3 kmpl,95000,First Owner,Individual,550000
Skoda Rapid 1.6 MPI AT Elegance,2016,Petrol,Automatic,1598 CC,103.5 bhp,153Nm@ 3800rpm,5,14.3 kmpl,11000,First Owner,Dealer,645000
Mercedes-Benz CLA 200 CGI Sport,2018,Petrol,Automatic,1991 CC,183 bhp,300Nm@ 1200-4000rpm,5,15.04 kmpl,18000,First Owner,Dealer,2550000
Maruti Ertiga ZXI,2014,Petrol,Manual,1373 CC,93.7 bhp,130Nm@ 4000rpm,7,16.02 kmpl,46100,First Owner,Dealer,599000
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,Petrol,Automatic,1991 CC,181.04 bhp,300Nm@ 1200-1400rpm,5,14.74 kmpl,16000,First Owner,Dealer,2700000
Honda City V AT,2017,Petrol,Automatic,1497 CC,116.3 bhp,146Nm@ 4800rpm,5,15.6 kmpl,18000,First Owner,Dealer,875000
Toyota Glanza V CVT,2019,Petrol,Automatic,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,19.56 kmpl,9654,First Owner,Dealer,894999
Maruti Alto K10 VXI,2011,Petrol,Manual,998 CC,67.05 bhp,90Nm@ 3500rpm,5,23.95 kmpl,11000,First Owner,Dealer,175000
Maruti Swift VXI,2012,Petrol,Manual,1197 CC,81.80 bhp,113Nm@ 4200rpm,5,21.21 kmpl,24300,First Owner,Dealer,340000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,Diesel,Automatic,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7,11.36 kmpl,42163,Second Owner,Dealer,1525000
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,Diesel,Automatic,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm,5,21.5 kmpl,8000,First Owner,Dealer,1025000
BMW 3 Series 320d Luxury Line,2016,Diesel,Automatic,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5,22.69 kmpl,30000,First Owner,Dealer,2150000
