X1,X2,X3,X4,X5,X6,X7,X8,default
41.5,0,105,64,0.173,41,142,22,0
0,2,84,0,0.304,0,0,21,0
32.9,8,133,72,0.27,0,0,39,1
25,5,44,62,0.587,0,0,36,0
25.4,2,141,58,0.699,34,128,24,0
32.8,7,114,66,0.258,0,0,42,1
29,5,99,74,0.203,27,0,32,0
32.5,0,109,88,0.855,30,0,38,1
42.7,2,109,92,0.845,0,0,54,0
19.6,1,95,66,0.334,13,38,25,0
28.9,4,146,85,0.189,27,100,27,0
32.9,2,100,66,0.867,20,90,28,1
28.6,5,139,64,0.411,35,140,26,0
43.4,13,126,90,0.583,0,0,42,1
35.1,4,129,86,0.231,20,270,23,0
32,1,79,75,0.396,30,0,22,0
24.7,1,0,48,0.14,20,0,22,0
32.6,7,62,78,0.391,0,0,41,0
37.7,5,95,72,0.37,33,0,27,0
43.2,0,131,0,0.27,0,0,26,1
25,2,112,66,0.307,22,0,24,0
22.4,3,113,44,0.14,13,0,22,0
0,2,74,0,0.102,0,0,22,0
29.3,7,83,78,0.767,26,71,36,0
24.6,0,101,65,0.237,28,0,22,0
48.8,5,137,108,0.227,0,0,37,1
32.4,2,110,74,0.698,29,125,27,0
36.6,13,106,72,0.178,54,0,45,0
38.5,2,100,68,0.324,25,71,26,0
37.1,15,136,70,0.153,32,110,43,1
26.5,1,107,68,0.165,19,0,24,0
19.1,1,80,55,0.258,0,0,21,0
32,4,123,80,0.443,15,176,34,0
46.7,7,81,78,0.261,40,48,42,0
23.8,4,134,72,0.277,0,0,60,1
24.7,2,142,82,0.761,18,64,21,0
33.9,6,144,72,0.255,27,228,40,0
31.6,2,92,62,0.13,28,0,24,0
20.4,1,71,48,0.323,18,76,22,0
28.7,6,93,50,0.356,30,64,23,0
49.7,1,122,90,0.325,51,220,31,1
39,1,163,72,1.222,0,0,33,1
26.1,1,151,60,0.179,0,0,22,0
22.5,0,125,96,0.262,0,0,21,0
26.6,1,81,72,0.283,18,40,24,0
39.6,2,85,65,0.93,0,0,27,0
28.7,1,126,56,0.801,29,152,21,0
22.4,1,96,122,0.207,0,0,27,0
29.5,4,144,58,0.287,28,140,37,0
34.3,3,83,58,0.336,31,18,25,0
37.4,0,95,85,0.247,25,36,24,1
33.3,3,171,72,0.199,33,135,24,1
34,8,155,62,0.543,26,495,46,1
31.2,1,89,76,0.192,34,37,23,0
34,4,76,62,0.391,0,0,25,0
30.5,7,160,54,0.588,32,175,39,1
31.2,4,146,92,0.539,0,0,61,1
34,5,124,74,0.22,0,0,38,1
33.7,5,78,48,0.654,0,0,25,0
28.2,4,97,60,0.443,23,0,22,0
23.2,4,99,76,0.223,15,51,21,0
53.2,0,162,76,0.759,56,100,25,1
34.2,6,111,64,0.26,39,0,24,0
33.6,2,107,74,0.404,30,100,23,0
26.8,5,132,80,0.186,0,0,69,0
33.3,0,113,76,0.278,0,0,23,1
55,1,88,30,0.496,42,99,26,1
42.9,3,120,70,0.452,30,135,30,0
33.3,1,118,58,0.261,36,94,23,0
34.5,1,117,88,0.403,24,145,40,1
27.9,0,105,84,0.741,0,0,62,1
29.7,4,173,70,0.361,14,168,33,1
33.3,9,122,56,1.114,0,0,33,1
34.5,3,170,64,0.356,37,225,30,1
38.3,8,84,74,0.457,31,0,39,0
21.1,2,96,68,0.647,13,49,26,0
33.8,2,125,60,0.088,20,140,31,0
30.8,0,100,70,0.597,26,50,21,0
28.7,0,93,60,0.532,25,92,22,0
31.2,0,129,80,0.703,0,0,29,0
36.9,5,105,72,0.159,29,325,28,0
21.1,3,128,78,0.268,0,0,55,0
39.5,5,106,82,0.286,30,0,38,0
32.5,2,108,52,0.318,26,63,22,0
32.4,10,108,66,0.272,0,0,42,1
32.8,4,154,62,0.237,31,284,23,0
0,0,102,75,0.572,23,0,21,0
32.8,9,57,80,0.096,37,0,41,0
30.5,2,106,64,1.4,35,119,34,0
33.7,5,147,78,0.218,0,0,65,0
27.3,2,90,70,0.085,17,0,22,0
37.4,1,136,74,0.399,50,204,24,0
21.9,4,114,65,0.432,0,0,37,0
34.3,9,156,86,1.189,28,155,42,1
40.6,1,153,82,0.687,42,485,23,0
47.9,8,188,78,0.137,0,0,43,1
50,7,152,88,0.337,44,0,36,1
24.6,2,99,52,0.637,15,94,21,0
25.2,1,109,56,0.833,21,135,23,0
29,2,88,74,0.229,19,53,22,0
40.9,17,163,72,0.817,41,114,47,1
29.7,4,151,90,0.294,38,0,36,0
37.2,7,102,74,0.204,40,105,45,0
44.2,0,114,80,0.167,34,285,27,0
29.7,2,100,64,0.368,23,0,21,0
31.6,0,131,88,0.743,0,0,32,1
29.9,6,104,74,0.722,18,156,41,1
32.5,3,148,66,0.256,25,0,22,0
29.6,4,120,68,0.709,0,0,34,0
31.9,4,110,66,0.471,0,0,29,0
28.4,3,111,90,0.495,12,78,29,0
30.8,6,102,82,0.18,0,0,36,1
35.4,6,134,70,0.542,23,130,29,1
28.9,2,87,0,0.773,23,0,25,0
43.5,1,79,60,0.678,42,48,23,0
29.7,2,75,64,0.37,24,55,33,0
32.7,8,179,72,0.719,42,130,36,1
31.2,6,85,78,0.382,0,0,42,0
67.1,0,129,110,0.319,46,130,26,1
45,5,143,78,0.19,0,0,47,0
39.1,5,130,82,0.956,0,0,37,1
23.2,6,87,80,0.084,0,0,32,0
34.9,0,119,64,0.725,18,92,23,0
27.7,1,0,74,0.299,20,23,21,0
26.8,5,73,60,0.268,0,0,27,0
27.6,4,141,74,0.244,0,0,40,0
35.9,7,194,68,0.745,28,0,41,1
30.1,8,181,68,0.615,36,495,60,1
32,1,128,98,1.321,41,58,33,1
27.9,8,109,76,0.64,39,114,31,1
31.6,5,139,80,0.361,35,160,25,1
22.6,3,111,62,0.142,0,0,21,0
33.1,9,123,70,0.374,44,94,40,0
30.4,7,159,66,0.383,0,0,36,1
52.3,11,135,0,0.578,0,0,40,1
24.4,8,85,55,0.136,20,0,42,0
39.4,5,158,84,0.395,41,210,29,1
24.3,1,105,58,0.187,0,0,21,0
22.9,3,107,62,0.678,13,48,23,1
34.8,4,109,64,0.905,44,99,26,1
30.9,4,148,60,0.15,27,318,29,1
31,0,113,80,0.874,16,0,21,0
30,6,125,68,0.464,30,120,32,0
29,5,85,74,1.224,22,0,32,1
37.8,5,112,66,0.261,0,0,41,1
34.6,0,177,60,1.072,29,478,21,1
31.6,2,158,90,0.805,0,0,66,1
25.2,7,119,0,0.209,0,0,37,0
28.8,7,142,60,0.687,33,190,61,0
23.6,1,100,66,0.666,15,56,26,0
34.6,1,87,78,0.101,27,32,22,0
35.7,0,101,76,0.198,0,0,26,0
37.2,3,162,52,0.652,38,0,24,1
36.7,4,197,70,2.329,39,744,31,0
45.2,0,117,80,0.089,31,53,24,0
44,4,142,86,0.645,0,0,22,1
46.2,6,134,80,0.238,37,370,46,1
25.4,1,79,80,0.583,25,37,22,0
35,4,122,68,0.394,0,0,29,0
29.7,3,74,68,0.293,28,45,23,0
43.6,4,171,72,0.479,0,0,26,1
35.9,7,181,84,0.586,21,192,51,1
44.1,0,179,90,0.686,27,0,23,1
30.8,9,164,84,0.831,21,0,32,1
18.4,0,104,76,0.582,0,0,27,0
29.2,1,91,64,0.192,24,0,21,0
33.1,4,91,70,0.446,32,88,22,0
25.6,3,139,54,0.402,0,0,22,1
27.1,6,119,50,1.318,22,176,33,1
38.2,2,146,76,0.329,35,194,29,0
30,9,184,85,1.213,15,0,49,1
31.2,10,122,68,0.258,0,0,41,0
52.3,0,165,90,0.427,33,680,23,0
35.4,9,124,70,0.282,33,402,34,0
30.1,1,111,86,0.143,19,0,23,0
31.2,9,106,52,0.38,0,0,42,0
28,2,129,84,0.284,0,0,27,0
24.4,2,90,80,0.249,14,55,24,0
35.8,0,86,68,0.238,32,0,25,0
27.6,12,92,62,0.926,7,258,44,1
33.6,1,113,64,0.543,35,0,21,1
30.1,3,111,56,0.557,39,0,30,0
28.7,2,114,68,0.092,22,0,25,0
25.9,1,193,50,0.655,16,375,24,0
33.3,11,155,76,1.353,28,150,51,1
30.9,3,191,68,0.299,15,130,34,0
30,3,141,0,0.761,0,0,27,1
32.1,4,95,70,0.612,32,0,24,0
32.4,3,142,80,0.2,15,0,63,0
32,4,123,62,0.226,0,0,35,1
33.6,5,96,74,0.997,18,67,43,0
36.3,0,138,0,0.933,0,0,25,1
40,2,128,64,1.101,42,0,24,0
25.1,0,102,52,0.078,0,0,21,0
27.5,2,146,0,0.24,0,0,28,1
45.6,10,101,86,1.136,37,0,38,1
25.2,2,108,62,0.128,32,56,21,0
23,3,122,78,0.254,0,0,40,0
33.2,1,71,78,0.422,50,45,21,0
34.2,13,106,70,0.251,0,0,52,0
40.5,2,100,70,0.677,52,57,25,0
26.5,7,106,60,0.296,24,0,29,1
27.8,0,104,64,0.454,23,116,23,0
24.9,5,114,74,0.744,0,0,57,0
25.3,2,108,62,0.881,10,278,22,0
37.9,0,146,70,0.334,0,0,28,1
35.9,10,129,76,0.28,28,122,39,0
32.4,7,133,88,0.262,15,155,37,0
30.4,7,161,86,0.165,0,0,47,1
27,2,108,80,0.259,0,0,52,1
26,7,136,74,0.647,26,135,51,0
38.7,5,155,84,0.619,44,545,34,0
45.6,1,119,86,0.808,39,220,29,1
20.8,4,96,56,0.34,17,49,26,0
36.1,5,108,72,0.263,43,75,33,0
36.9,0,78,88,0.434,29,40,21,0
36.6,0,107,62,0.757,30,74,25,1
43.3,2,128,78,1.224,37,182,31,1
40.5,1,128,48,0.613,45,194,24,1
21.9,0,161,50,0.254,0,0,65,0
35.5,6,151,62,0.692,31,120,28,0
28,2,146,70,0.337,38,360,29,1
30.7,0,126,84,0.52,29,215,24,0
36.6,14,100,78,0.412,25,184,46,1
23.6,8,112,72,0.84,0,0,58,0
32.3,0,167,0,0.839,0,0,30,1
31.6,2,144,58,0.422,33,135,25,1
35.8,5,77,82,0.156,41,42,35,0
52.9,5,115,98,0.209,0,0,28,1
21,3,150,76,0.207,0,0,37,0
39.7,2,120,76,0.215,37,105,29,0
25.5,10,161,68,0.326,23,132,47,1
24.8,0,137,68,0.143,14,148,21,0
30.5,0,128,68,1.391,19,180,25,1
32.9,2,124,68,0.875,28,205,30,1
26.2,6,80,66,0.313,30,0,41,0
39.4,0,106,70,0.605,37,148,22,0
26.6,2,155,74,0.433,17,96,27,1
29.5,3,113,50,0.626,10,85,25,0
35.9,7,109,80,1.127,31,0,43,1
34.1,2,112,68,0.315,22,94,26,0
19.3,3,99,80,0.284,11,64,30,0
30.5,3,182,74,0.345,0,0,29,1
38.1,3,115,66,0.15,39,140,28,0
23.5,6,194,78,0.129,0,0,59,1
27.5,4,129,60,0.527,12,231,31,0
31.6,3,112,74,0.197,30,0,25,1
27.4,0,124,70,0.254,20,0,36,1
26.8,13,152,90,0.731,33,29,43,1
35.7,2,112,75,0.148,32,0,21,0
25.6,1,157,72,0.123,21,168,24,0
35.1,1,122,64,0.692,32,156,30,1
35.1,10,179,70,0.2,0,0,37,0
45.5,2,102,86,0.127,36,120,23,1
30.8,6,105,70,0.122,32,68,37,0
23.1,8,118,72,1.476,19,0,46,0
32.7,2,87,58,0.166,16,52,25,0
43.3,1,180,0,0.282,0,0,41,1
23.6,12,106,80,0.137,0,0,44,0
23.9,1,95,60,0.26,18,58,22,0
47.9,0,165,76,0.259,43,255,26,0
33.8,0,117,0,0.932,0,0,44,0
31.2,5,115,76,0.343,0,0,44,1
34.2,9,152,78,0.893,34,171,33,1
39.9,7,178,84,0.331,0,0,41,1
25.9,1,130,70,0.472,13,105,22,0
25.9,1,95,74,0.673,21,73,36,0
32,1,0,68,0.389,35,0,22,0
34.7,5,122,86,0.29,0,0,33,0
36.8,8,95,72,0.485,0,0,57,0
38.5,8,126,88,0.349,36,108,49,0
28.7,1,139,46,0.654,19,83,22,0
23.5,3,116,0,0.187,0,0,23,0
21.8,3,99,62,0.279,19,74,26,0
41,5,0,80,0.346,32,0,37,1
42.2,4,92,80,0.237,0,0,29,0
31.2,4,137,84,0.252,0,0,30,0
34.4,3,61,82,0.243,28,0,46,0
27.2,1,90,62,0.58,12,43,24,0
42.7,3,90,78,0.559,0,0,21,0
30.4,9,165,88,0.302,0,0,49,1
33.3,1,125,50,0.962,40,167,28,1
39.9,13,129,0,0.569,30,0,44,1
35.3,12,88,74,0.378,40,54,48,0
36.5,1,196,76,0.875,36,249,29,1
31.2,5,189,64,0.583,33,325,29,1
29.8,5,158,70,0.207,0,0,63,0
39.2,5,103,108,0.305,37,0,65,0
38.5,4,146,78,0.52,0,0,67,1
34.9,4,147,74,0.385,25,293,30,0
34,5,99,54,0.499,28,83,30,0
27.6,6,124,72,0.368,0,0,29,1
21,0,101,64,0.252,17,0,21,0
27.5,3,81,86,0.306,16,66,22,0
32.8,1,133,102,0.234,28,140,45,1
38.4,3,173,82,2.137,48,465,25,1
0,0,118,64,1.731,23,89,21,0
35.8,0,84,64,0.545,22,66,21,0
34.9,2,105,58,0.225,40,94,25,0
36.2,2,122,52,0.816,43,158,28,0
39.2,12,140,82,0.528,43,325,58,1
25.2,0,98,82,0.299,15,84,22,0
37.2,1,87,60,0.509,37,75,22,0
48.3,4,156,75,0.238,0,0,32,1
43.4,0,93,100,1.021,39,72,35,0
30.8,1,107,72,0.821,30,82,24,0
20,0,105,68,0.236,22,0,22,0
25.4,1,109,60,0.947,8,182,21,0
25.1,1,90,62,1.268,18,59,25,0
24.3,1,125,70,0.221,24,110,25,0
22.3,1,119,54,0.205,13,50,24,0
32.3,5,116,74,0.66,29,0,35,1
43.3,8,105,100,0.239,36,0,45,1
40.1,1,138,82,0.236,0,0,28,0
27.3,0,108,68,0.787,20,0,32,0
20.4,2,99,70,0.235,16,44,27,0
37.7,6,103,72,0.324,32,190,55,0
23.9,5,111,72,0.407,28,0,27,0
37.5,8,196,76,0.605,29,280,57,1
37.7,5,162,104,0.151,0,0,52,1
33.2,1,96,64,0.289,27,87,21,0
35.5,7,184,84,0.355,33,0,41,1
27.7,2,81,60,0.29,22,0,25,0
42.8,0,147,85,0.375,54,0,24,0
34.2,7,179,95,0.164,31,0,60,0
42.6,0,140,65,0.431,26,130,24,1
34.2,9,112,82,0.26,32,175,36,1
41.8,12,151,70,0.742,40,271,38,1
35.8,5,109,62,0.514,41,129,25,1
32,5,144,82,0.452,26,285,58,1
31.6,3,100,68,0.949,23,81,28,0
32,1,100,66,0.444,29,196,42,0
45.7,5,166,76,0.34,0,0,27,1
23.7,1,131,64,0.389,14,415,21,0
22.1,4,116,72,0.463,12,87,37,0
32.9,4,158,78,0.803,0,0,31,1
27.7,2,127,58,1.6,24,275,25,0
24.7,3,96,56,0.944,34,115,39,0
34.3,0,131,66,0.196,40,0,22,1
21.1,3,82,70,0.389,0,0,25,0
34.9,3,193,70,0.241,31,0,25,1
32,4,95,64,0.161,0,0,31,1
24.2,6,137,61,0.151,0,0,55,0
35,5,136,84,0.286,41,88,35,1
31.6,9,72,78,0.28,25,0,38,0
32.9,5,168,64,0.135,0,0,41,1
42.1,2,123,48,0.52,32,165,26,0
28.9,4,115,72,0.376,0,0,46,1
21.9,0,101,62,0.336,0,0,25,0
25.9,8,197,74,1.191,0,0,39,1
42.4,1,172,68,0.702,49,579,28,1
35.7,6,102,90,0.674,39,0,28,0
34.4,1,112,72,0.528,30,176,25,0
42.4,1,143,84,1.076,23,310,22,0
26.2,1,143,74,0.256,22,61,21,0
34.6,0,138,60,0.534,35,167,21,1
35.7,3,173,84,0.258,33,474,22,1
27.2,1,97,68,1.095,21,0,22,0
38.5,4,144,82,0.554,32,0,37,1
18.2,1,83,68,0.624,0,0,27,0
26.4,3,129,64,0.219,29,115,28,1
45.3,1,119,88,0.507,41,170,26,0
26,2,94,68,0.561,18,76,21,0
40.6,0,102,64,0.496,46,78,21,0
30.8,2,115,64,0.421,22,0,21,0
42.9,8,151,78,0.516,32,210,36,1
37,4,184,78,0.264,39,277,31,1
0,0,94,0,0.256,0,0,25,0
34.1,1,181,64,0.328,30,180,38,1
40.6,0,135,94,0.284,46,145,26,0
35,1,95,82,0.233,25,180,43,1
22.2,2,99,0,0.108,0,0,23,0
30.4,3,89,74,0.551,16,85,38,0
30,1,80,74,0.527,11,60,22,0
25.6,2,139,75,0.167,0,0,29,0
24.5,1,90,68,1.138,8,0,36,0
42.4,0,141,0,0.205,0,0,29,1
37.4,12,140,85,0.244,33,0,41,0
29.9,5,147,75,0.434,0,0,28,0
18.2,1,97,70,0.147,15,0,21,0
36.8,6,107,88,0.727,0,0,31,0
34.3,0,189,104,0.435,25,0,41,1
32.2,2,83,66,0.497,23,50,22,0
33.2,4,117,64,0.23,27,120,24,0
30.5,8,108,70,0.955,0,0,33,1
29.7,4,117,62,0.38,12,0,30,1
59.4,0,180,78,2.42,63,14,25,1
25.3,1,100,72,0.658,12,70,28,0
36.5,0,95,80,0.33,45,92,26,0
33.6,0,104,64,0.51,37,64,22,1
30.5,0,120,74,0.285,18,63,26,0
21.2,1,82,64,0.415,13,95,23,0
28.9,2,134,70,0.542,0,0,23,1
39.9,0,91,68,0.381,32,210,25,0
19.6,2,119,0,0.832,0,0,72,0
37.8,2,100,54,0.498,28,105,24,0
33.6,14,175,62,0.212,30,0,38,1
26.7,1,135,54,0.687,0,0,62,0
30.2,5,86,68,0.364,28,71,24,0
37.6,10,148,84,1.001,48,237,51,1
25.9,9,134,74,0.46,33,60,81,0
20.8,9,120,72,0.733,22,56,48,0
21.8,1,71,62,0.416,0,0,26,0
35.3,8,74,70,0.705,40,49,39,0
27.6,5,88,78,0.258,30,0,37,0
24,10,115,98,1.022,0,0,34,0
21.8,0,124,56,0.452,13,105,21,0
27.8,0,74,52,0.269,10,36,22,0
36.8,0,97,64,0.6,36,100,25,0
30,8,120,0,0.183,0,0,38,1
46.1,6,154,78,0.571,41,140,27,0
41.3,1,144,82,0.607,40,0,28,0
33.2,0,137,70,0.17,38,0,22,0
38.8,0,119,66,0.259,27,0,22,0
29.9,7,136,90,0.21,0,0,50,0
28.9,4,114,64,0.126,0,0,24,0
27.3,0,137,84,0.231,27,0,59,0
33.7,2,105,80,0.711,45,191,29,1
23.8,7,114,76,0.466,17,110,31,0
25.9,8,126,74,0.162,38,75,39,0
28,4,132,86,0.419,31,0,63,0
35.5,3,158,70,0.344,30,328,35,1
35.2,0,123,88,0.197,37,0,29,0
27.8,4,85,58,0.306,22,49,28,0
38.2,0,84,82,0.233,31,125,23,0
44.2,0,145,0,0.63,0,0,31,1
42.3,0,135,68,0.365,42,250,24,1
40.7,1,139,62,0.536,41,480,21,0
46.5,0,173,78,1.159,32,265,58,0
25.6,4,99,72,0.294,17,0,28,0
26.1,8,194,80,0.551,0,0,67,0
36.8,2,83,65,0.629,28,66,24,0
33.5,2,89,90,0.292,30,0,42,0
32.8,4,99,68,0.145,38,0,33,0
28.9,4,125,70,1.144,18,122,45,1
0,3,80,0,0.174,0,0,22,0
26.6,6,166,74,0.304,0,0,66,0
26,5,110,68,0.292,0,0,30,0
30.1,2,81,72,0.547,15,76,25,0
25.1,7,195,70,0.163,33,145,55,1
29.3,6,154,74,0.839,32,193,39,0
25.2,2,117,90,0.313,19,71,21,0
37.2,3,84,72,0.267,32,0,28,0
39,6,0,68,0.727,41,0,41,1
33.3,7,94,64,0.738,25,79,41,0
37.3,3,96,78,0.238,39,0,40,0
33.3,10,75,82,0.263,0,0,38,0
36.5,0,180,90,0.314,26,90,35,1
28.6,1,130,60,0.692,23,170,21,0
30.4,2,84,50,0.968,23,76,21,0
25,8,120,78,0.409,0,0,64,0
29.7,12,84,72,0.297,31,0,46,1
22.1,0,139,62,0.207,17,210,21,0
24.2,9,91,68,0.2,0,0,58,0
27.3,2,91,62,0.525,0,0,22,0
25.6,3,99,54,0.154,19,86,24,0
31.6,3,163,70,0.268,18,105,28,1
30.3,9,145,88,0.771,34,165,53,1
37.6,7,125,86,0.304,0,0,51,0
32.8,13,76,60,0.18,0,0,41,0
19.6,6,129,90,0.582,7,326,60,0
25,2,68,70,0.187,32,66,25,0
33.2,3,124,80,0.305,33,130,26,0
0,6,114,0,0.189,0,0,26,0
34.2,9,130,70,0.652,0,0,45,1
31.6,3,125,58,0.151,0,0,24,0
21.8,3,87,60,0.444,18,0,21,0
18.2,1,97,64,0.299,19,82,21,0
26.3,3,116,74,0.107,15,105,24,0
39.5,1,102,74,0.293,0,0,42,1
42.3,11,120,80,0.785,37,150,48,1
30.8,3,102,44,0.4,20,94,26,0
28.5,1,109,58,0.219,18,116,22,0
32.7,9,140,94,0.734,0,0,45,1
40.6,13,153,88,1.174,37,140,39,0
30,12,100,84,0.488,33,105,46,0
49.3,1,147,94,0.358,41,0,27,1
46.3,1,81,74,1.096,41,57,32,0
36.4,3,187,70,0.408,22,200,36,1
24.3,6,162,62,0.178,0,0,50,1
31.2,4,136,70,1.182,0,0,22,1
39,1,121,78,0.261,39,74,28,0
26,3,108,62,0.223,24,0,25,0
43.3,0,181,88,0.222,44,510,26,1
32.4,8,154,78,0.443,32,0,45,1
36.5,1,128,88,1.057,39,110,37,1
32,7,137,90,0.391,41,0,39,0
36.3,0,123,72,0.258,0,0,52,1
37.5,1,106,76,0.197,0,0,26,0
35.5,6,190,92,0.278,0,0,66,1
28.4,2,88,58,0.766,26,16,22,0
44,9,170,74,0.403,31,0,43,1
22.5,9,89,62,0.142,0,0,33,0
32.9,10,101,76,0.171,48,180,63,0
36.8,2,122,70,0.34,27,0,27,0
26.2,5,121,72,0.245,23,112,30,0
30.1,1,126,60,0.349,0,0,47,1
30.4,1,93,70,0.315,31,0,23,0
30.8,0,117,66,0.493,31,188,22,0
24.6,0,111,65,0.66,0,0,31,0
29.8,2,122,60,0.717,18,106,22,0
45.3,0,107,76,0.686,0,0,24,0
41.3,1,86,66,0.917,52,65,29,0
29.8,6,91,0,0.501,0,0,31,0
33.3,1,77,56,1.251,30,56,24,0
32.9,4,132,0,0.302,0,0,23,1
29.6,0,105,90,0.197,0,0,46,0
21.7,0,57,60,0.735,0,0,67,0
36.3,0,127,80,0.804,37,210,23,0
36.4,3,129,92,0.968,49,155,32,1
39.4,8,100,74,0.661,40,215,43,1
32.4,3,128,72,0.549,25,190,27,1
34.9,10,90,85,0.825,32,0,56,1
39.5,4,84,90,0.159,23,56,25,0
32,1,88,78,0.365,29,76,29,0
34.5,8,186,90,0.423,35,225,37,1
43.6,5,187,76,1.034,27,207,53,1
33.1,4,131,68,0.16,21,166,28,0
32.8,1,164,82,0.341,43,67,50,0
28.5,4,189,110,0.68,31,0,37,0
27.4,1,116,70,0.204,28,0,21,0
31.9,3,84,68,0.591,30,106,25,0
27.8,6,114,88,0.247,0,0,66,0
29.9,1,88,62,0.422,24,44,23,0
36.9,1,84,64,0.471,23,115,28,0
25.5,7,124,70,0.161,33,215,37,0
38.1,1,97,70,0.218,40,0,30,0
27.8,8,110,76,0.237,0,0,58,0
46.2,11,103,68,0.126,40,0,42,0
30.1,11,85,74,0.3,0,0,35,0
33.8,6,125,76,0.121,0,0,54,1
41.3,0,198,66,0.502,32,274,28,1
37.6,1,87,68,0.401,34,77,24,0
26.9,6,99,60,0.497,19,54,32,0
32.4,0,91,80,0.601,0,0,27,0
26.1,2,95,54,0.748,14,88,22,0
38.6,1,99,72,0.412,30,18,21,0
32,6,92,62,0.085,32,126,46,0
31.3,4,154,72,0.338,29,126,37,0
34.3,0,121,66,0.203,30,165,33,1
32.5,3,78,70,0.27,0,0,39,0
22.6,2,130,96,0.268,0,0,21,0
29.5,3,111,58,0.43,31,44,22,0
34.7,2,98,60,0.198,17,120,22,0
30.1,1,143,86,0.892,30,330,23,0
35.5,1,119,44,0.28,47,63,25,0
24,6,108,44,0.813,20,130,35,0
42.9,2,118,80,0.693,0,0,21,1
27,10,133,68,0.245,0,0,36,0
34.7,2,197,70,0.575,99,0,62,1
42.1,0,151,90,0.371,46,0,21,1
25,6,109,60,0.206,27,0,27,0
26.5,12,121,78,0.259,17,0,62,0
38.7,8,100,76,0.19,0,0,42,0
28.7,8,124,76,0.687,24,600,52,1
22.5,1,93,56,0.417,11,0,22,0
34.9,8,143,66,0.129,0,0,41,1
24.3,6,103,66,0.249,0,0,29,0
33.3,3,176,86,1.154,27,156,52,1
21.1,0,73,0,0.342,0,0,25,0
46.8,11,111,84,0.925,40,0,45,1
39.4,2,112,78,0.175,50,140,24,0
34.4,3,132,80,0.402,0,0,44,1
28.5,2,82,52,1.699,22,115,25,0
33.6,6,123,72,0.733,45,230,34,0
32,0,188,82,0.682,14,185,22,1
45.3,0,67,76,0.194,0,0,46,0
27.8,1,89,24,0.559,19,25,21,0
36.8,1,173,74,0.088,0,0,38,1
23.1,1,109,38,0.407,18,120,26,0
27.1,1,108,88,0.4,19,0,24,0
23.7,6,96,0,0.19,0,0,28,0
27.8,1,124,74,0.1,36,0,30,0
35.2,7,150,78,0.692,29,126,54,1
28.4,4,183,0,0.212,0,0,36,1
35.8,1,124,60,0.514,32,0,21,0
40,1,181,78,1.258,42,293,22,1
19.5,1,92,62,0.482,25,41,25,0
41.5,0,152,82,0.27,39,272,27,0
24,1,111,62,0.138,13,182,23,0
30.9,3,106,54,0.292,21,158,24,0
32.9,3,174,58,0.593,22,194,36,1
