Year,Month,Quarter,Airline,Type,PassengerToIndia,PassengerFromIndia,FreightToIndia,FreightFromIndia
2015,JAN,Q1,UZBEKISTAN AIRWAYS,FOREIGN,3061,4346,121.775,459.761
2015,JAN,Q1,VIRGIN ATLANTIC AIRLINES,FOREIGN,7117,6074,168.186,289.125
2015,JAN,Q1,YEMENIA AIRWAYS,FOREIGN,2440,2533,0.535,45.277
2015,FEB,Q1,AIR INDIA,DOMESTIC,221977,234392,3242.819,4655.509
2015,FEB,Q1,AIR INDIA EXPRESS,DOMESTIC,80108,105211,0,0
2015,FEB,Q1,INDIGO,DOMESTIC,54409,64570,247,2214
2015,FEB,Q1,JET AIRWAYS,DOMESTIC,272392,285407,3647.037,5084.735
2015,FEB,Q1,SPICEJET,DOMESTIC,32841,40944,0,154.05
2015,FEB,Q1,AEROFLOT,FOREIGN,5277,5529,20.536,344.774
2015,FEB,Q1,AEROLOGIC,FOREIGN,0,0,2.043,1.49
2015,FEB,Q1,AIR ARABIA,FOREIGN,63893,72042,135.096,1011.016
2015,FEB,Q1,AIR ASIA BERHAD,FOREIGN,20670,21436,21.471,331.63
2015,FEB,Q1,AIR AUSTRAL,FOREIGN,0,0,0,0
2015,FEB,Q1,AIR CHINA,FOREIGN,3137,3644,200.453,123.311
2015,FEB,Q1,AIR FRANCE,FOREIGN,17418,18699,743.27,1214.447
2015,FEB,Q1,AIR MANAS,FOREIGN,220,286,0,3.399
2015,FEB,Q1,AIR MAURITIUS,FOREIGN,6139,6579,13.788,129.785
2015,FEB,Q1,AIR ASTANA,FOREIGN,1979,2557,0.603,27.64
2015,FEB,Q1,AIR SEYCHELLES,FOREIGN,1019,1105,0.198,0.803
2015,FEB,Q1,ALL NIPPON AIRWAYS,FOREIGN,5063,5524,143.038,368.61
2015,FEB,Q1,ARIANA AFGHAN,FOREIGN,2179,2171,0,5.209
2015,FEB,Q1,ASIANA AIRLINES,FOREIGN,2977,2996,26.445,54.336
2015,FEB,Q1,AUSTRIAN AIRLINES,FOREIGN,4605,4635,172.626,237.031
2015,FEB,Q1,BANGKOK AIRWAYS,FOREIGN,3383,3562,10.188,58.342
2015,FEB,Q1,BHUTAN AIRLINES,FOREIGN,0,0,0,0
2015,FEB,Q1,BIMAN BANGLADESH,FOREIGN,4178,4290,0.081,10.589
2015,FEB,Q1,BRITISH AIRWAYS,FOREIGN,35529,41691,1234.68,1894.49
2015,FEB,Q1,BUDHHA AIR,FOREIGN,261,338,0,0
2015,FEB,Q1,CATHAY PACIFIC,FOREIGN,24480,24752,3921.941,2879.536
2015,FEB,Q1,CHINA AIRLINES LTD,FOREIGN,1137,4009,54.172,69.621
2015,FEB,Q1,CHINA EASTERN AIRLINES,FOREIGN,6078,6205,149.226,165.507
2015,FEB,Q1,CHINA SOUTHERN ,FOREIGN,3965,4233,35.51,73.551
2015,FEB,Q1,DELTA AIRLINES,FOREIGN,7781,7589,72.842,98.752
2015,FEB,Q1,DRAGON AIR,FOREIGN,5103,5867,284.189,239.568
2015,FEB,Q1,DRUK AIR,FOREIGN,2262,2413,0.244,2.127
2015,FEB,Q1,EGYPT AIR,FOREIGN,734,1045,9.135,7.933
2015,FEB,Q1,EL-AL-ISRAEL,FOREIGN,2909,3408,99.025,119.099
2015,FEB,Q1,EMIRATES AIRLINE,FOREIGN,204252,230457,5628.28,12452.453
2015,FEB,Q1,ETHIOPIAN AIRLINES,FOREIGN,8922,9951,89.4,884.738
2015,FEB,Q1,ETIHAD AIRLINES,FOREIGN,66070,80517,1004.033,1890.206
2015,FEB,Q1,EVA AIRWAYS,FOREIGN,0,0,0,0
2015,FEB,Q1,FEDERAL EXPRESS,FOREIGN,0,0,1019.213,2003.448
2015,FEB,Q1,FINN AIR,FOREIGN,5008,4785,225.14,370.237
2015,FEB,Q1,FLY DUBAI,FOREIGN,12953,16539,14.603,232.222
2015,FEB,Q1,GULF AIR,FOREIGN,28089,34581,164.597,555.672
2015,FEB,Q1,IRAN AIR,FOREIGN,1237,1494,0.81,46.996
2015,FEB,Q1,IRAQI AIRWAYS,FOREIGN,0,0,0,0
2015,FEB,Q1,ISLAND AVIATION SERVICES,FOREIGN,2703,2569,3.027,53.392
2015,FEB,Q1,JAPAN AIRLINES,FOREIGN,4799,4218,337.57,219.077
2015,FEB,Q1,KALITTA AIR,FOREIGN,0,0,613.626,833.799
2015,FEB,Q1,KAM AIR,FOREIGN,5500,3000,0,184.826
2015,FEB,Q1,KENYA AIRWAYS,FOREIGN,5601,7265,10.106,235.809
2015,FEB,Q1,KLM AIRLINES,FOREIGN,10659,11322,171.298,290.945
2015,FEB,Q1,KOREAN AIR,FOREIGN,1665,2643,133.173,109.558
2015,FEB,Q1,KUWAIT AIRWAYS,FOREIGN,12180,17325,392.262,740.987
2015,FEB,Q1,LUFTHANSA,FOREIGN,47889,48015,3232.537,2961.787
2015,FEB,Q1,MAHAN AIR,FOREIGN,1428,1266,5.87,100.566
2015,FEB,Q1,MALAYSIA AIRLINES,FOREIGN,36761,42540,1144.995,1287.345
2015,FEB,Q1,MALINDO AIRWAYS,FOREIGN,8236,8795,0,0
2015,FEB,Q1,MARTIN AIR HOLLAND,FOREIGN,0,0,684.66,1301.884
2015,FEB,Q1,MIHIN LANKA,FOREIGN,4412,4137,0,0
2015,FEB,Q1,MYANMAR AIRLINES,FOREIGN,1737,1278,0,0
2015,FEB,Q1,NEPAL AIRLINES CORPORATION,FOREIGN,100,44,0,0
2015,FEB,Q1,OMAN AIR,FOREIGN,42974,54123,56.352,687.09
2015,FEB,Q1,PAK INTERNATIONAL,FOREIGN,980,2105,10.584,35.121
2015,FEB,Q1,QATAR AIRWATYS,FOREIGN,66911,79820,2826.645,5095.502
2015,FEB,Q1,REGENT AIRWAYS,FOREIGN,3053,3004,0,0
2015,FEB,Q1,SAFI AIRWAYS,FOREIGN,1981,1969,1.979,14.496
2015,FEB,Q1,SAUDIA,FOREIGN,49822,58963,506.753,2009.058
2015,FEB,Q1,SILK AIR,FOREIGN,12498,16438,37.77,170.73
2015,FEB,Q1,SINGAPORE AIRLINES,FOREIGN,43862,54289,2197.455,2270.447
2015,FEB,Q1,SOUTHA AFRICAN AIRLINES,FOREIGN,2307,2821,26.316,176.32
2015,FEB,Q1,SRILNKAN AIRWAYS,FOREIGN,44758,48156,736.994,1462.75
2015,FEB,Q1,SWISS AIR,FOREIGN,10438,12014,681.246,863.593
2015,FEB,Q1,TAJIK AIR,FOREIGN,174,148,0,1.126
2015,FEB,Q1,THAI AIRWAYS,FOREIGN,47031,53463,2472.163,1998.694
2015,FEB,Q1,TIGER AIRWAYS,FOREIGN,21409,23974,0,0
2015,FEB,Q1,TRANSAERO AIRLINES,FOREIGN,5870,5110,0,13.665
2015,FEB,Q1,TURKISH AIRLINES,FOREIGN,15457,16198,566.855,903.912
2015,FEB,Q1,TURKMENISTAN AIRLINES,FOREIGN,4966,3237,0,13.451
2015,FEB,Q1,UNITED AIRLINES,FOREIGN,12956,13716,308.136,222.283
2015,FEB,Q1,UNITED AIRLINES BANGLADESH LTD.,FOREIGN,310,359,0,0
2015,FEB,Q1,UNITED PARCEL SERVICES,FOREIGN,0,0,467.828,413.567
2015,FEB,Q1,UZBEKISTAN AIRWAYS,FOREIGN,3263,4046,147.435,422.548
2015,FEB,Q1,VIRGIN ATLANTIC AIRLINES,FOREIGN,6823,6104,182.812,314.133
2015,FEB,Q1,YEMENIA AIRWAYS,FOREIGN,2233,2341,0.65,53.1
2015,MAR,Q1,AIR INDIA,DOMESTIC,228972,261653,3728.757,5275.216
2015,MAR,Q1,AIR INDIA EXPRESS,DOMESTIC,87774,108891,0,0
2015,MAR,Q1,INDIGO,DOMESTIC,59595,70999,140.4477,1015.1205
2015,MAR,Q1,JET AIRWAYS,DOMESTIC,288212,308710,3972,6002
2015,MAR,Q1,SPICEJET,DOMESTIC,44737,37807,195.58,0
2015,MAR,Q1,AEROFLOT,FOREIGN,4848,6609,19.213,393.226
2015,MAR,Q1,AEROLOGIC,FOREIGN,0,0,1.861,1.975
2015,MAR,Q1,AIR ARABIA,FOREIGN,69840,77409,163.091,1132.894
2015,MAR,Q1,AIR ASIA BERHAD,FOREIGN,21254,21601,59.672,356.493
2015,MAR,Q1,AIR AUSTRAL,FOREIGN,0,0,0,0
2015,MAR,Q1,AIR CHINA,FOREIGN,2727,4728,126.373,146.235
2015,MAR,Q1,AIR FRANCE,FOREIGN,15773,20329,830.93,1279.976
2015,MAR,Q1,AIR MANAS,FOREIGN,389,532,0,127.767
2015,MAR,Q1,AIR MAURITIUS,FOREIGN,7187,6801,16.636,290.044
2015,MAR,Q1,AIR ASTANA,FOREIGN,1995,2681,5.141,31.392
2015,MAR,Q1,AIR SEYCHELLES,FOREIGN,1102,1285,0.09,1.084
2015,MAR,Q1,ALL NIPPON AIRWAYS,FOREIGN,4687,6388,186.544,410.312
2015,MAR,Q1,ARIANA AFGHAN,FOREIGN,1739,2556,0,0.3
2015,MAR,Q1,ASIANA AIRLINES,FOREIGN,2799,3562,18.352,89.109
2015,MAR,Q1,AUSTRIAN AIRLINES,FOREIGN,4019,5560,231.298,234.212
2015,MAR,Q1,BANGKOK AIRWAYS,FOREIGN,3429,3329,5.09,84.204
2015,MAR,Q1,BHUTAN AIRLINES,FOREIGN,0,0,0,0
2015,MAR,Q1,BIMAN BANGLADESH,FOREIGN,4086,4519,0.171,47.366
2015,MAR,Q1,BRITISH AIRWAYS,FOREIGN,37829,51236,1652,3090
2015,MAR,Q1,BUDHHA AIR,FOREIGN,116,147,0,0
2015,MAR,Q1,CATHAY PACIFIC,FOREIGN,29036,33093,4934.824,3775.664
2015,MAR,Q1,CHINA AIRLINES LTD,FOREIGN,790,5056,70.798,75.839
2015,MAR,Q1,CHINA EASTERN AIRLINES,FOREIGN,6346,8222,178.757,255.123
2015,MAR,Q1,CHINA SOUTHERN ,FOREIGN,4181,6770,31.917,57.018
2015,MAR,Q1,DELTA AIRLINES,FOREIGN,7567,7368,68.843,89.006
2015,MAR,Q1,DRAGON AIR,FOREIGN,6667,7074,268.197,304.494
2015,MAR,Q1,DRUK AIR,FOREIGN,2438,3060,0.268,3.624
2015,MAR,Q1,EGYPT AIR,FOREIGN,561,1030,14.519,13.101
2015,MAR,Q1,EL-AL-ISRAEL,FOREIGN,2179,2944,90.885,139.265
2015,MAR,Q1,EMIRATES AIRLINE,FOREIGN,213012,247098,6704.896,14133.379
2015,MAR,Q1,ETHIOPIAN AIRLINES,FOREIGN,9263,10031,125.098,1062.027
2015,MAR,Q1,ETIHAD AIRLINES,FOREIGN,66085,82292,1169.219,1407.467
2015,MAR,Q1,EVA AIRWAYS,FOREIGN,0,0,0,0
2015,MAR,Q1,FEDERAL EXPRESS,FOREIGN,0,0,1080.89,2471.127
2015,MAR,Q1,FINN AIR,FOREIGN,4303,5676,283.644,392.741
2015,MAR,Q1,FLY DUBAI,FOREIGN,14234,18046,13.701,231.31
2015,MAR,Q1,GULF AIR,FOREIGN,30895,35735,242.025,699.251
2015,MAR,Q1,IRAN AIR,FOREIGN,1765,1445,1.22,36.314
2015,MAR,Q1,IRAQI AIRWAYS,FOREIGN,0,0,0,0
2015,MAR,Q1,ISLAND AVIATION SERVICES,FOREIGN,3383,3247,4.874,76.123
2015,MAR,Q1,JAPAN AIRLINES,FOREIGN,4207,5226,400.434,291.726
2015,MAR,Q1,KALITTA AIR,FOREIGN,0,0,885.675,879.534
2015,MAR,Q1,KAM AIR,FOREIGN,3800,4100,0,93.233
2015,MAR,Q1,KENYA AIRWAYS,FOREIGN,11424,13687,45.716,734.316
2015,MAR,Q1,KLM AIRLINES,FOREIGN,8297,11727,175.199,339.276
2015,MAR,Q1,KOREAN AIR,FOREIGN,0,0,0,0
2015,MAR,Q1,KUWAIT AIRWAYS,FOREIGN,16721,18973,608.185,845.83
2015,MAR,Q1,LUFTHANSA,FOREIGN,43851,52505,3902.026,3188.211
2015,MAR,Q1,MAHAN AIR,FOREIGN,2372,1688,5.466,147.737
2015,MAR,Q1,MALAYSIA AIRLINES,FOREIGN,39373,43343,1252.62,1647.574
2015,MAR,Q1,MALINDO AIRWAYS,FOREIGN,16680,16715,0,0
2015,MAR,Q1,MARTIN AIR HOLLAND,FOREIGN,0,0,756.506,801.98
2015,MAR,Q1,MIHIN LANKA,FOREIGN,3681,3496,0,0
2015,MAR,Q1,MYANMAR AIRLINES,FOREIGN,1252,1787,0,0
2015,MAR,Q1,NEPAL AIRLINES CORPORATION,FOREIGN,2399,2126,0.633,0
2015,MAR,Q1,OMAN AIR,FOREIGN,51845,56903,85.761,1025.961
2015,MAR,Q1,PAK INTERNATIONAL,FOREIGN,1084,2311,10.291,34.249
2015,MAR,Q1,QATAR AIRWATYS,FOREIGN,68041,85271,3596.081,6196.259
2015,MAR,Q1,REGENT AIRWAYS,FOREIGN,3005,3060,0,0
2015,MAR,Q1,SAFI AIRWAYS,FOREIGN,2398,2792,0.1,17.377
2015,MAR,Q1,SAUDIA,FOREIGN,52759,64558,205.839,2928.968
2015,MAR,Q1,SILK AIR,FOREIGN,12187,15830,40.251,177.265
2015,MAR,Q1,SINGAPORE AIRLINES,FOREIGN,45865,56314,2497.576,2527.712
2015,MAR,Q1,SOUTHA AFRICAN AIRLINES,FOREIGN,1898,2869,13.966,181.652
2015,MAR,Q1,SRILNKAN AIRWAYS,FOREIGN,46870,52470,789.972,1694.398
2015,MAR,Q1,SWISS AIR,FOREIGN,9990,13564,817.087,1140.143
2015,MAR,Q1,TAJIK AIR,FOREIGN,165,139,0,6.468
2015,MAR,Q1,THAI AIRWAYS,FOREIGN,49456,57914,1625.223,2058.684
2015,MAR,Q1,TIGER AIRWAYS,FOREIGN,23321,22723,78.239,253.852
2015,MAR,Q1,TRANSAERO AIRLINES,FOREIGN,4601,6934,0,47.641
2015,MAR,Q1,TURKISH AIRLINES,FOREIGN,15222,18362,616.744,1168.727
2015,MAR,Q1,TURKMENISTAN AIRLINES,FOREIGN,5244,5051,0,8.62
2015,MAR,Q1,UNITED AIRLINES,FOREIGN,13492,15588,203.701,257.904
2015,MAR,Q1,UNITED AIRLINES BANGLADESH LTD.,FOREIGN,546,675,0,0
2015,MAR,Q1,UNITED PARCEL SERVICES,FOREIGN,0,0,493.259,494.933
2015,MAR,Q1,UZBEKISTAN AIRWAYS,FOREIGN,3896,4328,199.108,711.016
2015,MAR,Q1,VIRGIN ATLANTIC AIRLINES,FOREIGN,4264,7260,284.363,334.767
2015,MAR,Q1,YEMENIA AIRWAYS,FOREIGN,2168,2228,1.011,53.134
2015,APR,Q2,AIR INDIA,DOMESTIC,200432,248784,3577.539,5233.469
2015,APR,Q2,AIR INDIA EXPRESS,DOMESTIC,94082,122028,0,0
2015,APR,Q2,INDIGO,DOMESTIC,63266,74678,145.618,859.76536
2015,APR,Q2,JET AIRWAYS,DOMESTIC,271441,306572,3958.71855,5599.0668
2015,APR,Q2,SPICEJET,DOMESTIC,42360,49736,0,207.8176
2015,APR,Q2,AEROFLOT,FOREIGN,4316,6502,16.584,406.856
2015,APR,Q2,AEROLOGIC,FOREIGN,0,0,1.415,1.186
2015,APR,Q2,AIR ARABIA,FOREIGN,68884,77477,177.41,1177.041
2015,APR,Q2,AIR ASIA BERHAD,FOREIGN,20673,22688,19.521,439.351
2015,APR,Q2,AIR AUSTRAL,FOREIGN,0,0,1.364,2.727
2015,APR,Q2,AIR CHINA,FOREIGN,2161,3878,169.509,168.782
2015,APR,Q2,AIR FRANCE,FOREIGN,11930,15412,589.198,1095.936
2015,APR,Q2,AIR MANAS,FOREIGN,228,231,0,271.589
2015,APR,Q2,AIR MAURITIUS,FOREIGN,6146,8007,22.658,309.818
2015,APR,Q2,AIR ASTANA,FOREIGN,1326,1814,1.373,29.321
2015,APR,Q2,AIR SEYCHELLES,FOREIGN,954,1153,0.046,1.299
2015,APR,Q2,ALL NIPPON AIRWAYS,FOREIGN,4410,5569,271.122,428.241
2015,APR,Q2,ARIANA AFGHAN,FOREIGN,1423,2034,0.59,15.665
2015,APR,Q2,ASIANA AIRLINES,FOREIGN,1912,2979,20.492,85.008
2015,APR,Q2,AUSTRIAN AIRLINES,FOREIGN,2429,5538,169.322,247.621
2015,APR,Q2,BANGKOK AIRWAYS,FOREIGN,3409,3638,6.76,58.315
2015,APR,Q2,BHUTAN AIRLINES,FOREIGN,2047,1908,0,0
2015,APR,Q2,BIMAN BANGLADESH,FOREIGN,2969,3498,0.572,3.374
2015,APR,Q2,BRITISH AIRWAYS,FOREIGN,28096,47044,1688,3142
2015,APR,Q2,BUDHHA AIR,FOREIGN,113,109,0,0
2015,APR,Q2,CATHAY PACIFIC,FOREIGN,28804,30975,6460.369,3275.06
2015,APR,Q2,CHINA AIRLINES LTD,FOREIGN,659,4301,58.915,99.772
2015,APR,Q2,CHINA EASTERN AIRLINES,FOREIGN,7317,7707,241.178,249.8
2015,APR,Q2,CHINA SOUTHERN ,FOREIGN,5768,6061,45.704,21.215
2015,APR,Q2,DRAGON AIR,FOREIGN,6931,7750,265.233,291.176
2015,APR,Q2,DRUK AIR,FOREIGN,3629,3227,0.414,5.168
2015,APR,Q2,EGYPT AIR,FOREIGN,752,1217,21.254,17.064
2015,APR,Q2,EL-AL-ISRAEL,FOREIGN,1926,2065,47.445,99.364
2015,APR,Q2,EMIRATES AIRLINE,FOREIGN,204791,255276,5878.738,13075.96
2015,APR,Q2,ETHIOPIAN AIRLINES,FOREIGN,3250,3600,235.17,190.624
2015,APR,Q2,ETIHAD AIRLINES,FOREIGN,65278,63586,655.283,1720.296
2015,APR,Q2,EVA AIRWAYS,FOREIGN,0,0,0,0
2015,APR,Q2,FEDERAL EXPRESS,FOREIGN,0,0,1319.632,2195.013
2015,APR,Q2,FINN AIR,FOREIGN,2093,3677,154.993,239.117
2015,APR,Q2,FLY DUBAI,FOREIGN,17101,20802,29.075,221.069
2015,APR,Q2,GULF AIR,FOREIGN,31257,36530,207.525,664.069
2015,APR,Q2,IRAN AIR,FOREIGN,792,1744,0.352,46.227
2015,APR,Q2,IRAQI AIRWAYS,FOREIGN,0,302,0,0
2015,APR,Q2,ISLAND AVIATION SERVICES,FOREIGN,3019,3013,5.926,76.931
2015,APR,Q2,JAPAN AIRLINES,FOREIGN,3267,3983,399.007,303.686
2015,APR,Q2,KALITTA AIR,FOREIGN,0,0,824.069,674.694
2015,APR,Q2,KAM AIR,FOREIGN,3000,3000,0,28.285
2015,APR,Q2,KENYA AIRWAYS,FOREIGN,6035,7144,7.482,283.195
2015,APR,Q2,KLM AIRLINES,FOREIGN,5469,6817,160.259,443.503
2015,APR,Q2,KOREAN AIR,FOREIGN,1489,2120,55.138,96.859
2015,APR,Q2,KUWAIT AIRWAYS,FOREIGN,18932,26610,303.912,1106.06
2015,APR,Q2,LUFTHANSA,FOREIGN,36116,55902,3408.6,3306.063
2015,APR,Q2,MAHAN AIR,FOREIGN,731,1428,4.5,129.379
2015,APR,Q2,MALAYSIA AIRLINES,FOREIGN,42293,43124,1328.499,1278.004
2015,APR,Q2,MALINDO AIRWAYS,FOREIGN,17667,17220,0,0
2015,APR,Q2,MIHIN LANKA,FOREIGN,3149,3591,0,0
2015,APR,Q2,MYANMAR AIRLINES,FOREIGN,524,904,0,0
2015,APR,Q2,NEPAL AIRLINES CORPORATION,FOREIGN,2740,2723,0.081,0
2015,APR,Q2,OMAN AIR,FOREIGN,51110,61587,117.628,925.602
2015,APR,Q2,PAK INTERNATIONAL,FOREIGN,972,2473,8.434,27.409
2015,APR,Q2,QATAR AIRWATYS,FOREIGN,70970,85029,3567.562,6268.321
2015,APR,Q2,REGENT AIRWAYS,FOREIGN,2803,2782,0,0
2015,APR,Q2,SAFI AIRWAYS,FOREIGN,2007,1721,0.56,26.538
2015,APR,Q2,SAUDIA,FOREIGN,56687,67640,153.452,2632.049
2015,APR,Q2,SILK AIR,FOREIGN,13977,17436,40.169,147.422
2015,APR,Q2,SINGAPORE AIRLINES,FOREIGN,47382,55130,2675.245,2503.876
2015,APR,Q2,SRILNKAN AIRWAYS,FOREIGN,49115,57669,517.487,1426.901
2015,APR,Q2,SWISS AIR,FOREIGN,8509,13362,643.436,947.018
2015,APR,Q2,TAJIK AIR,FOREIGN,2012,0,0,0
2015,APR,Q2,THAI AIRWAYS,FOREIGN,49944,55506,2298.751,1526.522
2015,APR,Q2,TIGER AIRWAYS,FOREIGN,24913,25395,89.334,321.742
2015,APR,Q2,TRANSAERO AIRLINES,FOREIGN,2890,4042,0.241,78.342
2015,APR,Q2,TURKISH AIRLINES,FOREIGN,13261,17516,600.784,1143.289
2015,APR,Q2,TURKMENISTAN AIRLINES,FOREIGN,2401,5114,0,12.674
2015,APR,Q2,UNITED AIRLINES,FOREIGN,11755,14912,282.537,364.462
2015,APR,Q2,UNITED AIRLINES BANGLADESH LTD.,FOREIGN,1077,1240,0,0
