Year,Continent,Country,Population,Life_Expectancy,GDP_per_Capita
2002,Americas,Argentina,38331121,74.34,8797.640716
2007,Americas,Argentina,40301927,75.32,12779.37964
1952,Oceania,Australia,8691212,69.12,10039.59564
1957,Oceania,Australia,9712569,70.33,10949.64959
1962,Oceania,Australia,10794968,70.93,12217.22686
1967,Oceania,Australia,11872264,71.1,14526.12465
1972,Oceania,Australia,13177000,71.93,16788.62948
1977,Oceania,Australia,14074100,73.49,18334.19751
1982,Oceania,Australia,15184200,74.74,19477.00928
1987,Oceania,Australia,16257249,76.32,21888.88903
1992,Oceania,Australia,17481977,77.56,23424.76683
1997,Oceania,Australia,18565243,78.83,26997.93657
2002,Oceania,Australia,19546792,80.37,30687.75473
2007,Oceania,Australia,20434176,81.235,34435.36744
1952,Europe,Austria,6927772,66.8,6137.076492
1957,Europe,Austria,6965860,67.48,8842.59803
1962,Europe,Austria,7129864,69.54,10750.72111
1967,Europe,Austria,7376998,70.14,12834.6024
1972,Europe,Austria,7544201,70.63,16661.6256
1977,Europe,Austria,7568430,72.17,19749.4223
1982,Europe,Austria,7574613,73.18,21597.08362
1987,Europe,Austria,7578903,74.94,23687.82607
1992,Europe,Austria,7914969,76.04,27042.01868
1997,Europe,Austria,8069876,77.51,29095.92066
2002,Europe,Austria,8148312,78.98,32417.60769
2007,Europe,Austria,8199783,79.829,36126.4927
1952,Asia,Bahrain,120447,50.939,9867.084765
1957,Asia,Bahrain,138655,53.832,11635.79945
1962,Asia,Bahrain,171863,56.923,12753.27514
1967,Asia,Bahrain,202182,59.923,14804.6727
1972,Asia,Bahrain,230800,63.3,18268.65839
1977,Asia,Bahrain,297410,65.593,19340.10196
1982,Asia,Bahrain,377967,69.052,19211.14731
1987,Asia,Bahrain,454612,70.75,18524.02406
1992,Asia,Bahrain,529491,72.601,19035.57917
1997,Asia,Bahrain,598561,73.925,20292.01679
2002,Asia,Bahrain,656397,74.795,23403.55927
2007,Asia,Bahrain,708573,75.635,29796.04834
1952,Asia,Bangladesh,46886859,37.484,684.2441716
1957,Asia,Bangladesh,51365468,39.348,661.6374577
1962,Asia,Bangladesh,56839289,41.216,686.3415538
1967,Asia,Bangladesh,62821884,43.453,721.1860862
1972,Asia,Bangladesh,70759295,45.252,630.2336265
1977,Asia,Bangladesh,80428306,46.923,659.8772322
1982,Asia,Bangladesh,93074406,50.009,676.9818656
1987,Asia,Bangladesh,103764241,52.819,751.9794035
1992,Asia,Bangladesh,113704579,56.018,837.8101643
1997,Asia,Bangladesh,123315288,59.412,972.7700352
2002,Asia,Bangladesh,135656790,62.013,1136.39043
2007,Asia,Bangladesh,150448339,64.062,1391.253792
1952,Europe,Belgium,8730405,68,8343.105127
1957,Europe,Belgium,8989111,69.24,9714.960623
1962,Europe,Belgium,9218400,70.25,10991.20676
1967,Europe,Belgium,9556500,70.94,13149.04119
1972,Europe,Belgium,9709100,71.44,16672.14356
1977,Europe,Belgium,9821800,72.8,19117.97448
1982,Europe,Belgium,9856303,73.93,20979.84589
1987,Europe,Belgium,9870200,75.35,22525.56308
1992,Europe,Belgium,10045622,76.46,25575.57069
1997,Europe,Belgium,10199787,77.53,27561.19663
2002,Europe,Belgium,10311970,78.32,30485.88375
2007,Europe,Belgium,10392226,79.441,33692.60508
1952,Africa,Benin,1738315,38.223,1062.7522
1957,Africa,Benin,1925173,40.358,959.6010805
1962,Africa,Benin,2151895,42.618,949.4990641
1967,Africa,Benin,2427334,44.885,1035.831411
1972,Africa,Benin,2761407,47.014,1085.796879
1977,Africa,Benin,3168267,49.19,1029.161251
1982,Africa,Benin,3641603,50.904,1277.897616
1987,Africa,Benin,4243788,52.337,1225.85601
1992,Africa,Benin,4981671,53.919,1191.207681
1997,Africa,Benin,6066080,54.777,1232.975292
2002,Africa,Benin,7026113,54.406,1372.877931
2007,Africa,Benin,8078314,56.728,1441.284873
1952,Americas,Bolivia,2883315,40.414,2677.326347
1957,Americas,Bolivia,3211738,41.89,2127.686326
1962,Americas,Bolivia,3593918,43.428,2180.972546
1967,Americas,Bolivia,4040665,45.032,2586.886053
1972,Americas,Bolivia,4565872,46.714,2980.331339
1977,Americas,Bolivia,5079716,50.023,3548.097832
1982,Americas,Bolivia,5642224,53.859,3156.510452
1987,Americas,Bolivia,6156369,57.251,2753.69149
1992,Americas,Bolivia,6893451,59.957,2961.699694
1997,Americas,Bolivia,7693188,62.05,3326.143191
2002,Americas,Bolivia,8445134,63.883,3413.26269
2007,Americas,Bolivia,9119152,65.554,3822.137084
1952,Europe,Bosnia and Herzegovina,2791000,53.82,973.5331948
1957,Europe,Bosnia and Herzegovina,3076000,58.45,1353.989176
1962,Europe,Bosnia and Herzegovina,3349000,61.93,1709.683679
1967,Europe,Bosnia and Herzegovina,3585000,64.79,2172.352423
1972,Europe,Bosnia and Herzegovina,3819000,67.45,2860.16975
1977,Europe,Bosnia and Herzegovina,4086000,69.86,3528.481305
1982,Europe,Bosnia and Herzegovina,4172693,70.69,4126.613157
1987,Europe,Bosnia and Herzegovina,4338977,71.14,4314.114757
1992,Europe,Bosnia and Herzegovina,4256013,72.178,2546.781445
1997,Europe,Bosnia and Herzegovina,3607000,73.244,4766.355904
2002,Europe,Bosnia and Herzegovina,4165416,74.09,6018.975239
2007,Europe,Bosnia and Herzegovina,4552198,74.852,7446.298803
1952,Africa,Botswana,442308,47.622,851.2411407
1957,Africa,Botswana,474639,49.618,918.2325349
1962,Africa,Botswana,512764,51.52,983.6539764
1967,Africa,Botswana,553541,53.298,1214.709294
1972,Africa,Botswana,619351,56.024,2263.611114
1977,Africa,Botswana,781472,59.319,3214.857818
1982,Africa,Botswana,970347,61.484,4551.14215
1987,Africa,Botswana,1151184,63.622,6205.88385
1992,Africa,Botswana,1342614,62.745,7954.111645
1997,Africa,Botswana,1536536,52.556,8647.142313
2002,Africa,Botswana,1630347,46.634,11003.60508
2007,Africa,Botswana,1639131,50.728,12569.85177
1952,Americas,Brazil,56602560,50.917,2108.944355
1957,Americas,Brazil,65551171,53.285,2487.365989
1962,Americas,Brazil,76039390,55.665,3336.585802
1967,Americas,Brazil,88049823,57.632,3429.864357
1972,Americas,Brazil,100840058,59.504,4985.711467
1977,Americas,Brazil,114313951,61.489,6660.118654
1982,Americas,Brazil,128962939,63.336,7030.835878
1987,Americas,Brazil,142938076,65.205,7807.095818
1992,Americas,Brazil,155975974,67.057,6950.283021
1997,Americas,Brazil,168546719,69.388,7957.980824
2002,Americas,Brazil,179914212,71.006,8131.212843
2007,Americas,Brazil,190010647,72.39,9065.800825
1952,Europe,Bulgaria,7274900,59.6,2444.286648
1957,Europe,Bulgaria,7651254,66.61,3008.670727
1962,Europe,Bulgaria,8012946,69.51,4254.337839
1967,Europe,Bulgaria,8310226,70.42,5577.0028
1972,Europe,Bulgaria,8576200,70.9,6597.494398
1977,Europe,Bulgaria,8797022,70.81,7612.240438
1982,Europe,Bulgaria,8892098,71.08,8224.191647
1987,Europe,Bulgaria,8971958,71.34,8239.854824
1992,Europe,Bulgaria,8658506,71.19,6302.623438
1997,Europe,Bulgaria,8066057,70.32,5970.38876
2002,Europe,Bulgaria,7661799,72.14,7696.777725
2007,Europe,Bulgaria,7322858,73.005,10680.79282
1952,Africa,Burkina Faso,4469979,31.975,543.2552413
1957,Africa,Burkina Faso,4713416,34.906,617.1834648
1962,Africa,Burkina Faso,4919632,37.814,722.5120206
1967,Africa,Burkina Faso,5127935,40.697,794.8265597
1972,Africa,Burkina Faso,5433886,43.591,854.7359763
1977,Africa,Burkina Faso,5889574,46.137,743.3870368
1982,Africa,Burkina Faso,6634596,48.122,807.1985855
1987,Africa,Burkina Faso,7586551,49.557,912.0631417
1992,Africa,Burkina Faso,8878303,50.26,931.7527731
1997,Africa,Burkina Faso,10352843,50.324,946.2949618
2002,Africa,Burkina Faso,12251209,50.65,1037.645221
2007,Africa,Burkina Faso,14326203,52.295,1217.032994
1952,Africa,Burundi,2445618,39.031,339.2964587
1957,Africa,Burundi,2667518,40.533,379.5646281
1962,Africa,Burundi,2961915,42.045,355.2032273
1967,Africa,Burundi,3330989,43.548,412.9775136
1972,Africa,Burundi,3529983,44.057,464.0995039
1977,Africa,Burundi,3834415,45.91,556.1032651
1982,Africa,Burundi,4580410,47.471,559.603231
1987,Africa,Burundi,5126023,48.211,621.8188189
1992,Africa,Burundi,5809236,44.736,631.6998778
1997,Africa,Burundi,6121610,45.326,463.1151478
2002,Africa,Burundi,7021078,47.36,446.4035126
2007,Africa,Burundi,8390505,49.58,430.0706916
1952,Asia,Cambodia,4693836,39.417,368.4692856
1957,Asia,Cambodia,5322536,41.366,434.0383364
1962,Asia,Cambodia,6083619,43.415,496.9136476
1967,Asia,Cambodia,6960067,45.415,523.4323142
1972,Asia,Cambodia,7450606,40.317,421.6240257
1977,Asia,Cambodia,6978607,31.22,524.9721832
1982,Asia,Cambodia,7272485,50.957,624.4754784
1987,Asia,Cambodia,8371791,53.914,683.8955732
1992,Asia,Cambodia,10150094,55.803,682.3031755
1997,Asia,Cambodia,11782962,56.534,734.28517
2002,Asia,Cambodia,12926707,56.752,896.2260153
2007,Asia,Cambodia,14131858,59.723,1713.778686
1952,Africa,Cameroon,5009067,38.523,1172.667655
1957,Africa,Cameroon,5359923,40.428,1313.048099
1962,Africa,Cameroon,5793633,42.643,1399.607441
1967,Africa,Cameroon,6335506,44.799,1508.453148
1972,Africa,Cameroon,7021028,47.049,1684.146528
1977,Africa,Cameroon,7959865,49.355,1783.432873
1982,Africa,Cameroon,9250831,52.961,2367.983282
1987,Africa,Cameroon,10780667,54.985,2602.664206
1992,Africa,Cameroon,12467171,54.314,1793.163278
1997,Africa,Cameroon,14195809,52.199,1694.337469
2002,Africa,Cameroon,15929988,49.856,1934.011449
2007,Africa,Cameroon,17696293,50.43,2042.09524
1952,Americas,Canada,14785584,68.75,11367.16112
1957,Americas,Canada,17010154,69.96,12489.95006
1962,Americas,Canada,18985849,71.3,13462.48555
1967,Americas,Canada,20819767,72.13,16076.58803
1972,Americas,Canada,22284500,72.88,18970.57086
1977,Americas,Canada,23796400,74.21,22090.88306
1982,Americas,Canada,25201900,75.76,22898.79214
1987,Americas,Canada,26549700,76.86,26626.51503
1992,Americas,Canada,28523502,77.95,26342.88426
1997,Americas,Canada,30305843,78.61,28954.92589
2002,Americas,Canada,31902268,79.77,33328.96507
2007,Americas,Canada,33390141,80.653,36319.23501
1952,Africa,Central African Republic,1291695,35.463,1071.310713
1957,Africa,Central African Republic,1392284,37.464,1190.844328
1962,Africa,Central African Republic,1523478,39.475,1193.068753
1967,Africa,Central African Republic,1733638,41.478,1136.056615
1972,Africa,Central African Republic,1927260,43.457,1070.013275
1977,Africa,Central African Republic,2167533,46.775,1109.374338
1982,Africa,Central African Republic,2476971,48.295,956.7529907
1987,Africa,Central African Republic,2840009,50.485,844.8763504
1992,Africa,Central African Republic,3265124,49.396,747.9055252
1997,Africa,Central African Republic,3696513,46.066,740.5063317
2002,Africa,Central African Republic,4048013,43.308,738.6906068
2007,Africa,Central African Republic,4369038,44.741,706.016537
1952,Africa,Chad,2682462,38.092,1178.665927
1957,Africa,Chad,2894855,39.881,1308.495577
1962,Africa,Chad,3150417,41.716,1389.817618
1967,Africa,Chad,3495967,43.601,1196.810565
1972,Africa,Chad,3899068,45.569,1104.103987
1977,Africa,Chad,4388260,47.383,1133.98495
1982,Africa,Chad,4875118,49.517,797.9081006
1987,Africa,Chad,5498955,51.051,952.386129
1992,Africa,Chad,6429417,51.724,1058.0643
1997,Africa,Chad,7562011,51.573,1004.961353
2002,Africa,Chad,8835739,50.525,1156.18186
2007,Africa,Chad,10238807,50.651,1704.063724
1952,Americas,Chile,6377619,54.745,3939.978789
1957,Americas,Chile,7048426,56.074,4315.622723
1962,Americas,Chile,7961258,57.924,4519.094331
1967,Americas,Chile,8858908,60.523,5106.654313
1972,Americas,Chile,9717524,63.441,5494.024437
1977,Americas,Chile,10599793,67.052,4756.763836
1982,Americas,Chile,11487112,70.565,5095.665738
1987,Americas,Chile,12463354,72.492,5547.063754
1992,Americas,Chile,13572994,74.126,7596.125964
1997,Americas,Chile,14599929,75.816,10118.05318
2002,Americas,Chile,15497046,77.86,10778.78385
2007,Americas,Chile,16284741,78.553,13171.63885
1952,Asia,China,556263527,44,400.448611
1957,Asia,China,637408000,50.54896,575.9870009
1962,Asia,China,665770000,44.50136,487.6740183
1967,Asia,China,754550000,58.38112,612.7056934
1972,Asia,China,862030000,63.11888,676.9000921
1977,Asia,China,943455000,63.96736,741.2374699
1982,Asia,China,1000281000,65.525,962.4213805
1987,Asia,China,1084035000,67.274,1378.904018
1992,Asia,China,1164970000,68.69,1655.784158
1997,Asia,China,1230075000,70.426,2289.234136
2002,Asia,China,1280400000,72.028,3119.280896
2007,Asia,China,1318683096,72.961,4959.114854
1952,Americas,Colombia,12350771,50.643,2144.115096
1957,Americas,Colombia,14485993,55.118,2323.805581
1962,Americas,Colombia,17009885,57.863,2492.351109
1967,Americas,Colombia,19764027,59.963,2678.729839
1972,Americas,Colombia,22542890,61.623,3264.660041
1977,Americas,Colombia,25094412,63.837,3815.80787
1982,Americas,Colombia,27764644,66.653,4397.575659
1987,Americas,Colombia,30964245,67.768,4903.2191
1992,Americas,Colombia,34202721,68.421,5444.648617
1997,Americas,Colombia,37657830,70.313,6117.361746
2002,Americas,Colombia,41008227,71.682,5755.259962
2007,Americas,Colombia,44227550,72.889,7006.580419
1952,Africa,Comoros,153936,40.715,1102.990936
1957,Africa,Comoros,170928,42.46,1211.148548
1962,Africa,Comoros,191689,44.467,1406.648278
1967,Africa,Comoros,217378,46.472,1876.029643
1972,Africa,Comoros,250027,48.944,1937.577675
1977,Africa,Comoros,304739,50.939,1172.603047
1982,Africa,Comoros,348643,52.933,1267.100083
1987,Africa,Comoros,395114,54.926,1315.980812
1992,Africa,Comoros,454429,57.939,1246.90737
1997,Africa,Comoros,527982,60.66,1173.618235
2002,Africa,Comoros,614382,62.974,1075.811558
2007,Africa,Comoros,710960,65.152,986.1478792
1952,Africa,"Congo, Dem. Rep.",14100005,39.143,780.5423257
1957,Africa,"Congo, Dem. Rep.",15577932,40.652,905.8602303
1962,Africa,"Congo, Dem. Rep.",17486434,42.122,896.3146335
1967,Africa,"Congo, Dem. Rep.",19941073,44.056,861.5932424
1972,Africa,"Congo, Dem. Rep.",23007669,45.989,904.8960685
1977,Africa,"Congo, Dem. Rep.",26480870,47.804,795.757282
1982,Africa,"Congo, Dem. Rep.",30646495,47.784,673.7478181
1987,Africa,"Congo, Dem. Rep.",35481645,47.412,672.774812
1992,Africa,"Congo, Dem. Rep.",41672143,45.548,457.7191807
1997,Africa,"Congo, Dem. Rep.",47798986,42.587,312.188423
2002,Africa,"Congo, Dem. Rep.",55379852,44.966,241.1658765
2007,Africa,"Congo, Dem. Rep.",64606759,46.462,277.5518587
1952,Africa,"Congo, Rep.",854885,42.111,2125.621418
1957,Africa,"Congo, Rep.",940458,45.053,2315.056572
1962,Africa,"Congo, Rep.",1047924,48.435,2464.783157
1967,Africa,"Congo, Rep.",1179760,52.04,2677.939642
1972,Africa,"Congo, Rep.",1340458,54.907,3213.152683
1977,Africa,"Congo, Rep.",1536769,55.625,3259.178978
1982,Africa,"Congo, Rep.",1774735,56.695,4879.507522
1987,Africa,"Congo, Rep.",2064095,57.47,4201.194937
1992,Africa,"Congo, Rep.",2409073,56.433,4016.239529
1997,Africa,"Congo, Rep.",2800947,52.962,3484.164376
2002,Africa,"Congo, Rep.",3328795,52.97,3484.06197
2007,Africa,"Congo, Rep.",3800610,55.322,3632.557798
1952,Americas,Costa Rica,926317,57.206,2627.009471
1957,Americas,Costa Rica,1112300,60.026,2990.010802
1962,Americas,Costa Rica,1345187,62.842,3460.937025
1967,Americas,Costa Rica,1588717,65.424,4161.727834
1972,Americas,Costa Rica,1834796,67.849,5118.146939
1977,Americas,Costa Rica,2108457,70.75,5926.876967
1982,Americas,Costa Rica,2424367,73.45,5262.734751
1987,Americas,Costa Rica,2799811,74.752,5629.915318
1992,Americas,Costa Rica,3173216,75.713,6160.416317
1997,Americas,Costa Rica,3518107,77.26,6677.045314
2002,Americas,Costa Rica,3834934,78.123,7723.447195
2007,Americas,Costa Rica,4133884,78.782,9645.06142
1952,Africa,Cote d'Ivoire,2977019,40.477,1388.594732
1957,Africa,Cote d'Ivoire,3300000,42.469,1500.895925
1962,Africa,Cote d'Ivoire,3832408,44.93,1728.869428
1967,Africa,Cote d'Ivoire,4744870,47.35,2052.050473
1972,Africa,Cote d'Ivoire,6071696,49.801,2378.201111
1977,Africa,Cote d'Ivoire,7459574,52.374,2517.736547
1982,Africa,Cote d'Ivoire,9025951,53.983,2602.710169
1987,Africa,Cote d'Ivoire,10761098,54.655,2156.956069
1992,Africa,Cote d'Ivoire,12772596,52.044,1648.073791
1997,Africa,Cote d'Ivoire,14625967,47.991,1786.265407
2002,Africa,Cote d'Ivoire,16252726,46.832,1648.800823
2007,Africa,Cote d'Ivoire,18013409,48.328,1544.750112
1952,Europe,Croatia,3882229,61.21,3119.23652
1957,Europe,Croatia,3991242,64.77,4338.231617
1962,Europe,Croatia,4076557,67.13,5477.890018
1967,Europe,Croatia,4174366,68.5,6960.297861
1972,Europe,Croatia,4225310,69.61,9164.090127
1977,Europe,Croatia,4318673,70.64,11305.38517
1982,Europe,Croatia,4413368,70.46,13221.82184
1987,Europe,Croatia,4484310,71.52,13822.58394
1992,Europe,Croatia,4494013,72.527,8447.794873
1997,Europe,Croatia,4444595,73.68,9875.604515
2002,Europe,Croatia,4481020,74.876,11628.38895
2007,Europe,Croatia,4493312,75.748,14619.22272
1952,Americas,Cuba,6007797,59.421,5586.53878
1957,Americas,Cuba,6640752,62.325,6092.174359
1962,Americas,Cuba,7254373,65.246,5180.75591
1967,Americas,Cuba,8139332,68.29,5690.268015
1972,Americas,Cuba,8831348,70.723,5305.445256
1977,Americas,Cuba,9537988,72.649,6380.494966
1982,Americas,Cuba,9789224,73.717,7316.918107
1987,Americas,Cuba,10239839,74.174,7532.924763
1992,Americas,Cuba,10723260,74.414,5592.843963
1997,Americas,Cuba,10983007,76.151,5431.990415
2002,Americas,Cuba,11226999,77.158,6340.646683
2007,Americas,Cuba,11416987,78.273,8948.102923
1952,Europe,Czech Republic,9125183,66.87,6876.14025
1957,Europe,Czech Republic,9513758,69.03,8256.343918
1962,Europe,Czech Republic,9620282,69.9,10136.86713
1967,Europe,Czech Republic,9835109,70.38,11399.44489
1972,Europe,Czech Republic,9862158,70.29,13108.4536
1977,Europe,Czech Republic,10161915,70.71,14800.16062
1982,Europe,Czech Republic,10303704,70.96,15377.22855
1987,Europe,Czech Republic,10311597,71.58,16310.4434
1992,Europe,Czech Republic,10315702,72.4,14297.02122
1997,Europe,Czech Republic,10300707,74.01,16048.51424
2002,Europe,Czech Republic,10256295,75.51,17596.21022
2007,Europe,Czech Republic,10228744,76.486,22833.30851
1952,Europe,Denmark,4334000,70.78,9692.385245
1957,Europe,Denmark,4487831,71.81,11099.65935
1962,Europe,Denmark,4646899,72.35,13583.31351
1967,Europe,Denmark,4838800,72.96,15937.21123
1972,Europe,Denmark,4991596,73.47,18866.20721
1977,Europe,Denmark,5088419,74.69,20422.9015
1982,Europe,Denmark,5117810,74.63,21688.04048
1987,Europe,Denmark,5127024,74.8,25116.17581
1992,Europe,Denmark,5171393,75.33,26406.73985
1997,Europe,Denmark,5283663,76.11,29804.34567
2002,Europe,Denmark,5374693,77.18,32166.50006
2007,Europe,Denmark,5468120,78.332,35278.41874
1952,Africa,Djibouti,63149,34.812,2669.529475
1957,Africa,Djibouti,71851,37.328,2864.969076
1962,Africa,Djibouti,89898,39.693,3020.989263
1967,Africa,Djibouti,127617,42.074,3020.050513
1972,Africa,Djibouti,178848,44.366,3694.212352
1977,Africa,Djibouti,228694,46.519,3081.761022
1982,Africa,Djibouti,305991,48.812,2879.468067
1987,Africa,Djibouti,311025,50.04,2880.102568
1992,Africa,Djibouti,384156,51.604,2377.156192
1997,Africa,Djibouti,417908,53.157,1895.016984
2002,Africa,Djibouti,447416,53.373,1908.260867
2007,Africa,Djibouti,496374,54.791,2082.481567
1952,Americas,Dominican Republic,2491346,45.928,1397.717137
1957,Americas,Dominican Republic,2923186,49.828,1544.402995
1962,Americas,Dominican Republic,3453434,53.459,1662.137359
1967,Americas,Dominican Republic,4049146,56.751,1653.723003
1972,Americas,Dominican Republic,4671329,59.631,2189.874499
1977,Americas,Dominican Republic,5302800,61.788,2681.9889
1982,Americas,Dominican Republic,5968349,63.727,2861.092386
1987,Americas,Dominican Republic,6655297,66.046,2899.842175
1992,Americas,Dominican Republic,7351181,68.457,3044.214214
1997,Americas,Dominican Republic,7992357,69.957,3614.101285
2002,Americas,Dominican Republic,8650322,70.847,4563.808154
2007,Americas,Dominican Republic,9319622,72.235,6025.374752
1952,Americas,Ecuador,3548753,48.357,3522.110717
1957,Americas,Ecuador,4058385,51.356,3780.546651
1962,Americas,Ecuador,4681707,54.64,4086.114078
1967,Americas,Ecuador,5432424,56.678,4579.074215
1972,Americas,Ecuador,6298651,58.796,5280.99471
1977,Americas,Ecuador,7278866,61.31,6679.62326
1982,Americas,Ecuador,8365850,64.342,7213.791267
1987,Americas,Ecuador,9545158,67.231,6481.776993
1992,Americas,Ecuador,10748394,69.613,7103.702595
1997,Americas,Ecuador,11911819,72.312,7429.455877
2002,Americas,Ecuador,12921234,74.173,5773.044512
2007,Americas,Ecuador,13755680,74.994,6873.262326
1952,Africa,Egypt,22223309,41.893,1418.822445
1957,Africa,Egypt,25009741,44.444,1458.915272
1962,Africa,Egypt,28173309,46.992,1693.335853
1967,Africa,Egypt,31681188,49.293,1814.880728
1972,Africa,Egypt,34807417,51.137,2024.008147
1977,Africa,Egypt,38783863,53.319,2785.493582
1982,Africa,Egypt,45681811,56.006,3503.729636
1987,Africa,Egypt,52799062,59.797,3885.46071
1992,Africa,Egypt,59402198,63.674,3794.755195
1997,Africa,Egypt,66134291,67.217,4173.181797
2002,Africa,Egypt,73312559,69.806,4754.604414
2007,Africa,Egypt,80264543,71.338,5581.180998
1952,Americas,El Salvador,2042865,45.262,3048.3029
1957,Americas,El Salvador,2355805,48.57,3421.523218
1962,Americas,El Salvador,2747687,52.307,3776.803627
1967,Americas,El Salvador,3232927,55.855,4358.595393
1972,Americas,El Salvador,3790903,58.207,4520.246008
1977,Americas,El Salvador,4282586,56.696,5138.922374
1982,Americas,El Salvador,4474873,56.604,4098.344175
1987,Americas,El Salvador,4842194,63.154,4140.442097
1992,Americas,El Salvador,5274649,66.798,4444.2317
1997,Americas,El Salvador,5783439,69.535,5154.825496
2002,Americas,El Salvador,6353681,70.734,5351.568666
2007,Americas,El Salvador,6939688,71.878,5728.353514
1952,Africa,Equatorial Guinea,216964,34.482,375.6431231
1957,Africa,Equatorial Guinea,232922,35.983,426.0964081
1962,Africa,Equatorial Guinea,249220,37.485,582.8419714
1967,Africa,Equatorial Guinea,259864,38.987,915.5960025
1972,Africa,Equatorial Guinea,277603,40.516,672.4122571
1977,Africa,Equatorial Guinea,192675,42.024,958.5668124
1982,Africa,Equatorial Guinea,285483,43.662,927.8253427
1987,Africa,Equatorial Guinea,341244,45.664,966.8968149
1992,Africa,Equatorial Guinea,387838,47.545,1132.055034
1997,Africa,Equatorial Guinea,439971,48.245,2814.480755
2002,Africa,Equatorial Guinea,495627,49.348,7703.4959
2007,Africa,Equatorial Guinea,551201,51.579,12154.08975
1952,Africa,Eritrea,1438760,35.928,328.9405571
1957,Africa,Eritrea,1542611,38.047,344.1618859
1962,Africa,Eritrea,1666618,40.158,380.9958433
1967,Africa,Eritrea,1820319,42.189,468.7949699
1972,Africa,Eritrea,2260187,44.142,514.3242082
1977,Africa,Eritrea,2512642,44.535,505.7538077
1982,Africa,Eritrea,2637297,43.89,524.8758493
1987,Africa,Eritrea,2915959,46.453,521.1341333
1992,Africa,Eritrea,3668440,49.991,582.8585102
1997,Africa,Eritrea,4058319,53.378,913.47079
2002,Africa,Eritrea,4414865,55.24,765.3500015
2007,Africa,Eritrea,4906585,58.04,641.3695236
1952,Africa,Ethiopia,20860941,34.078,362.1462796
1957,Africa,Ethiopia,22815614,36.667,378.9041632
1962,Africa,Ethiopia,25145372,40.059,419.4564161
1967,Africa,Ethiopia,27860297,42.115,516.1186438
1972,Africa,Ethiopia,30770372,43.515,566.2439442
1977,Africa,Ethiopia,34617799,44.51,556.8083834
1982,Africa,Ethiopia,38111756,44.916,577.8607471
1987,Africa,Ethiopia,42999530,46.684,573.7413142
1992,Africa,Ethiopia,52088559,48.091,421.3534653
1997,Africa,Ethiopia,59861301,49.402,515.8894013
2002,Africa,Ethiopia,67946797,50.725,530.0535319
